Exit stations,Entry stations->,,TOTAL,,,Jan 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV," 	2,116 "," 	2,530 "," 	1,107 "," 	1,737 "," 	6,477 "," 	2,223 "," 	3,861 "," 	4,722 "," 	5,623 "," 	3,425 ", 	729 ," 	5,212 "," 	4,992 "," 	5,057 "," 	4,273 "," 	2,142 "," 	1,787 "," 	2,143 "," 	1,119 ", 	599 , 	966 , 	423 , 	474 ," 	1,228 "," 	2,270 "," 	22,305 "," 	22,606 "," 	23,488 "," 	19,010 "," 	8,438 "," 	5,504 "," 	1,829 "," 	2,207 "," 	1,998 ", 	277 ," 	1,247 "," 	2,991 ", 	188 , 	749 , 	389 , 	634 ," 	1,799 ", 	670 ," 	1,416 ", 	351 ," 	1,894 ", 	-   , 	-   , 	242 , 	527 ," 	187,994 ",,,,,,,,,,,,,
CL," 	1,567 "," 	2,817 "," 	1,120 "," 	1,024 "," 	3,359 "," 	1,672 "," 	3,199 "," 	4,122 "," 	6,185 "," 	4,104 "," 	4,911 ", 	589 ," 	2,913 "," 	3,536 "," 	3,197 "," 	1,777 "," 	1,966 "," 	2,398 "," 	1,398 "," 	1,204 "," 	1,139 ", 	576 , 	519 , 	834 ," 	2,143 "," 	14,040 "," 	13,174 "," 	13,393 "," 	9,563 "," 	3,641 "," 	3,254 "," 	1,803 "," 	1,629 "," 	2,141 ", 	365 ," 	1,251 "," 	4,281 ", 	385 ," 	1,048 ", 	402 , 	699 , 	927 , 	690 ," 	1,828 ", 	675 ," 	2,866 ", 	-   , 	-   , 	506 , 	962 ," 	137,792 ",,,,,,,,,,,,,
SL, 	887 ," 	1,478 ", 	635 , 	667 ," 	3,949 "," 	1,154 "," 	2,666 "," 	5,470 "," 	8,421 "," 	7,132 "," 	5,199 "," 	3,204 ", 	444 ," 	3,031 "," 	3,191 "," 	1,546 "," 	2,054 "," 	2,391 ", 	741 , 	648 , 	582 , 	162 , 	205 , 	579 ," 	1,056 "," 	17,584 "," 	19,014 "," 	16,113 "," 	11,974 "," 	4,093 "," 	2,391 "," 	1,122 "," 	1,843 "," 	1,619 ", 	222 ," 	1,048 "," 	2,471 ", 	245 , 	388 , 	331 , 	364 ," 	1,358 ", 	236 ," 	1,338 ", 	257 ," 	1,807 ", 	-   , 	-   , 	180 , 	311 ," 	143,801 ",,,,,,,,,,,,,
BF, 	556 , 	973 , 	407 , 	520 ," 	2,964 ", 	755 ," 	2,217 "," 	5,221 "," 	7,123 "," 	5,564 "," 	4,804 "," 	3,610 "," 	2,777 ", 	460 ," 	2,391 "," 	1,481 "," 	2,014 "," 	3,165 ", 	543 , 	242 , 	206 , 	99 , 	74 , 	293 , 	845 ," 	15,835 "," 	16,165 "," 	14,444 "," 	10,632 "," 	3,480 "," 	2,199 ", 	860 ," 	1,283 "," 	1,215 ", 	322 ," 	1,122 "," 	3,281 ", 	87 , 	240 , 	294 , 	407 , 	729 , 	259 ," 	1,731 ", 	191 ," 	1,942 ", 	-   , 	-   , 	114 , 	153 ," 	126,289 ",,,,,,,,,,,,,
HY, 	715 ," 	1,504 ", 	593 , 	680 ," 	2,526 ", 	871 ," 	2,142 "," 	4,863 "," 	6,459 "," 	3,191 "," 	4,409 "," 	3,211 "," 	3,333 "," 	2,338 ", 	441 ," 	2,252 "," 	4,235 "," 	4,849 ", 	627 , 	370 , 	382 , 	154 , 	129 , 	385 , 	688 ," 	11,288 "," 	11,533 "," 	8,463 "," 	6,586 "," 	2,373 "," 	1,423 ", 	760 , 	814 , 	830 , 	124 , 	455 ," 	1,681 ", 	192 , 	566 , 	112 , 	255 , 	663 , 	149 , 	809 , 	261 ," 	2,650 ", 	-   , 	-   , 	186 , 	545 ," 	104,065 ",,,,,,,,,,,,,
SH, 	508 , 	611 , 	211 , 	197 ," 	1,548 ", 	429 ," 	1,220 "," 	3,216 "," 	3,605 "," 	1,708 "," 	1,966 "," 	1,755 "," 	1,450 "," 	1,545 "," 	2,029 ", 	345 ," 	1,636 "," 	2,189 ", 	214 , 	185 , 	275 , 	54 , 	55 , 	159 , 	346 ," 	9,720 "," 	9,031 "," 	5,782 "," 	5,302 "," 	1,899 "," 	1,056 ", 	398 , 	512 , 	686 , 	167 , 	329 , 	869 , 	37 , 	225 , 	129 , 	183 , 	434 , 	102 , 	656 , 	195 ," 	1,989 ", 	-   , 	-   , 	83 , 	185 ," 	67,425 ",,,,,,,,,,,,,
UC, 	452 , 	897 , 	442 , 	497 ," 	2,927 ", 	886 ," 	1,481 "," 	4,737 "," 	5,571 "," 	2,739 "," 	1,944 "," 	1,998 "," 	2,179 "," 	2,015 "," 	4,166 "," 	1,646 ", 	593 ," 	4,068 ", 	326 , 	346 , 	336 , 	112 , 	94 , 	256 , 	362 ," 	21,535 "," 	17,678 "," 	9,368 "," 	7,315 "," 	2,322 ", 	930 , 	385 , 	478 , 	775 , 	184 , 	345 ," 	1,400 ", 	73 , 	317 , 	121 , 	146 , 	649 , 	74 , 	679 , 	458 ," 	2,077 ", 	-   , 	-   , 	104 , 	254 ," 	108,737 ",,,,,,,,,,,,,
FM, 	608 ," 	1,078 ", 	657 , 	519 ," 	3,238 ", 	721 ," 	1,922 "," 	5,733 "," 	6,103 "," 	2,449 "," 	2,275 "," 	2,485 "," 	2,396 "," 	3,348 "," 	5,107 "," 	2,745 "," 	5,511 ", 	907 , 	422 , 	464 , 	294 , 	154 , 	168 , 	340 , 	275 ," 	29,685 "," 	24,032 "," 	10,563 "," 	7,932 "," 	2,669 ", 	966 , 	521 , 	597 , 	731 , 	133 , 	533 ," 	1,278 ", 	93 , 	279 , 	110 , 	248 , 	896 , 	84 , 	618 , 	533 ," 	2,687 ", 	-   , 	-   , 	89 , 	195 ," 	135,391 ",,,,,,,,,,,,,
CN, 	460 , 	708 , 	481 , 	446 ," 	2,287 ", 	611 ," 	3,270 "," 	6,504 "," 	7,083 ", 	788 ," 	1,082 "," 	1,374 ", 	723 , 	541 , 	648 , 	250 , 	326 , 	404 , 	663 ," 	2,380 "," 	5,994 "," 	1,988 ", 	912 ," 	1,970 ", 	449 ," 	18,946 "," 	19,035 "," 	12,984 "," 	10,251 "," 	3,427 "," 	1,921 "," 	1,182 "," 	1,221 "," 	1,581 ", 	592 , 	109 , 	267 , 	934 ," 	3,427 ", 	536 , 	616 ," 	3,536 ", 	756 , 	62 , 	885 , 	492 , 	-   , 	-   ," 	1,884 "," 	2,288 "," 	129,274 ",,,,,,,,,,,,,
PH, 	317 , 	464 , 	385 , 	502 ," 	3,263 ", 	601 ," 	3,962 "," 	8,951 "," 	9,648 ", 	442 , 	501 ," 	1,174 ", 	550 , 	332 , 	418 , 	130 , 	337 , 	443 ," 	2,315 ", 	686 ," 	2,956 "," 	1,130 ", 	800 ," 	2,793 ", 	357 ," 	37,350 "," 	38,233 "," 	16,612 "," 	13,672 "," 	4,378 "," 	1,977 "," 	2,065 "," 	1,103 "," 	1,268 ", 	338 , 	57 , 	99 , 	891 ," 	1,962 ", 	633 , 	747 ," 	4,495 ", 	598 , 	89 ," 	1,191 ", 	496 , 	-   , 	-   , 	727 ," 	1,056 "," 	173,494 ",,,,,,,,,,,,,
