Exit stations,Entry stations->,,SUNDAY,,,Jan 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	11 , 	33 , 	31 , 	21 , 	107 , 	28 , 	34 , 	39 , 	30 , 	14 , 	33 , 	19 , 	13 , 	8 , 	10 , 	5 , 	6 , 	7 , 	7 , 	5 , 	9 , 	1 , 	4 , 	13 , 	10 , 	60 , 	57 , 	182 , 	69 , 	41 , 	49 , 	17 , 	21 , 	15 , 	3 , 	1 , 	6 , 	3 , 	8 , 	3 , 	7 , 	31 , 	8 , 	1 , 	8 , 	6 , 	-   , 	-   , 	3 , 	5 ," 	1,093 ",,,,,,,,,,,
EN, 	34 , 	12 , 	28 , 	22 , 	178 , 	49 , 	58 , 	83 , 	74 , 	18 , 	38 , 	30 , 	15 , 	18 , 	15 , 	8 , 	11 , 	13 , 	13 , 	6 , 	7 , 	3 , 	2 , 	10 , 	15 , 	120 , 	91 , 	318 , 	103 , 	56 , 	51 , 	17 , 	20 , 	22 , 	13 , 	1 , 	9 , 	1 , 	8 , 	8 , 	10 , 	83 , 	10 , 	3 , 	35 , 	21 , 	-   , 	-   , 	4 , 	6 ," 	1,765 ",,,,,,,,,,,
EP, 	39 , 	30 , 	9 , 	21 , 	194 , 	32 , 	27 , 	84 , 	58 , 	25 , 	23 , 	10 , 	10 , 	12 , 	7 , 	3 , 	4 , 	9 , 	6 , 	7 , 	10 , 	2 , 	2 , 	12 , 	8 , 	82 , 	63 , 	160 , 	80 , 	38 , 	34 , 	17 , 	8 , 	9 , 	7 , 	0 , 	5 , 	1 , 	5 , 	2 , 	5 , 	43 , 	8 , 	2 , 	21 , 	11 , 	-   , 	-   , 	-   , 	3 ," 	1,243 ",,,,,,,,,,,
NB, 	25 , 	26 , 	22 , 	12 , 	69 , 	21 , 	32 , 	106 , 	69 , 	26 , 	30 , 	8 , 	12 , 	8 , 	10 , 	4 , 	11 , 	8 , 	5 , 	5 , 	13 , 	1 , 	4 , 	6 , 	8 , 	99 , 	84 , 	160 , 	105 , 	63 , 	51 , 	15 , 	9 , 	8 , 	4 , 	2 , 	5 , 	0 , 	2 , 	2 , 	6 , 	61 , 	13 , 	2 , 	28 , 	10 , 	-   , 	-   , 	1 , 	2 ," 	1,268 ",,,,,,,,,,,
BK, 	130 , 	181 , 	177 , 	68 , 	32 , 	104 , 	110 , 	235 , 	168 , 	75 , 	85 , 	37 , 	41 , 	32 , 	30 , 	13 , 	33 , 	59 , 	24 , 	29 , 	35 , 	18 , 	12 , 	15 , 	31 , 	212 , 	194 , 	347 , 	211 , 	118 , 	96 , 	48 , 	30 , 	34 , 	7 , 	13 , 	30 , 	6 , 	9 , 	9 , 	10 , 	225 , 	42 , 	9 , 	84 , 	99 , 	-   , 	-   , 	5 , 	10 ," 	3,616 ",,,,,,,,,,,
AS, 	28 , 	48 , 	34 , 	22 , 	105 , 	12 , 	36 , 	102 , 	60 , 	29 , 	40 , 	16 , 	12 , 	10 , 	12 , 	4 , 	9 , 	9 , 	9 , 	6 , 	9 , 	4 , 	1 , 	8 , 	12 , 	101 , 	80 , 	144 , 	108 , 	73 , 	62 , 	21 , 	10 , 	9 , 	3 , 	3 , 	6 , 	1 , 	4 , 	4 , 	3 , 	40 , 	11 , 	2 , 	19 , 	22 , 	-   , 	-   , 	2 , 	3 ," 	1,362 ",,,,,,,,,,,
MA, 	28 , 	54 , 	28 , 	33 , 	97 , 	40 , 	21 , 	90 , 	68 , 	25 , 	58 , 	27 , 	26 , 	19 , 	20 , 	16 , 	11 , 	14 , 	23 , 	18 , 	34 , 	15 , 	10 , 	26 , 	19 , 	155 , 	131 , 	268 , 	194 , 	111 , 	100 , 	19 , 	22 , 	17 , 	4 , 	4 , 	11 , 	9 , 	19 , 	2 , 	7 , 	70 , 	14 , 	6 , 	21 , 	21 , 	-   , 	-   , 	9 , 	17 ," 	2,045 ",,,,,,,,,,,
19, 	47 , 	107 , 	99 , 	139 , 	244 , 	119 , 	80 , 	19 , 	12 , 	16 , 	67 , 	34 , 	60 , 	50 , 	39 , 	14 , 	30 , 	44 , 	37 , 	48 , 	68 , 	59 , 	44 , 	150 , 	31 , 	208 , 	169 , 	291 , 	273 , 	168 , 	144 , 	57 , 	27 , 	40 , 	9 , 	19 , 	42 , 	14 , 	21 , 	9 , 	10 , 	62 , 	38 , 	18 , 	19 , 	65 , 	-   , 	-   , 	7 , 	15 ," 	3,375 ",,,,,,,,,,,
12, 	27 , 	62 , 	52 , 	48 , 	104 , 	49 , 	69 , 	11 , 	21 , 	10 , 	68 , 	45 , 	64 , 	56 , 	47 , 	21 , 	34 , 	35 , 	30 , 	39 , 	31 , 	16 , 	25 , 	60 , 	36 , 	222 , 	180 , 	356 , 	249 , 	121 , 	114 , 	50 , 	50 , 	41 , 	17 , 	7 , 	27 , 	9 , 	23 , 	11 , 	15 , 	90 , 	33 , 	9 , 	18 , 	40 , 	-   , 	-   , 	4 , 	13 ," 	2,757 ",,,,,,,,,,,
LM, 	16 , 	18 , 	24 , 	18 , 	60 , 	28 , 	23 , 	16 , 	16 , 	9 , 	73 , 	43 , 	85 , 	88 , 	31 , 	16 , 	27 , 	28 , 	9 , 	8 , 	9 , 	2 , 	3 , 	12 , 	17 , 	158 , 	144 , 	328 , 	177 , 	117 , 	86 , 	31 , 	30 , 	24 , 	4 , 	42 , 	53 , 	1 , 	5 , 	2 , 	7 , 	20 , 	5 , 	25 , 	17 , 	32 , 	-   , 	-   , 	2 , 	5 ," 	1,986 ",,,,,,,,,,,
