Exit stations,Entry stations->,,SATURDAY,,,Jan 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	10 , 	41 , 	46 , 	28 , 	167 , 	37 , 	43 , 	40 , 	61 , 	17 , 	45 , 	33 , 	17 , 	13 , 	12 , 	10 , 	10 , 	10 , 	8 , 	4 , 	13 , 	3 , 	7 , 	15 , 	10 , 	99 , 	94 , 	258 , 	95 , 	68 , 	105 , 	18 , 	33 , 	23 , 	7 , 	3 , 	6 , 	2 , 	11 , 	3 , 	10 , 	38 , 	12 , 	2 , 	8 , 	11 , 	-   , 	-   , 	2 , 	8 ," 	1,609 ",,,,,,,,,,
EN, 	41 , 	10 , 	49 , 	31 , 	342 , 	61 , 	85 , 	90 , 	153 , 	35 , 	62 , 	76 , 	26 , 	21 , 	27 , 	13 , 	15 , 	18 , 	18 , 	7 , 	15 , 	5 , 	4 , 	22 , 	24 , 	245 , 	198 , 	497 , 	174 , 	88 , 	93 , 	32 , 	44 , 	35 , 	19 , 	3 , 	7 , 	4 , 	10 , 	12 , 	12 , 	75 , 	18 , 	5 , 	25 , 	29 , 	-   , 	-   , 	4 , 	7 ," 	2,880 ",,,,,,,,,,
EP, 	52 , 	48 , 	11 , 	39 , 	325 , 	47 , 	54 , 	90 , 	175 , 	36 , 	34 , 	32 , 	13 , 	12 , 	6 , 	6 , 	10 , 	14 , 	9 , 	6 , 	18 , 	8 , 	5 , 	23 , 	8 , 	167 , 	124 , 	263 , 	122 , 	61 , 	50 , 	23 , 	16 , 	18 , 	6 , 	4 , 	6 , 	1 , 	3 , 	3 , 	4 , 	48 , 	11 , 	5 , 	24 , 	16 , 	-   , 	-   , 	3 , 	4 ," 	2,056 ",,,,,,,,,,
NB, 	26 , 	32 , 	32 , 	8 , 	100 , 	27 , 	41 , 	90 , 	202 , 	28 , 	38 , 	31 , 	19 , 	10 , 	12 , 	5 , 	9 , 	12 , 	6 , 	7 , 	13 , 	5 , 	3 , 	10 , 	11 , 	217 , 	147 , 	224 , 	180 , 	109 , 	80 , 	27 , 	17 , 	12 , 	3 , 	3 , 	9 , 	3 , 	3 , 	2 , 	5 , 	59 , 	15 , 	5 , 	22 , 	13 , 	-   , 	-   , 	1 , 	3 ," 	1,933 ",,,,,,,,,,
BK, 	179 , 	343 , 	319 , 	111 , 	39 , 	174 , 	161 , 	227 , 	266 , 	87 , 	143 , 	71 , 	61 , 	57 , 	50 , 	28 , 	49 , 	66 , 	45 , 	39 , 	47 , 	26 , 	28 , 	30 , 	44 , 	430 , 	274 , 	552 , 	323 , 	195 , 	146 , 	65 , 	48 , 	55 , 	12 , 	15 , 	42 , 	11 , 	18 , 	9 , 	15 , 	192 , 	60 , 	20 , 	74 , 	83 , 	-   , 	-   , 	6 , 	16 ," 	5,346 ",,,,,,,,,,
AS, 	40 , 	66 , 	40 , 	23 , 	149 , 	12 , 	48 , 	116 , 	160 , 	28 , 	58 , 	39 , 	18 , 	19 , 	13 , 	9 , 	13 , 	13 , 	8 , 	11 , 	9 , 	8 , 	3 , 	5 , 	14 , 	187 , 	129 , 	222 , 	173 , 	119 , 	93 , 	25 , 	16 , 	13 , 	3 , 	5 , 	8 , 	1 , 	5 , 	2 , 	7 , 	35 , 	16 , 	2 , 	14 , 	19 , 	-   , 	-   , 	1 , 	6 ," 	2,016 ",,,,,,,,,,
MA, 	58 , 	89 , 	48 , 	44 , 	159 , 	60 , 	23 , 	91 , 	139 , 	32 , 	79 , 	66 , 	38 , 	31 , 	29 , 	16 , 	12 , 	25 , 	30 , 	31 , 	42 , 	19 , 	13 , 	32 , 	25 , 	285 , 	217 , 	421 , 	290 , 	202 , 	145 , 	32 , 	30 , 	23 , 	9 , 	6 , 	11 , 	8 , 	23 , 	5 , 	12 , 	60 , 	22 , 	6 , 	15 , 	19 , 	-   , 	-   , 	12 , 	29 ," 	3,108 ",,,,,,,,,,
19, 	48 , 	84 , 	76 , 	62 , 	208 , 	101 , 	71 , 	21 , 	22 , 	20 , 	76 , 	57 , 	57 , 	46 , 	35 , 	15 , 	23 , 	30 , 	30 , 	40 , 	54 , 	25 , 	25 , 	75 , 	34 , 	292 , 	239 , 	426 , 	304 , 	220 , 	172 , 	42 , 	36 , 	35 , 	15 , 	7 , 	18 , 	7 , 	21 , 	11 , 	14 , 	56 , 	28 , 	8 , 	11 , 	29 , 	-   , 	-   , 	6 , 	22 ," 	3,350 ",,,,,,,,,,
12, 	58 , 	130 , 	144 , 	128 , 	203 , 	121 , 	113 , 	14 , 	24 , 	16 , 	82 , 	107 , 	103 , 	87 , 	69 , 	32 , 	59 , 	57 , 	55 , 	65 , 	70 , 	37 , 	39 , 	116 , 	51 , 	305 , 	269 , 	511 , 	292 , 	154 , 	147 , 	59 , 	68 , 	65 , 	22 , 	20 , 	25 , 	14 , 	41 , 	15 , 	21 , 	83 , 	47 , 	12 , 	17 , 	65 , 	-   , 	-   , 	6 , 	26 ," 	4,256 ",,,,,,,,,,
LM, 	24 , 	72 , 	101 , 	143 , 	107 , 	95 , 	90 , 	17 , 	29 , 	13 , 	161 , 	110 , 	201 , 	154 , 	64 , 	33 , 	63 , 	64 , 	14 , 	14 , 	18 , 	20 , 	24 , 	72 , 	35 , 	276 , 	244 , 	464 , 	239 , 	168 , 	136 , 	36 , 	46 , 	31 , 	3 , 	100 , 	100 , 	3 , 	9 , 	1 , 	5 , 	20 , 	10 , 	52 , 	13 , 	46 , 	-   , 	-   , 	2 , 	6 ," 	3,738 ",,,,,,,,,,
FV, 	47 , 	59 , 	28 , 	34 , 	135 , 	54 , 	77 , 	78 , 	133 , 	76 , 	16 , 	126 , 	105 , 	123 , 	80 , 	42 , 	32 , 	37 , 	20 , 	13 , 	22 , 	9 , 	7 , 	32 , 	55 , 	312 , 	244 , 	604 , 	276 , 	149 , 	146 , 	33 , 	42 , 	40 , 	11 , 	29 , 	70 , 	4 , 	17 , 	11 , 	11 , 	44 , 	15 , 	37 , 	9 , 	37 , 	-   , 	-   , 	6 , 	11 ," 	3,592 ",,,,,,,,,,
CL, 	34 , 	76 , 	38 , 	33 , 	66 , 	37 , 	68 , 	61 , 	119 , 	76 , 	119 , 	14 , 	92 , 	112 , 	80 , 	46 , 	62 , 	77 , 	64 , 	73 , 	51 , 	37 , 	25 , 	23 , 	45 , 	165 , 	105 , 	255 , 	130 , 	66 , 	70 , 	35 , 	29 , 	52 , 	9 , 	66 , 	302 , 	30 , 	38 , 	5 , 	18 , 	19 , 	13 , 	93 , 	17 , 	73 , 	-   , 	-   , 	9 , 	35 ," 	3,155 ",,,,,,,,,,
SL, 	18 , 	25 , 	14 , 	19 , 	72 , 	19 , 	35 , 	65 , 	144 , 	158 , 	104 , 	97 , 	9 , 	81 , 	59 , 	31 , 	32 , 	31 , 	11 , 	8 , 	13 , 	6 , 	3 , 	14 , 	29 , 	191 , 	167 , 	367 , 	136 , 	55 , 	38 , 	18 , 	31 , 	26 , 	5 , 	24 , 	38 , 	6 , 	14 , 	2 , 	9 , 	30 , 	9 , 	37 , 	4 , 	34 , 	-   , 	-   , 	3 , 	10 ," 	2,343 ",,,,,,,,,,
BF, 	12 , 	26 , 	12 , 	11 , 	64 , 	17 , 	30 , 	58 , 	108 , 	136 , 	118 , 	118 , 	76 , 	9 , 	67 , 	35 , 	44 , 	46 , 	10 , 	3 , 	5 , 	2 , 	3 , 	9 , 	24 , 	163 , 	154 , 	341 , 	122 , 	55 , 	51 , 	16 , 	29 , 	22 , 	7 , 	29 , 	64 , 	2 , 	6 , 	6 , 	9 , 	21 , 	7 , 	45 , 	5 , 	30 , 	-   , 	-   , 	2 , 	4 ," 	2,225 ",,,,,,,,,,
HY, 	14 , 	27 , 	8 , 	11 , 	51 , 	18 , 	26 , 	41 , 	76 , 	46 , 	83 , 	73 , 	56 , 	60 , 	7 , 	45 , 	54 , 	62 , 	11 , 	4 , 	7 , 	2 , 	2 , 	4 , 	10 , 	97 , 	65 , 	150 , 	66 , 	30 , 	30 , 	11 , 	12 , 	11 , 	4 , 	13 , 	23 , 	2 , 	9 , 	3 , 	5 , 	14 , 	4 , 	19 , 	6 , 	39 , 	-   , 	-   , 	3 , 	7 ," 	1,416 ",,,,,,,,,,
SH, 	10 , 	14 , 	6 , 	5 , 	27 , 	8 , 	18 , 	14 , 	38 , 	27 , 	38 , 	50 , 	27 , 	40 , 	46 , 	8 , 	25 , 	36 , 	5 , 	3 , 	4 , 	1 , 	4 , 	5 , 	5 , 	79 , 	57 , 	119 , 	50 , 	21 , 	19 , 	4 , 	10 , 	19 , 	3 , 	7 , 	17 , 	1 , 	6 , 	3 , 	7 , 	7 , 	2 , 	17 , 	5 , 	33 , 	-   , 	-   , 	2 , 	7 , 	953 ,,,,,,,,,,
