Exit stations,Entry stations->,,SUNDAY,,,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	6 , 	15 , 	16 , 	10 , 	30 , 	14 , 	15 , 	12 , 	13 , 	12 , 	24 , 	11 , 	6 , 	5 , 	3 , 	3 , 	2 , 	2 , 	5 , 	1 , 	5 , 	0 , 	1 , 	2 , 	3 , 	29 , 	10 , 	44 , 	25 , 	27 , 	20 , 	5 , 	11 , 	4 , 	3 , 	-   , 	2 , 	1 , 	4 , 	4 , 	6 , 	5 , 	1 , 	1 , 	3 , 	2 , 	3 , 	5 , 	3 , 	4 , 	433 ,,,,,,,,,,,
EN, 	17 , 	4 , 	8 , 	11 , 	37 , 	18 , 	18 , 	12 , 	18 , 	10 , 	24 , 	13 , 	9 , 	7 , 	6 , 	3 , 	3 , 	3 , 	6 , 	3 , 	5 , 	1 , 	1 , 	3 , 	4 , 	34 , 	22 , 	66 , 	35 , 	20 , 	22 , 	7 , 	10 , 	7 , 	5 , 	1 , 	2 , 	0 , 	4 , 	1 , 	4 , 	11 , 	1 , 	-   , 	3 , 	2 , 	5 , 	4 , 	2 , 	1 , 	508 ,,,,,,,,,,,
EP, 	13 , 	11 , 	2 , 	6 , 	23 , 	13 , 	7 , 	10 , 	10 , 	6 , 	10 , 	5 , 	3 , 	4 , 	0 , 	2 , 	1 , 	1 , 	2 , 	2 , 	2 , 	1 , 	1 , 	2 , 	2 , 	12 , 	8 , 	19 , 	7 , 	6 , 	4 , 	1 , 	3 , 	2 , 	1 , 	0 , 	1 , 	-   , 	2 , 	1 , 	1 , 	3 , 	3 , 	1 , 	4 , 	1 , 	1 , 	5 , 	0 , 	-   , 	219 ,,,,,,,,,,,
NB, 	9 , 	12 , 	7 , 	2 , 	5 , 	5 , 	6 , 	4 , 	5 , 	5 , 	7 , 	1 , 	4 , 	2 , 	0 , 	-   , 	1 , 	1 , 	1 , 	2 , 	2 , 	-   , 	1 , 	1 , 	1 , 	9 , 	6 , 	12 , 	6 , 	10 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	-   , 	0 , 	-   , 	1 , 	3 , 	-   , 	-   , 	2 , 	1 , 	0 , 	2 , 	-   , 	0 , 	141 ,,,,,,,,,,,
BK, 	33 , 	42 , 	31 , 	5 , 	5 , 	19 , 	15 , 	21 , 	30 , 	14 , 	22 , 	13 , 	9 , 	7 , 	7 , 	3 , 	5 , 	3 , 	1 , 	2 , 	4 , 	1 , 	2 , 	2 , 	6 , 	24 , 	15 , 	33 , 	26 , 	18 , 	10 , 	4 , 	3 , 	4 , 	1 , 	3 , 	3 , 	-   , 	2 , 	3 , 	1 , 	6 , 	1 , 	3 , 	5 , 	2 , 	2 , 	8 , 	1 , 	0 , 	476 ,,,,,,,,,,,
AS, 	13 , 	19 , 	11 , 	5 , 	15 , 	4 , 	6 , 	9 , 	8 , 	9 , 	17 , 	4 , 	5 , 	4 , 	4 , 	2 , 	3 , 	2 , 	3 , 	-   , 	1 , 	1 , 	-   , 	1 , 	3 , 	10 , 	5 , 	19 , 	15 , 	8 , 	6 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	1 , 	2 , 	0 , 	0 , 	2 , 	1 , 	1 , 	4 , 	1 , 	1 , 	6 , 	0 , 	1 , 	231 ,,,,,,,,,,,
MA, 	15 , 	20 , 	8 , 	7 , 	14 , 	7 , 	3 , 	8 , 	7 , 	6 , 	25 , 	11 , 	9 , 	10 , 	7 , 	6 , 	3 , 	4 , 	9 , 	4 , 	9 , 	2 , 	2 , 	10 , 	8 , 	28 , 	18 , 	46 , 	27 , 	19 , 	11 , 	5 , 	5 , 	7 , 	1 , 	1 , 	4 , 	1 , 	8 , 	2 , 	1 , 	10 , 	1 , 	2 , 	5 , 	-   , 	3 , 	5 , 	4 , 	5 , 	427 ,,,,,,,,,,,
19, 	12 , 	12 , 	8 , 	4 , 	19 , 	8 , 	7 , 	4 , 	4 , 	2 , 	12 , 	10 , 	8 , 	14 , 	9 , 	4 , 	2 , 	6 , 	7 , 	4 , 	7 , 	1 , 	3 , 	4 , 	9 , 	32 , 	20 , 	47 , 	33 , 	23 , 	14 , 	6 , 	6 , 	4 , 	1 , 	2 , 	2 , 	1 , 	3 , 	1 , 	2 , 	9 , 	2 , 	0 , 	4 , 	1 , 	2 , 	5 , 	1 , 	4 , 	402 ,,,,,,,,,,,
12, 	12 , 	12 , 	10 , 	4 , 	20 , 	9 , 	9 , 	2 , 	5 , 	3 , 	13 , 	12 , 	9 , 	15 , 	8 , 	3 , 	5 , 	4 , 	8 , 	4 , 	5 , 	1 , 	4 , 	2 , 	8 , 	40 , 	18 , 	62 , 	41 , 	30 , 	16 , 	5 , 	6 , 	8 , 	4 , 	1 , 	1 , 	1 , 	7 , 	3 , 	6 , 	12 , 	4 , 	-   , 	5 , 	1 , 	1 , 	5 , 	1 , 	3 , 	459 ,,,,,,,,,,,
LM, 	12 , 	12 , 	5 , 	4 , 	12 , 	9 , 	7 , 	1 , 	5 , 	5 , 	33 , 	27 , 	21 , 	22 , 	12 , 	7 , 	7 , 	4 , 	3 , 	1 , 	1 , 	-   , 	0 , 	3 , 	12 , 	27 , 	27 , 	44 , 	31 , 	22 , 	11 , 	4 , 	5 , 	5 , 	2 , 	8 , 	9 , 	0 , 	2 , 	0 , 	1 , 	3 , 	1 , 	7 , 	7 , 	3 , 	3 , 	7 , 	1 , 	1 , 	448 ,,,,,,,,,,,
