Exit stations,Entry stations->,,SATURDAY,,,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	5 , 	22 , 	18 , 	12 , 	42 , 	16 , 	19 , 	16 , 	16 , 	8 , 	27 , 	13 , 	5 , 	7 , 	2 , 	3 , 	3 , 	3 , 	5 , 	0 , 	2 , 	1 , 	1 , 	2 , 	6 , 	36 , 	22 , 	67 , 	35 , 	32 , 	40 , 	9 , 	10 , 	9 , 	2 , 	0 , 	4 , 	1 , 	3 , 	3 , 	4 , 	4 , 	4 , 	1 , 	1 , 	3 , 	2 , 	4 , 	3 , 	4 , 	554 ,,,,,,,,,,
EN, 	15 , 	5 , 	15 , 	8 , 	46 , 	15 , 	27 , 	17 , 	22 , 	11 , 	24 , 	15 , 	8 , 	6 , 	9 , 	6 , 	5 , 	3 , 	5 , 	4 , 	5 , 	0 , 	2 , 	4 , 	8 , 	50 , 	35 , 	92 , 	37 , 	34 , 	24 , 	9 , 	14 , 	9 , 	8 , 	1 , 	2 , 	1 , 	3 , 	2 , 	5 , 	13 , 	2 , 	1 , 	3 , 	2 , 	3 , 	4 , 	2 , 	2 , 	634 ,,,,,,,,,,
EP, 	21 , 	15 , 	2 , 	11 , 	35 , 	14 , 	10 , 	11 , 	11 , 	4 , 	12 , 	3 , 	5 , 	2 , 	2 , 	3 , 	3 , 	1 , 	3 , 	1 , 	2 , 	2 , 	0 , 	1 , 	2 , 	16 , 	13 , 	24 , 	9 , 	8 , 	5 , 	1 , 	1 , 	2 , 	1 , 	1 , 	2 , 	-   , 	1 , 	1 , 	0 , 	4 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	270 ,,,,,,,,,,
NB, 	11 , 	9 , 	8 , 	1 , 	7 , 	4 , 	8 , 	10 , 	11 , 	4 , 	13 , 	3 , 	7 , 	1 , 	3 , 	1 , 	1 , 	1 , 	1 , 	4 , 	2 , 	-   , 	1 , 	1 , 	2 , 	14 , 	5 , 	16 , 	9 , 	9 , 	8 , 	2 , 	3 , 	3 , 	1 , 	-   , 	1 , 	0 , 	2 , 	0 , 	0 , 	2 , 	1 , 	-   , 	1 , 	1 , 	1 , 	2 , 	-   , 	-   , 	191 ,,,,,,,,,,
BK, 	47 , 	50 , 	45 , 	8 , 	3 , 	31 , 	27 , 	30 , 	39 , 	14 , 	35 , 	12 , 	7 , 	10 , 	7 , 	4 , 	6 , 	5 , 	4 , 	2 , 	5 , 	2 , 	3 , 	1 , 	9 , 	31 , 	23 , 	36 , 	22 , 	27 , 	18 , 	3 , 	4 , 	7 , 	2 , 	2 , 	2 , 	0 , 	5 , 	1 , 	1 , 	4 , 	3 , 	0 , 	3 , 	1 , 	2 , 	6 , 	1 , 	1 , 	603 ,,,,,,,,,,
AS, 	17 , 	21 , 	9 , 	3 , 	23 , 	1 , 	12 , 	11 , 	16 , 	4 , 	19 , 	9 , 	7 , 	5 , 	4 , 	3 , 	5 , 	1 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	5 , 	17 , 	15 , 	28 , 	19 , 	12 , 	9 , 	2 , 	4 , 	4 , 	1 , 	2 , 	0 , 	1 , 	1 , 	1 , 	2 , 	4 , 	2 , 	1 , 	3 , 	2 , 	1 , 	4 , 	0 , 	1 , 	314 ,,,,,,,,,,
MA, 	18 , 	27 , 	11 , 	11 , 	21 , 	11 , 	3 , 	8 , 	18 , 	7 , 	33 , 	20 , 	10 , 	9 , 	10 , 	3 , 	3 , 	5 , 	11 , 	9 , 	12 , 	3 , 	2 , 	6 , 	6 , 	44 , 	23 , 	52 , 	36 , 	37 , 	25 , 	10 , 	7 , 	6 , 	4 , 	3 , 	2 , 	2 , 	8 , 	1 , 	3 , 	7 , 	2 , 	1 , 	1 , 	1 , 	2 , 	5 , 	5 , 	6 , 	560 ,,,,,,,,,,
19, 	17 , 	18 , 	9 , 	6 , 	25 , 	13 , 	10 , 	3 , 	3 , 	1 , 	15 , 	12 , 	12 , 	15 , 	11 , 	4 , 	5 , 	4 , 	7 , 	7 , 	6 , 	3 , 	3 , 	6 , 	6 , 	34 , 	28 , 	58 , 	32 , 	31 , 	16 , 	5 , 	7 , 	9 , 	1 , 	2 , 	2 , 	1 , 	4 , 	1 , 	2 , 	4 , 	2 , 	1 , 	2 , 	2 , 	2 , 	2 , 	2 , 	4 , 	469 ,,,,,,,,,,
12, 	15 , 	21 , 	10 , 	8 , 	32 , 	14 , 	16 , 	2 , 	9 , 	5 , 	19 , 	13 , 	13 , 	18 , 	10 , 	5 , 	8 , 	8 , 	8 , 	6 , 	4 , 	1 , 	3 , 	4 , 	11 , 	39 , 	26 , 	72 , 	41 , 	34 , 	22 , 	10 , 	8 , 	8 , 	3 , 	2 , 	2 , 	2 , 	6 , 	2 , 	6 , 	8 , 	7 , 	-   , 	3 , 	2 , 	2 , 	6 , 	1 , 	3 , 	571 ,,,,,,,,,,
LM, 	5 , 	13 , 	3 , 	4 , 	13 , 	7 , 	6 , 	3 , 	2 , 	4 , 	31 , 	28 , 	32 , 	24 , 	15 , 	8 , 	7 , 	8 , 	4 , 	2 , 	3 , 	1 , 	-   , 	2 , 	6 , 	43 , 	37 , 	63 , 	36 , 	33 , 	20 , 	5 , 	8 , 	11 , 	2 , 	12 , 	13 , 	0 , 	1 , 	1 , 	1 , 	3 , 	-   , 	8 , 	4 , 	2 , 	5 , 	11 , 	1 , 	2 , 	547 ,,,,,,,,,,
