Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jun 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	98 , 	202 , 	98 , 	107 , 	285 , 	135 , 	214 , 	206 , 	398 , 	202 , 	276 , 	10 , 	211 , 	254 , 	230 , 	137 , 	156 , 	303 , 	105 , 	132 , 	125 , 	73 , 	71 , 	91 , 	109 , 	640 , 	549 , 	641 , 	482 , 	141 , 	147 , 	75 , 	61 , 	82 , 	21 , 	123 , 	555 , 	41 , 	109 , 	22 , 	21 , 	48 , 	32 ," 	8,013 ",,,CM line,"29,008","2,735","7,224","2,144","1,639","2,453","1,701","45,203"
SL, 	51 , 	67 , 	29 , 	27 , 	144 , 	46 , 	109 , 	191 , 	369 , 	225 , 	280 , 	201 , 	8 , 	112 , 	175 , 	84 , 	80 , 	112 , 	31 , 	32 , 	22 , 	7 , 	10 , 	18 , 	37 , 	541 , 	594 , 	405 , 	342 , 	63 , 	60 , 	23 , 	52 , 	41 , 	17 , 	32 , 	113 , 	7 , 	31 , 	12 , 	15 , 	25 , 	12 ," 	4,851 ",,,RM line,"11,468","5,290","2,299","6,472","1,376","3,820",560,"30,726"
BF, 	31 , 	43 , 	16 , 	18 , 	122 , 	40 , 	97 , 	180 , 	355 , 	203 , 	274 , 	249 , 	120 , 	7 , 	149 , 	126 , 	133 , 	212 , 	35 , 	18 , 	17 , 	5 , 	4 , 	15 , 	45 , 	522 , 	529 , 	384 , 	283 , 	59 , 	56 , 	22 , 	28 , 	35 , 	13 , 	56 , 	269 , 	8 , 	18 , 	10 , 	6 , 	17 , 	7 ," 	4,836 ",,,WP line,"17,876","4,041","1,712","1,418","6,147","1,888",757,"33,081"
HY, 	41 , 	54 , 	25 , 	24 , 	129 , 	48 , 	100 , 	184 , 	286 , 	138 , 	264 , 	218 , 	188 , 	157 , 	8 , 	138 , 	197 , 	338 , 	26 , 	22 , 	21 , 	6 , 	8 , 	19 , 	31 , 	372 , 	324 , 	258 , 	219 , 	58 , 	47 , 	20 , 	25 , 	28 , 	11 , 	18 , 	88 , 	7 , 	28 , 	5 , 	6 , 	14 , 	4 ," 	4,199 ",,,FT/ED line,"19,498","7,426","2,515","3,864","1,932","13,823",609,"49,057"
SH, 	25 , 	28 , 	9 , 	11 , 	78 , 	22 , 	49 , 	132 , 	208 , 	76 , 	116 , 	134 , 	82 , 	130 , 	130 , 	5 , 	63 , 	155 , 	18 , 	13 , 	15 , 	3 , 	4 , 	9 , 	15 , 	278 , 	278 , 	219 , 	183 , 	39 , 	42 , 	9 , 	12 , 	19 , 	6 , 	12 , 	47 , 	3 , 	13 , 	2 , 	2 , 	8 , 	4 ," 	2,707 ",,,SFIA,"5,552",635,"1,717",564,804,605,761,"9,878"
UC, 	18 , 	46 , 	14 , 	9 , 	147 , 	30 , 	69 , 	163 , 	241 , 	104 , 	107 , 	170 , 	82 , 	132 , 	212 , 	75 , 	10 , 	185 , 	16 , 	25 , 	19 , 	4 , 	3 , 	12 , 	18 , 	562 , 	484 , 	296 , 	232 , 	31 , 	35 , 	13 , 	25 , 	23 , 	9 , 	14 , 	54 , 	4 , 	19 , 	4 , 	2 , 	15 , 	2 ," 	3,733 ",,,Entries,"100,440","34,848","48,347","30,402","33,652","50,133","10,970","297,822"
FM, 	40 , 	75 , 	32 , 	29 , 	294 , 	53 , 	103 , 	304 , 	386 , 	143 , 	115 , 	306 , 	111 , 	234 , 	346 , 	158 , 	180 , 	24 , 	33 , 	31 , 	24 , 	7 , 	8 , 	25 , 	20 , 	895 , 	752 , 	500 , 	385 , 	43 , 	36 , 	18 , 	22 , 	36 , 	6 , 	25 , 	70 , 	9 , 	32 , 	8 , 	4 , 	38 , 	7 ," 	5,965 ",,,,,,,,,,,
CN, 	42 , 	39 , 	23 , 	19 , 	102 , 	28 , 	107 , 	218 , 	297 , 	21 , 	49 , 	101 , 	34 , 	36 , 	29 , 	16 , 	19 , 	36 , 	14 , 	157 , 	472 , 	120 , 	60 , 	99 , 	18 , 	706 , 	646 , 	372 , 	335 , 	64 , 	77 , 	41 , 	38 , 	52 , 	26 , 	9 , 	19 , 	73 , 	452 , 	18 , 	13 , 	47 , 	22 ," 	5,167 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	21 , 	30 , 	23 , 	15 , 	156 , 	21 , 	84 , 	289 , 	400 , 	20 , 	40 , 	129 , 	32 , 	17 , 	25 , 	16 , 	23 , 	32 , 	152 , 	11 , 	159 , 	60 , 	42 , 	112 , 	10 ," 	1,388 "," 	1,240 ", 	529 , 	465 , 	59 , 	58 , 	39 , 	38 , 	66 , 	31 , 	5 , 	9 , 	46 , 	166 , 	27 , 	17 , 	74 , 	25 ," 	6,199 ",,,Dtwn SF,"4,153",,,,,,,
WC, 	28 , 	46 , 	20 , 	26 , 	143 , 	30 , 	103 , 	189 , 	297 , 	21 , 	37 , 	122 , 	21 , 	17 , 	16 , 	15 , 	18 , 	23 , 	521 , 	151 , 	11 , 	72 , 	53 , 	145 , 	13 ," 	1,094 ", 	947 , 	459 , 	350 , 	53 , 	50 , 	36 , 	31 , 	47 , 	24 , 	4 , 	7 , 	81 , 	225 , 	20 , 	16 , 	75 , 	22 ," 	5,678 ",,,OAK,"26,102","1,504",,,,,,
LF, 	13 , 	10 , 	11 , 	14 , 	67 , 	11 , 	35 , 	116 , 	176 , 	12 , 	27 , 	71 , 	6 , 	4 , 	6 , 	3 , 	4 , 	7 , 	132 , 	83 , 	96 , 	7 , 	18 , 	64 , 	5 , 	801 , 	652 , 	257 , 	212 , 	28 , 	28 , 	11 , 	5 , 	10 , 	3 , 	2 , 	3 , 	14 , 	29 , 	6 , 	5 , 	44 , 	6 ," 	3,113 ",,,CM line,"59,127","5,497","7,224",,,,,
OR, 	9 , 	8 , 	7 , 	8 , 	58 , 	8 , 	32 , 	72 , 	152 , 	9 , 	27 , 	68 , 	10 , 	3 , 	10 , 	4 , 	2 , 	8 , 	66 , 	46 , 	57 , 	22 , 	3 , 	62 , 	6 , 	694 , 	596 , 	247 , 	188 , 	23 , 	28 , 	10 , 	12 , 	8 , 	4 , 	1 , 	2 , 	10 , 	23 , 	7 , 	4 , 	32 , 	11 ," 	2,658 ",,,RM line,"22,273","10,425","4,442","6,472",,,,
RR, 	22 , 	21 , 	23 , 	14 , 	52 , 	17 , 	51 , 	98 , 	203 , 	33 , 	55 , 	91 , 	17 , 	15 , 	18 , 	5 , 	10 , 	26 , 	90 , 	111 , 	140 , 	59 , 	60 , 	7 , 	17 , 	949 , 	919 , 	519 , 	437 , 	114 , 	71 , 	25 , 	26 , 	23 , 	5 , 	5 , 	15 , 	21 , 	53 , 	13 , 	4 , 	66 , 	16 ," 	4,535 ",,,WP line,"35,611","8,060","3,351","2,794","6,147",,,
OW, 	29 , 	37 , 	10 , 	14 , 	44 , 	29 , 	45 , 	43 , 	88 , 	26 , 	113 , 	100 , 	40 , 	45 , 	28 , 	15 , 	19 , 	17 , 	15 , 	8 , 	14 , 	4 , 	6 , 	18 , 	5 ," 	1,087 ", 	965 , 	569 , 	427 , 	95 , 	93 , 	20 , 	35 , 	31 , 	11 , 	8 , 	27 , 	3 , 	25 , 	8 , 	6 , 	20 , 	8 ," 	4,250 ",,,FT/ED line,"39,741","14,727","4,968","7,685","3,820","13,823",,
EM, 	232 , 	798 , 	457 , 	487 , 	774 , 	490 , 	732 , 	820 ," 	1,167 ", 	553 , 	679 , 	687 , 	622 , 	604 , 	420 , 	323 , 	605 , 	967 , 	821 ," 	1,621 "," 	1,260 ", 	800 , 	717 , 	899 ," 	1,183 ", 	88 , 	104 , 	407 , 	367 , 	796 ," 	1,375 "," 	1,113 "," 	1,437 "," 	1,015 ", 	605 , 	464 ," 	1,602 ", 	349 , 	745 , 	425 , 	259 , 	264 , 	542 ," 	30,671 ",,,SFIA,"11,522","2,335","2,278","1,321","1,414",605,761,"307,418"
MT, 	229 , 	788 , 	452 , 	419 , 	609 , 	485 , 	708 , 	590 , 	867 , 	492 , 	670 , 	537 , 	626 , 	567 , 	352 , 	291 , 	511 , 	801 , 	630 ," 	1,195 ", 	912 , 	559 , 	502 , 	795 ," 	1,011 ", 	108 , 	71 , 	183 , 	357 ," 	1,192 "," 	1,948 "," 	1,595 "," 	2,791 "," 	1,371 ", 	722 , 	418 ," 	1,109 ", 	266 , 	590 , 	480 , 	308 , 	233 , 	631 ," 	29,973 ",,,,,,,,,,,
PL, 	253 , 	586 , 	283 , 	299 , 	704 , 	292 , 	570 , 	490 , 	779 , 	406 , 	558 , 	710 , 	375 , 	344 , 	252 , 	204 , 	269 , 	476 , 	346 , 	475 , 	431 , 	240 , 	217 , 	463 , 	555 , 	558 , 	259 , 	102 , 	371 ," 	1,270 "," 	1,894 "," 	1,179 "," 	2,242 ", 	973 , 	509 , 	208 , 	719 , 	141 , 	371 , 	319 , 	224 , 	683 , 	446 ," 	23,048 ",,,,,,,,,,,
