Exit stations,Entry stations->,,SATURDAY,,,Oct 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	10 , 	72 , 	72 , 	38 , 	297 , 	62 , 	78 , 	52 , 	71 , 	22 , 	68 , 	50 , 	25 , 	23 , 	24 , 	13 , 	15 , 	22 , 	18 , 	5 , 	12 , 	3 , 	7 , 	20 , 	19 , 	165 , 	117 , 	350 , 	137 , 	106 , 	103 , 	27 , 	44 , 	32 , 	11 , 	2 , 	9 , 	4 , 	33 , 	8 , 	18 , 	37 , 	11 , 	3 , 	11 , 	-   ," 	2,327 ",,,Eastbay," 	46,303 ",,SF CBD," 	126,866 ",60.5%,,,
EN, 	85 , 	18 , 	83 , 	63 , 	684 , 	130 , 	135 , 	131 , 	156 , 	42 , 	95 , 	87 , 	32 , 	38 , 	38 , 	18 , 	21 , 	49 , 	23 , 	10 , 	22 , 	12 , 	6 , 	25 , 	32 , 	390 , 	276 , 	726 , 	268 , 	128 , 	118 , 	39 , 	61 , 	46 , 	18 , 	9 , 	17 , 	4 , 	45 , 	14 , 	22 , 	70 , 	23 , 	6 , 	23 , 	-   ," 	4,338 ",,,Westbay," 	59,468 ",,non-CBD," 	76,159 ",36.3%,,,
EP, 	85 , 	74 , 	12 , 	52 , 	592 , 	73 , 	70 , 	85 , 	104 , 	32 , 	46 , 	25 , 	17 , 	17 , 	11 , 	6 , 	14 , 	32 , 	6 , 	9 , 	15 , 	8 , 	7 , 	29 , 	10 , 	221 , 	143 , 	340 , 	175 , 	84 , 	67 , 	20 , 	18 , 	15 , 	5 , 	8 , 	8 , 	2 , 	9 , 	3 , 	7 , 	56 , 	17 , 	6 , 	22 , 	-   ," 	2,656 ",,,Transbay," 	109,077 ",,,,,,,
NB, 	48 , 	59 , 	50 , 	17 , 	219 , 	56 , 	73 , 	92 , 	84 , 	29 , 	62 , 	27 , 	20 , 	19 , 	16 , 	7 , 	12 , 	32 , 	14 , 	13 , 	21 , 	9 , 	7 , 	15 , 	14 , 	270 , 	190 , 	350 , 	277 , 	176 , 	113 , 	31 , 	28 , 	24 , 	7 , 	6 , 	10 , 	3 , 	11 , 	4 , 	5 , 	80 , 	17 , 	6 , 	31 , 	-   ," 	2,651 ",,,,,,,,,,,
BK, 	326 , 	710 , 	613 , 	243 , 	64 , 	330 , 	332 , 	373 , 	380 , 	153 , 	280 , 	124 , 	151 , 	154 , 	110 , 	53 , 	121 , 	409 , 	100 , 	137 , 	200 , 	123 , 	120 , 	70 , 	91 ," 	1,022 ", 	655 ," 	1,708 ", 	924 , 	448 , 	347 , 	142 , 	106 , 	231 , 	28 , 	54 , 	181 , 	27 , 	98 , 	34 , 	39 , 	150 , 	199 , 	63 , 	98 , 	-   ," 	12,320 ",,,,,,,,,,,
AS, 	73 , 	112 , 	67 , 	53 , 	286 , 	17 , 	88 , 	139 , 	136 , 	53 , 	89 , 	51 , 	34 , 	29 , 	22 , 	11 , 	13 , 	37 , 	17 , 	10 , 	16 , 	10 , 	8 , 	12 , 	35 , 	266 , 	191 , 	396 , 	322 , 	234 , 	147 , 	30 , 	27 , 	25 , 	6 , 	5 , 	18 , 	4 , 	22 , 	6 , 	5 , 	49 , 	18 , 	5 , 	22 , 	-   ," 	3,216 ",,,,,,,,,,,
MA, 	102 , 	141 , 	69 , 	62 , 	328 , 	96 , 	21 , 	101 , 	120 , 	36 , 	118 , 	90 , 	44 , 	55 , 	43 , 	18 , 	23 , 	56 , 	47 , 	37 , 	50 , 	31 , 	19 , 	55 , 	58 , 	433 , 	289 , 	646 , 	522 , 	351 , 	221 , 	41 , 	45 , 	29 , 	12 , 	8 , 	19 , 	13 , 	82 , 	5 , 	14 , 	90 , 	24 , 	13 , 	31 , 	-   ," 	4,708 ",,,,,,,,,,,
19, 	58 , 	125 , 	96 , 	101 , 	392 , 	161 , 	107 , 	27 , 	26 , 	18 , 	96 , 	76 , 	72 , 	73 , 	55 , 	31 , 	32 , 	90 , 	53 , 	53 , 	75 , 	48 , 	35 , 	104 , 	65 , 	407 , 	302 , 	623 , 	520 , 	341 , 	197 , 	73 , 	74 , 	59 , 	12 , 	18 , 	36 , 	14 , 	59 , 	12 , 	15 , 	61 , 	42 , 	17 , 	20 , 	-   ," 	4,970 ",,,,,,,,,,,
12, 	74 , 	161 , 	107 , 	89 , 	345 , 	132 , 	108 , 	27 , 	27 , 	19 , 	111 , 	123 , 	89 , 	107 , 	75 , 	38 , 	43 , 	96 , 	75 , 	54 , 	70 , 	28 , 	24 , 	72 , 	82 , 	416 , 	313 , 	686 , 	417 , 	216 , 	157 , 	61 , 	77 , 	54 , 	21 , 	16 , 	26 , 	14 , 	72 , 	17 , 	28 , 	96 , 	56 , 	8 , 	51 , 	-   ," 	4,976 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	21 , 	44 , 	28 , 	32 , 	157 , 	50 , 	42 , 	21 , 	21 , 	20 , 	116 , 	104 , 	145 , 	164 , 	61 , 	28 , 	44 , 	77 , 	15 , 	10 , 	14 , 	8 , 	8 , 	23 , 	29 , 	362 , 	299 , 	601 , 	355 , 	219 , 	138 , 	38 , 	53 , 	43 , 	7 , 	72 , 	84 , 	1 , 	15 , 	4 , 	11 , 	32 , 	11 , 	39 , 	24 , 	-   ," 	3,690 ",,,Dtwn SF," 	2,281 "," 	10,791 "," 	16,769 "," 	10,641 "," 	8,923 "," 	11,156 "," 	6,358 "," 	66,918 "
