Exit stations,Entry stations->,,WEEKDAY,,,Oct 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	106 , 	151 , 	66 , 	81 , 	363 , 	127 , 	210 , 	220 , 	274 , 	219 , 	30 , 	277 , 	269 , 	288 , 	281 , 	108 , 	96 , 	187 , 	44 , 	24 , 	41 , 	26 , 	37 , 	62 , 	129 , 	917 ," 	1,049 "," 	1,015 ", 	967 , 	361 , 	253 , 	76 , 	115 , 	173 , 	12 , 	60 , 	124 , 	11 , 	61 , 	16 , 	41 , 	79 , 	34 , 	57 , 	16 , 	-   ," 	9,153 ",,,OAK,"22,791","2,228","5,642","7,022","5,363","8,702","1,419","53,169"
CL, 	79 , 	139 , 	44 , 	49 , 	185 , 	84 , 	180 , 	204 , 	370 , 	251 , 	286 , 	18 , 	155 , 	212 , 	215 , 	111 , 	108 , 	190 , 	48 , 	38 , 	41 , 	20 , 	14 , 	39 , 	110 , 	541 , 	523 , 	491 , 	460 , 	173 , 	122 , 	69 , 	93 , 	157 , 	26 , 	64 , 	125 , 	18 , 	91 , 	22 , 	33 , 	33 , 	23 , 	57 , 	28 , 	-   ," 	6,338 ",,,CM line,"33,847","5,415","8,734","3,965","2,868","4,270","3,666","62,764"
SL, 	58 , 	90 , 	40 , 	41 , 	205 , 	59 , 	151 , 	227 , 	368 , 	323 , 	273 , 	165 , 	16 , 	137 , 	218 , 	90 , 	95 , 	160 , 	31 , 	25 , 	21 , 	10 , 	8 , 	36 , 	48 , 	700 , 	750 , 	596 , 	513 , 	148 , 	100 , 	43 , 	74 , 	124 , 	10 , 	53 , 	107 , 	8 , 	54 , 	18 , 	19 , 	47 , 	15 , 	53 , 	11 , 	-   ," 	6,337 ",,,RM line,"17,561","7,116","4,335","8,741","1,772","4,218","1,318","45,061"
BF, 	35 , 	54 , 	18 , 	22 , 	173 , 	46 , 	120 , 	209 , 	371 , 	272 , 	283 , 	218 , 	128 , 	16 , 	189 , 	94 , 	155 , 	324 , 	28 , 	15 , 	20 , 	7 , 	4 , 	13 , 	43 , 	675 , 	751 , 	586 , 	455 , 	131 , 	79 , 	35 , 	60 , 	109 , 	11 , 	75 , 	225 , 	7 , 	30 , 	13 , 	22 , 	30 , 	11 , 	114 , 	7 , 	-   ," 	6,283 ",,,WP line,"24,506","5,406","3,250","1,814","5,903","1,647","1,553","44,078"
HY, 	60 , 	101 , 	32 , 	34 , 	172 , 	54 , 	134 , 	215 , 	312 , 	187 , 	283 , 	233 , 	222 , 	197 , 	28 , 	118 , 	249 , 	461 , 	32 , 	30 , 	30 , 	10 , 	7 , 	23 , 	41 , 	518 , 	561 , 	412 , 	337 , 	109 , 	63 , 	33 , 	53 , 	78 , 	9 , 	28 , 	79 , 	16 , 	65 , 	10 , 	17 , 	23 , 	9 , 	43 , 	13 , 	-   ," 	5,745 ",,,FT/ED line,"28,239","8,710","4,501","4,307","1,665","13,895",925,"62,242"
SH, 	25 , 	35 , 	12 , 	13 , 	89 , 	24 , 	73 , 	173 , 	159 , 	94 , 	101 , 	104 , 	80 , 	91 , 	111 , 	12 , 	98 , 	215 , 	16 , 	8 , 	12 , 	3 , 	3 , 	11 , 	15 , 	395 , 	413 , 	262 , 	238 , 	74 , 	47 , 	13 , 	25 , 	55 , 	6 , 	21 , 	43 , 	3 , 	20 , 	6 , 	7 , 	16 , 	7 , 	25 , 	7 , 	-   ," 	3,260 ",,,SFIA,"11,540","1,468","3,725","1,363","1,560",926,"1,456","22,039"
UC, 	29 , 	43 , 	16 , 	21 , 	172 , 	43 , 	87 , 	229 , 	256 , 	142 , 	100 , 	106 , 	100 , 	164 , 	250 , 	94 , 	25 , 	245 , 	17 , 	16 , 	14 , 	3 , 	5 , 	16 , 	17 ," 	1,005 ", 	918 , 	444 , 	327 , 	84 , 	35 , 	15 , 	25 , 	88 , 	4 , 	22 , 	66 , 	5 , 	22 , 	7 , 	8 , 	32 , 	7 , 	30 , 	20 , 	-   ," 	5,376 ",,,Entries,"144,189","53,349","65,254","43,993","43,648","62,582","22,574","435,590"
FM, 	45 , 	104 , 	52 , 	52 , 	337 , 	71 , 	181 , 	380 , 	418 , 	186 , 	206 , 	194 , 	167 , 	317 , 	479 , 	245 , 	246 , 	57 , 	45 , 	39 , 	28 , 	15 , 	19 , 	38 , 	33 ," 	1,872 "," 	1,715 ", 	708 , 	503 , 	134 , 	58 , 	36 , 	41 , 	125 , 	10 , 	46 , 	141 , 	9 , 	53 , 	8 , 	16 , 	56 , 	10 , 	56 , 	40 , 	-   ," 	9,591 ",,,,,,,,,,,
CN, 	33 , 	40 , 	24 , 	22 , 	160 , 	33 , 	162 , 	322 , 	376 , 	40 , 	46 , 	49 , 	31 , 	30 , 	34 , 	19 , 	19 , 	47 , 	26 , 	118 , 	336 , 	115 , 	45 , 	98 , 	26 , 	936 ," 	1,026 ", 	610 , 	538 , 	134 , 	88 , 	53 , 	56 , 	132 , 	24 , 	7 , 	12 , 	73 , 	412 , 	23 , 	31 , 	120 , 	34 , 	7 , 	31 , 	-   ," 	6,592 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	17 , 	21 , 	21 , 	23 , 	198 , 	26 , 	156 , 	362 , 	375 , 	26 , 	22 , 	35 , 	21 , 	15 , 	33 , 	7 , 	18 , 	34 , 	122 , 	29 , 	131 , 	58 , 	35 , 	120 , 	13 ," 	1,592 "," 	1,732 ", 	720 , 	600 , 	155 , 	70 , 	107 , 	51 , 	112 , 	16 , 	3 , 	5 , 	43 , 	158 , 	23 , 	32 , 	168 , 	24 , 	3 , 	48 , 	-   ," 	7,582 ",,,Dtwn SF,"5,705",,,,,,,
