Muni Fast Pass Adult/Clipper OD,,,,,,Apr 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,44,26,89,122,456,821,675,922,"3,156"
MT,29,44,59,106,510,"1,056",887,"1,717","4,408"
PL,140,86,51,81,451,737,504,"1,520","3,569"
CC,92,98,87,30,287,487,367,950,"2,399"
16,390,409,557,313,18,148,151,451,"2,436"
24,647,762,901,491,141,26,142,474,"3,585"
GP,600,670,642,340,158,152,16,101,"2,679"
BP,792,971,"2,067",900,428,480,106,38,"5,782"
Entries,"2,734","3,067","4,453","2,383","2,449","3,907","2,847","6,173","28,014"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,5,32,30,161,199,114,254,813
MT,5,12,18,21,147,243,223,719,"1,389"
PL,37,10,50,31,396,611,383,"1,041","2,559"
CC,17,14,37,30,173,262,134,320,986
16,137,89,464,191,21,127,103,249,"1,379"
24,173,154,679,264,110,28,97,254,"1,759"
GP,103,111,477,132,103,93,12,48,"1,080"
BP,195,254,"1,406",287,222,218,44,18,"2,644"
Entries,686,648,"3,163",986,"1,334","1,780","1,110","2,903","12,610"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,4,16,16,94,132,63,158,499
MT,4,10,7,13,86,149,132,435,834
PL,26,7,55,24,260,391,245,658,"1,664"
CC,12,7,28,31,137,163,94,238,710
16,98,53,320,145,27,73,71,180,967
24,132,89,488,183,68,32,68,163,"1,221"
GP,70,80,344,90,76,66,20,27,774
BP,144,147,"1,003",223,152,148,22,24,"1,861"
Entries,499,395,"2,261",725,901,"1,154",714,"1,881","8,529"
