Fast Pass Adjusted OD,,,,,,Oct 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,EM,MT,PL,CC,16,24,GP,BP,Exits
MT,50,31,114,122,450,838,713,"1,100","3,417"
PL,32,43,72,118,744,"1,267","1,070","2,256","5,602"
CC,157,86,76,114,670,"1,030",640,"1,788","4,561"
16,115,123,120,70,545,799,565,"1,495","3,832"
24,375,556,791,520,27,205,184,606,"3,265"
GP,726,967,"1,198",770,214,41,155,603,"4,674"
BP,674,818,845,461,180,161,23,124,"3,286"
Entries,986,"1,328","2,585","1,365",572,635,132,41,"7,643"
,"3,116","3,952","5,799","3,539","3,402","4,976","3,483","8,012","36,280"
Saturday,,,,,,,,,
,,,,,,,,,
EM,EM,MT,PL,CC,16,24,GP,BP,Exits
MT,23,8,38,30,190,259,104,204,855
PL,10,20,23,27,303,359,295,968,"2,003"
CC,35,17,64,44,478,776,386,982,"2,781"
16,29,23,47,44,315,422,184,455,"1,518"
24,139,192,563,319,26,146,98,256,"1,738"
GP,185,247,810,408,133,37,110,276,"2,205"
BP,97,153,559,183,95,88,21,55,"1,251"
Entries,188,341,"1,590",437,262,263,59,29,"3,170"
,707,999,"3,692","1,492","1,803","2,348","1,256","3,223","15,520"
Sunday,,,,,,,,,
,,,,,,,,,
EM,EM,MT,PL,CC,16,24,GP,BP,Exits
MT,24,5,26,17,124,150,69,130,544
PL,3,21,20,23,204,235,184,633,"1,321"
CC,22,15,66,34,374,549,291,653,"2,003"
16,20,18,44,61,242,327,136,308,"1,154"
24,94,133,418,269,36,95,74,146,"1,264"
GP,144,154,609,336,90,46,63,181,"1,623"
BP,73,82,419,137,71,61,27,30,898
Entries,134,226,"1,235",296,134,180,34,59,"2,298"
,513,652.25,2836.25,1171.75,1273.75,1642,877.25,2139,11105.25
