Exit stations,Entry stations->,,SATURDAY,,,May 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	10 , 	75 , 	77 , 	35 , 	257 , 	61 , 	69 , 	47 , 	59 , 	20 , 	66 , 	70 , 	23 , 	10 , 	15 , 	9 , 	9 , 	18 , 	21 , 	5 , 	11 , 	5 , 	6 , 	17 , 	17 , 	151 , 	120 , 	302 , 	124 , 	106 , 	117 , 	19 , 	40 , 	30 , 	9 , 	3 , 	7 , 	2 , 	23 , 	10 , 	14 , 	34 , 	13 , 	2 , 	9 , 	-   ," 	2,141 ",,,,,,,,,,
EN, 	81 , 	14 , 	78 , 	60 , 	444 , 	95 , 	122 , 	98 , 	137 , 	41 , 	96 , 	159 , 	33 , 	21 , 	27 , 	9 , 	18 , 	44 , 	26 , 	11 , 	24 , 	11 , 	8 , 	18 , 	31 , 	308 , 	264 , 	651 , 	233 , 	133 , 	134 , 	36 , 	57 , 	46 , 	20 , 	7 , 	10 , 	2 , 	29 , 	16 , 	20 , 	81 , 	22 , 	4 , 	28 , 	-   ," 	3,799 ",,,,,,,,,,
EP, 	86 , 	71 , 	13 , 	42 , 	408 , 	58 , 	67 , 	85 , 	96 , 	33 , 	42 , 	71 , 	17 , 	10 , 	11 , 	3 , 	7 , 	19 , 	7 , 	8 , 	15 , 	9 , 	6 , 	25 , 	13 , 	197 , 	156 , 	326 , 	160 , 	83 , 	58 , 	20 , 	20 , 	20 , 	4 , 	4 , 	6 , 	3 , 	6 , 	4 , 	10 , 	56 , 	26 , 	5 , 	24 , 	-   ," 	2,409 ",,,,,,,,,,
NB, 	40 , 	52 , 	48 , 	12 , 	136 , 	48 , 	56 , 	85 , 	76 , 	28 , 	58 , 	75 , 	22 , 	12 , 	13 , 	6 , 	6 , 	24 , 	8 , 	10 , 	20 , 	12 , 	9 , 	19 , 	12 , 	264 , 	232 , 	348 , 	219 , 	149 , 	89 , 	33 , 	25 , 	23 , 	6 , 	4 , 	10 , 	2 , 	8 , 	4 , 	5 , 	74 , 	27 , 	3 , 	29 , 	-   ," 	2,434 ",,,,,,,,,,
BK, 	247 , 	472 , 	412 , 	148 , 	48 , 	252 , 	234 , 	247 , 	308 , 	125 , 	192 , 	178 , 	118 , 	55 , 	50 , 	27 , 	50 , 	186 , 	53 , 	63 , 	110 , 	59 , 	46 , 	41 , 	66 , 	596 , 	365 , 	877 , 	464 , 	273 , 	193 , 	91 , 	71 , 	82 , 	16 , 	21 , 	60 , 	13 , 	47 , 	17 , 	23 , 	207 , 	103 , 	29 , 	80 , 	-   ," 	7,411 ",,,,,,,,,,
AS, 	58 , 	89 , 	52 , 	44 , 	208 , 	20 , 	63 , 	113 , 	105 , 	44 , 	68 , 	80 , 	28 , 	17 , 	12 , 	8 , 	9 , 	26 , 	14 , 	8 , 	14 , 	9 , 	6 , 	11 , 	31 , 	219 , 	182 , 	348 , 	236 , 	157 , 	115 , 	28 , 	27 , 	17 , 	3 , 	4 , 	11 , 	4 , 	18 , 	4 , 	5 , 	55 , 	20 , 	5 , 	23 , 	-   ," 	2,615 ",,,,,,,,,,
MA, 	85 , 	119 , 	56 , 	55 , 	221 , 	72 , 	16 , 	83 , 	100 , 	37 , 	101 , 	141 , 	49 , 	25 , 	23 , 	10 , 	14 , 	32 , 	47 , 	36 , 	49 , 	28 , 	16 , 	40 , 	39 , 	383 , 	311 , 	565 , 	413 , 	263 , 	191 , 	46 , 	32 , 	35 , 	5 , 	7 , 	13 , 	8 , 	69 , 	8 , 	13 , 	84 , 	31 , 	6 , 	29 , 	-   ," 	4,003 ",,,,,,,,,,
19, 	53 , 	93 , 	82 , 	87 , 	251 , 	115 , 	88 , 	27 , 	18 , 	16 , 	89 , 	127 , 	71 , 	31 , 	25 , 	16 , 	13 , 	33 , 	39 , 	41 , 	55 , 	28 , 	29 , 	76 , 	47 , 	360 , 	294 , 	528 , 	427 , 	289 , 	212 , 	56 , 	53 , 	51 , 	14 , 	10 , 	17 , 	8 , 	39 , 	11 , 	16 , 	65 , 	36 , 	9 , 	16 , 	-   ," 	4,055 ",,,,,,,,,,
12, 	73 , 	136 , 	100 , 	79 , 	277 , 	117 , 	85 , 	20 , 	26 , 	15 , 	92 , 	158 , 	66 , 	44 , 	39 , 	17 , 	26 , 	55 , 	51 , 	60 , 	67 , 	38 , 	29 , 	67 , 	67 , 	389 , 	316 , 	638 , 	382 , 	198 , 	163 , 	62 , 	74 , 	54 , 	19 , 	7 , 	21 , 	10 , 	56 , 	15 , 	24 , 	79 , 	61 , 	6 , 	25 , 	-   ," 	4,398 ",,,,,,,,,,
LM, 	18 , 	45 , 	32 , 	32 , 	120 , 	43 , 	42 , 	14 , 	20 , 	14 , 	108 , 	207 , 	194 , 	85 , 	53 , 	27 , 	41 , 	88 , 	10 , 	14 , 	16 , 	10 , 	10 , 	20 , 	24 , 	308 , 	261 , 	558 , 	316 , 	191 , 	138 , 	43 , 	40 , 	42 , 	4 , 	40 , 	78 , 	3 , 	18 , 	5 , 	6 , 	27 , 	14 , 	33 , 	22 , 	-   ," 	3,429 ",,,,,,,,,,
