Exit stations,Entry stations->,,WEEKDAY,,,May 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
CL, 	93 , 	174 , 	73 , 	78 , 	191 , 	102 , 	207 , 	242 , 	380 , 	279 , 	315 , 	28 , 	211 , 	245 , 	218 , 	109 , 	168 , 	341 , 	80 , 	82 , 	86 , 	56 , 	43 , 	72 , 	130 , 	715 , 	693 , 	631 , 	531 , 	173 , 	151 , 	86 , 	87 , 	146 , 	21 , 	106 , 	311 , 	30 , 	116 , 	30 , 	38 , 	44 , 	47 , 	151 , 	38 , 	-   ," 	8,150 ",,,,,,,,,
SL, 	48 , 	78 , 	33 , 	36 , 	185 , 	59 , 	147 , 	225 , 	371 , 	310 , 	258 , 	213 , 	18 , 	119 , 	194 , 	83 , 	86 , 	160 , 	31 , 	20 , 	23 , 	7 , 	9 , 	30 , 	41 , 	715 , 	764 , 	590 , 	501 , 	156 , 	101 , 	36 , 	76 , 	103 , 	11 , 	51 , 	93 , 	10 , 	44 , 	19 , 	18 , 	43 , 	14 , 	48 , 	9 , 	-   ," 	6,186 ",,,,,,,,,
BF, 	29 , 	53 , 	16 , 	25 , 	143 , 	37 , 	102 , 	197 , 	356 , 	260 , 	253 , 	251 , 	126 , 	19 , 	182 , 	88 , 	131 , 	283 , 	23 , 	10 , 	16 , 	5 , 	3 , 	13 , 	49 , 	701 , 	723 , 	566 , 	456 , 	139 , 	91 , 	31 , 	59 , 	78 , 	12 , 	71 , 	195 , 	7 , 	21 , 	18 , 	18 , 	30 , 	8 , 	94 , 	8 , 	-   ," 	5,997 ",,,,,,,,,
HY, 	43 , 	88 , 	31 , 	29 , 	152 , 	44 , 	120 , 	216 , 	302 , 	156 , 	245 , 	226 , 	189 , 	186 , 	20 , 	116 , 	233 , 	411 , 	32 , 	29 , 	21 , 	8 , 	5 , 	19 , 	36 , 	512 , 	557 , 	393 , 	310 , 	91 , 	64 , 	25 , 	43 , 	58 , 	7 , 	27 , 	80 , 	12 , 	58 , 	10 , 	15 , 	26 , 	8 , 	44 , 	16 , 	-   ," 	5,313 ",,,,,,,,,
SH, 	26 , 	30 , 	10 , 	11 , 	70 , 	22 , 	58 , 	164 , 	164 , 	91 , 	95 , 	112 , 	72 , 	79 , 	101 , 	10 , 	86 , 	192 , 	12 , 	6 , 	10 , 	3 , 	2 , 	7 , 	19 , 	396 , 	388 , 	249 , 	226 , 	70 , 	49 , 	13 , 	24 , 	41 , 	6 , 	16 , 	33 , 	2 , 	17 , 	6 , 	7 , 	15 , 	6 , 	18 , 	6 , 	-   ," 	3,040 ",,,,,,,,,
UC, 	27 , 	46 , 	17 , 	15 , 	147 , 	40 , 	82 , 	217 , 	241 , 	141 , 	96 , 	168 , 	90 , 	138 , 	233 , 	85 , 	23 , 	193 , 	14 , 	15 , 	16 , 	4 , 	7 , 	13 , 	11 ," 	1,008 ", 	910 , 	396 , 	325 , 	85 , 	39 , 	12 , 	23 , 	61 , 	7 , 	21 , 	66 , 	6 , 	21 , 	8 , 	8 , 	29 , 	7 , 	23 , 	19 , 	-   ," 	5,156 ",,,,,,,,,
FM, 	46 , 	100 , 	48 , 	42 , 	286 , 	72 , 	151 , 	380 , 	392 , 	187 , 	186 , 	332 , 	164 , 	282 , 	412 , 	213 , 	206 , 	54 , 	36 , 	30 , 	27 , 	13 , 	15 , 	32 , 	29 ," 	1,988 "," 	1,765 ", 	671 , 	513 , 	142 , 	62 , 	34 , 	39 , 	86 , 	10 , 	44 , 	119 , 	11 , 	47 , 	10 , 	13 , 	58 , 	6 , 	39 , 	45 , 	-   ," 	9,437 ",,,,,,,,,
CN, 	33 , 	38 , 	18 , 	21 , 	136 , 	30 , 	154 , 	326 , 	363 , 	32 , 	49 , 	85 , 	31 , 	25 , 	33 , 	13 , 	13 , 	38 , 	32 , 	115 , 	299 , 	94 , 	43 , 	101 , 	18 , 	939 ," 	1,009 ", 	587 , 	521 , 	134 , 	84 , 	45 , 	56 , 	97 , 	23 , 	8 , 	11 , 	59 , 	346 , 	28 , 	28 , 	118 , 	31 , 	5 , 	32 , 	-   ," 	6,299 ",,,,,,,,,
PH, 	15 , 	27 , 	20 , 	22 , 	157 , 	27 , 	163 , 	359 , 	395 , 	26 , 	24 , 	77 , 	19 , 	8 , 	33 , 	7 , 	16 , 	29 , 	118 , 	26 , 	123 , 	50 , 	33 , 	136 , 	12 ," 	1,636 "," 	1,728 ", 	716 , 	591 , 	160 , 	73 , 	40 , 	48 , 	84 , 	12 , 	2 , 	6 , 	40 , 	138 , 	69 , 	31 , 	164 , 	25 , 	3 , 	49 , 	-   ," 	7,539 ",,,,,,,,,
WC, 	27 , 	40 , 	26 , 	30 , 	145 , 	28 , 	141 , 	318 , 	321 , 	28 , 	42 , 	83 , 	23 , 	15 , 	22 , 	12 , 	13 , 	28 , 	324 , 	132 , 	26 , 	68 , 	45 , 	149 , 	23 ," 	1,402 "," 	1,486 ", 	592 , 	484 , 	137 , 	78 , 	45 , 	45 , 	75 , 	21 , 	5 , 	9 , 	56 , 	213 , 	26 , 	25 , 	192 , 	36 , 	3 , 	51 , 	-   ," 	7,093 ",,,,,,,,,
LF, 	9 , 	8 , 	10 , 	9 , 	83 , 	11 , 	57 , 	146 , 	166 , 	12 , 	20 , 	54 , 	8 , 	3 , 	6 , 	2 , 	4 , 	11 , 	116 , 	58 , 	69 , 	14 , 	20 , 	79 , 	5 , 	949 , 	894 , 	315 , 	289 , 	69 , 	30 , 	11 , 	15 , 	18 , 	5 , 	2 , 	2 , 	12 , 	43 , 	14 , 	10 , 	94 , 	16 , 	2 , 	25 , 	-   ," 	3,796 ",,,,,,,,,
OR, 	8 , 	13 , 	8 , 	10 , 	59 , 	9 , 	45 , 	115 , 	134 , 	9 , 	19 , 	41 , 	7 , 	3 , 	7 , 	3 , 	7 , 	15 , 	47 , 	34 , 	49 , 	25 , 	12 , 	68 , 	4 , 	816 , 	757 , 	263 , 	244 , 	50 , 	34 , 	15 , 	15 , 	19 , 	5 , 	2 , 	3 , 	6 , 	25 , 	14 , 	9 , 	79 , 	10 , 	2 , 	15 , 	-   ," 	3,132 ",,,,,,,,,
RR, 	20 , 	41 , 	36 , 	28 , 	62 , 	18 , 	69 , 	209 , 	195 , 	33 , 	53 , 	72 , 	29 , 	14 , 	20 , 	7 , 	13 , 	34 , 	97 , 	126 , 	144 , 	74 , 	63 , 	20 , 	24 ," 	1,121 "," 	1,267 ", 	650 , 	660 , 	225 , 	121 , 	36 , 	49 , 	41 , 	6 , 	8 , 	12 , 	22 , 	56 , 	21 , 	15 , 	148 , 	32 , 	5 , 	24 , 	-   ," 	6,020 ",,,,,,,,,
OW, 	24 , 	46 , 	15 , 	17 , 	90 , 	35 , 	50 , 	71 , 	115 , 	43 , 	123 , 	122 , 	41 , 	48 , 	35 , 	17 , 	12 , 	24 , 	17 , 	13 , 	20 , 	3 , 	3 , 	28 , 	27 ," 	1,648 "," 	1,504 "," 	1,057 ", 	866 , 	362 , 	221 , 	47 , 	84 , 	56 , 	14 , 	10 , 	26 , 	6 , 	39 , 	21 , 	26 , 	92 , 	37 , 	10 , 	11 , 	-   ," 	7,177 ",,,,,,,,,
