Exit stations,Entry stations->,,SATURDAY,,,Apr 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	72 , 	163 , 	83 , 	64 , 	241 , 	94 , 	164 , 	102 , 	170 , 	123 , 	207 , 	8 , 	161 , 	236 , 	163 , 	107 , 	136 , 	283 , 	91 , 	109 , 	121 , 	73 , 	51 , 	69 , 	79 , 	283 , 	184 , 	454 , 	235 , 	82 , 	87 , 	40 , 	40 , 	86 , 	12 , 	112 , 	550 , 	52 , 	129 , 	19 , 	16 , 	30 , 	33 ," 	5,605 ",,,CM line," 	15,240 "," 	1,890 "," 	5,663 "," 	2,049 "," 	1,168 "," 	1,908 "," 	1,799 "," 	29,718 "
SL, 	21 , 	36 , 	22 , 	19 , 	122 , 	30 , 	52 , 	39 , 	94 , 	104 , 	143 , 	158 , 	6 , 	102 , 	72 , 	44 , 	31 , 	49 , 	14 , 	9 , 	9 , 	5 , 	4 , 	11 , 	20 , 	157 , 	130 , 	392 , 	117 , 	47 , 	54 , 	21 , 	27 , 	32 , 	7 , 	30 , 	43 , 	2 , 	16 , 	8 , 	5 , 	18 , 	13 ," 	2,328 ",,,RM line," 	7,083 "," 	2,514 "," 	2,038 "," 	4,183 ", 	834 ," 	2,826 ", 	565 ," 	20,042 "
BF, 	31 , 	33 , 	18 , 	20 , 	93 , 	34 , 	73 , 	69 , 	115 , 	114 , 	233 , 	236 , 	104 , 	7 , 	121 , 	84 , 	83 , 	139 , 	18 , 	8 , 	11 , 	3 , 	6 , 	10 , 	33 , 	161 , 	120 , 	396 , 	106 , 	42 , 	38 , 	15 , 	37 , 	32 , 	9 , 	63 , 	127 , 	4 , 	22 , 	6 , 	6 , 	11 , 	7 ," 	2,889 ",,,WP line," 	6,716 "," 	1,145 "," 	1,255 ", 	877 ," 	2,855 "," 	1,370 ", 	664 ," 	14,882 "
HY, 	21 , 	40 , 	15 , 	10 , 	75 , 	28 , 	58 , 	43 , 	71 , 	48 , 	138 , 	158 , 	71 , 	138 , 	8 , 	87 , 	83 , 	152 , 	12 , 	6 , 	10 , 	5 , 	3 , 	9 , 	23 , 	103 , 	57 , 	211 , 	71 , 	51 , 	32 , 	15 , 	23 , 	30 , 	5 , 	17 , 	49 , 	2 , 	21 , 	6 , 	9 , 	8 , 	11 ," 	2,027 ",,,FT/ED line," 	9,223 "," 	2,784 "," 	1,980 "," 	2,943 "," 	1,411 "," 	9,384 ", 	515 ," 	28,240 "
SH, 	14 , 	18 , 	6 , 	9 , 	52 , 	13 , 	23 , 	16 , 	34 , 	21 , 	59 , 	100 , 	41 , 	80 , 	73 , 	6 , 	35 , 	86 , 	7 , 	4 , 	5 , 	2 , 	2 , 	4 , 	5 , 	59 , 	44 , 	169 , 	53 , 	21 , 	32 , 	7 , 	16 , 	15 , 	7 , 	12 , 	30 , 	2 , 	11 , 	3 , 	6 , 	5 , 	5 ," 	1,204 ",,,SFIA," 	3,957 ", 	300 ," 	1,760 ", 	571 , 	562 , 	416 , 	593 ," 	8,158 "
UC, 	10 , 	17 , 	9 , 	8 , 	100 , 	14 , 	23 , 	21 , 	48 , 	31 , 	49 , 	125 , 	31 , 	81 , 	93 , 	31 , 	10 , 	104 , 	10 , 	6 , 	5 , 	2 , 	2 , 	8 , 	9 , 	117 , 	81 , 	265 , 	68 , 	20 , 	19 , 	11 , 	18 , 	30 , 	8 , 	13 , 	35 , 	2 , 	11 , 	4 , 	4 , 	14 , 	6 ," 	1,565 ",,,Entries," 	51,211 "," 	16,649 "," 	30,267 "," 	20,365 "," 	14,784 "," 	27,741 "," 	8,944 "," 	169,961 "
FM, 	23 , 	34 , 	24 , 	18 , 	345 , 	31 , 	41 , 	47 , 	92 , 	63 , 	86 , 	274 , 	55 , 	141 , 	152 , 	94 , 	108 , 	16 , 	25 , 	18 , 	11 , 	5 , 	5 , 	13 , 	12 , 	253 , 	162 , 	521 , 	151 , 	38 , 	36 , 	14 , 	24 , 	45 , 	10 , 	23 , 	68 , 	4 , 	26 , 	5 , 	4 , 	34 , 	6 ," 	3,149 ",,,,,,,,,,,
CN, 	18 , 	19 , 	8 , 	9 , 	57 , 	13 , 	59 , 	32 , 	60 , 	8 , 	37 , 	89 , 	12 , 	21 , 	10 , 	7 , 	11 , 	16 , 	10 , 	66 , 	187 , 	59 , 	18 , 	43 , 	9 , 	183 , 	115 , 	290 , 	103 , 	32 , 	47 , 	20 , 	23 , 	30 , 	9 , 	4 , 	11 , 	18 , 	202 , 	9 , 	7 , 	44 , 	11 ," 	2,031 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	15 , 	6 , 	12 , 	52 , 	10 , 	30 , 	37 , 	43 , 	4 , 	19 , 	90 , 	7 , 	7 , 	4 , 	3 , 	8 , 	13 , 	54 , 	11 , 	71 , 	19 , 	18 , 	53 , 	4 , 	254 , 	141 , 	347 , 	121 , 	42 , 	31 , 	14 , 	11 , 	23 , 	6 , 	3 , 	9 , 	9 , 	52 , 	5 , 	9 , 	71 , 	11 ," 	1,746 ",,,Dtwn SF," 	2,180 ",,,,,,,
WC, 	9 , 	17 , 	12 , 	13 , 	101 , 	17 , 	44 , 	51 , 	71 , 	12 , 	27 , 	109 , 	10 , 	9 , 	9 , 	5 , 	5 , 	12 , 	231 , 	72 , 	7 , 	52 , 	37 , 	102 , 	8 , 	330 , 	224 , 	468 , 	204 , 	47 , 	41 , 	20 , 	19 , 	29 , 	6 , 	7 , 	6 , 	20 , 	86 , 	8 , 	7 , 	84 , 	20 ," 	2,665 ",,,OAK," 	13,988 ", 	841 ,,,,,,
