Muni Fast Pass Adult/Translink OD,,,,,,Apr 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,51,27,116,133,490,871,739,"1,081","3,507"
MT,30,37,68,108,577,"1,100",958,"1,836","4,714"
PL,170,94,48,94,518,856,559,"1,610","3,949"
CC,101,104,99,31,333,543,432,"1,063","2,707"
16,427,469,625,352,19,162,195,522,"2,770"
24,664,801,"1,015",544,161,28,156,529,"3,898"
GP,630,727,725,382,185,154,15,121,"2,939"
BP,911,"1,029","2,283",984,501,557,122,30,"6,416"
Entries,"2,983","3,288","4,980","2,627","2,784","4,270","3,176","6,792","30,900"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,6,41,32,183,235,134,302,958
MT,4,13,16,19,183,280,245,792,"1,552"
PL,48,15,49,34,444,679,452,"1,095","2,817"
CC,21,16,37,31,210,301,151,339,"1,103"
16,147,100,476,228,20,120,146,264,"1,500"
24,177,166,775,288,112,26,110,288,"1,942"
GP,109,118,551,143,116,109,13,54,"1,212"
BP,245,270,"1,526",288,255,278,53,27,"2,941"
Entries,775,703,"3,472","1,064","1,521","2,027","1,303","3,159","14,023"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,4,20,19,103,136,70,172,546
MT,3,15,13,15,92,161,126,455,878
PL,24,8,69,32,266,399,269,675,"1,741"
CC,13,6,30,32,163,196,106,267,813
16,110,56,353,165,26,79,83,175,"1,047"
24,123,106,505,216,72,32,67,156,"1,277"
GP,77,68,368,104,74,63,15,29,796
BP,169,150,"1,069",227,174,160,28,18,"1,994"
Entries,541,410,"2,427",809,970,"1,225",765,"1,946","9,091"
