Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,May 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	71 , 	142 , 	68 , 	79 , 	232 , 	88 , 	131 , 	88 , 	145 , 	109 , 	172 , 	8 , 	120 , 	169 , 	132 , 	65 , 	116 , 	236 , 	69 , 	98 , 	69 , 	53 , 	41 , 	67 , 	65 , 	310 , 	199 , 	488 , 	317 , 	106 , 	123 , 	48 , 	48 , 	66 , 	14 , 	82 , 	452 , 	27 , 	86 , 	14 , 	15 , 	43 , 	19 ," 	5,084 ",,,CM line," 	15,693 "," 	1,503 "," 	5,318 "," 	1,728 "," 	1,067 "," 	1,908 "," 	1,349 "," 	27,217 "
SL, 	30 , 	33 , 	16 , 	19 , 	69 , 	34 , 	51 , 	44 , 	103 , 	109 , 	179 , 	134 , 	7 , 	102 , 	90 , 	39 , 	41 , 	55 , 	11 , 	10 , 	7 , 	8 , 	7 , 	9 , 	23 , 	212 , 	122 , 	333 , 	114 , 	58 , 	44 , 	16 , 	24 , 	27 , 	6 , 	22 , 	45 , 	2 , 	17 , 	5 , 	1 , 	13 , 	7 ," 	2,292 ",,,RM line," 	6,371 "," 	2,102 "," 	1,747 "," 	4,009 ", 	744 ," 	2,451 ", 	386 ," 	17,424 "
BF, 	18 , 	36 , 	14 , 	20 , 	72 , 	36 , 	59 , 	59 , 	143 , 	103 , 	266 , 	186 , 	113 , 	9 , 	117 , 	96 , 	83 , 	130 , 	13 , 	8 , 	11 , 	2 , 	3 , 	10 , 	34 , 	193 , 	113 , 	295 , 	94 , 	44 , 	50 , 	12 , 	28 , 	27 , 	6 , 	52 , 	153 , 	2 , 	23 , 	5 , 	3 , 	12 , 	4 ," 	2,752 ",,,WP line," 	7,706 ", 	944 ," 	1,120 ", 	800 ," 	3,178 "," 	1,226 ", 	510 ," 	14,973 "
HY, 	23 , 	30 , 	17 , 	14 , 	56 , 	29 , 	52 , 	41 , 	76 , 	45 , 	156 , 	138 , 	96 , 	134 , 	9 , 	101 , 	94 , 	165 , 	14 , 	8 , 	7 , 	5 , 	2 , 	8 , 	18 , 	110 , 	55 , 	179 , 	94 , 	35 , 	34 , 	13 , 	13 , 	23 , 	10 , 	18 , 	39 , 	3 , 	26 , 	3 , 	4 , 	6 , 	6 ," 	2,004 ",,,FT/ED line," 	9,470 "," 	2,678 "," 	1,907 "," 	2,559 "," 	1,198 "," 	9,136 ", 	394 ," 	26,948 "
SH, 	11 , 	19 , 	4 , 	6 , 	31 , 	14 , 	20 , 	20 , 	40 , 	17 , 	66 , 	63 , 	47 , 	100 , 	126 , 	6 , 	60 , 	92 , 	11 , 	4 , 	8 , 	2 , 	0 , 	5 , 	10 , 	82 , 	46 , 	139 , 	36 , 	15 , 	31 , 	7 , 	15 , 	15 , 	4 , 	12 , 	25 , 	1 , 	15 , 	3 , 	4 , 	8 , 	2 ," 	1,235 ",,,SFIA," 	3,019 ", 	243 ," 	1,301 ", 	379 , 	465 , 	369 , 	594 ," 	5,776 "
UC, 	8 , 	21 , 	8 , 	9 , 	60 , 	18 , 	19 , 	21 , 	55 , 	40 , 	58 , 	113 , 	44 , 	85 , 	101 , 	57 , 	7 , 	117 , 	12 , 	7 , 	7 , 	2 , 	1 , 	5 , 	11 , 	167 , 	83 , 	234 , 	69 , 	18 , 	25 , 	11 , 	15 , 	15 , 	6 , 	6 , 	25 , 	3 , 	13 , 	3 , 	2 , 	14 , 	4 ," 	1,595 ",,,Entries," 	50,387 "," 	14,546 "," 	29,060 "," 	18,177 "," 	15,812 "," 	27,607 "," 	6,868 "," 	155,587 "
FM, 	20 , 	50 , 	25 , 	30 , 	203 , 	21 , 	45 , 	39 , 	112 , 	54 , 	85 , 	234 , 	60 , 	132 , 	170 , 	92 , 	122 , 	25 , 	24 , 	12 , 	16 , 	3 , 	5 , 	17 , 	11 , 	341 , 	185 , 	469 , 	145 , 	35 , 	31 , 	13 , 	21 , 	30 , 	4 , 	18 , 	46 , 	4 , 	25 , 	6 , 	2 , 	33 , 	4 ," 	3,014 ",,,,,,,,,,,
CN, 	21 , 	29 , 	14 , 	15 , 	45 , 	13 , 	42 , 	33 , 	61 , 	9 , 	33 , 	78 , 	10 , 	11 , 	16 , 	11 , 	10 , 	24 , 	12 , 	75 , 	283 , 	73 , 	32 , 	40 , 	6 , 	262 , 	126 , 	240 , 	103 , 	35 , 	51 , 	21 , 	30 , 	32 , 	18 , 	6 , 	10 , 	37 , 	248 , 	8 , 	11 , 	37 , 	11 ," 	2,277 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	9 , 	12 , 	12 , 	11 , 	41 , 	6 , 	28 , 	21 , 	56 , 	6 , 	17 , 	100 , 	10 , 	8 , 	11 , 	5 , 	7 , 	10 , 	77 , 	11 , 	84 , 	27 , 	15 , 	50 , 	7 , 	473 , 	205 , 	351 , 	105 , 	31 , 	26 , 	15 , 	13 , 	25 , 	6 , 	2 , 	7 , 	13 , 	51 , 	6 , 	4 , 	64 , 	16 ," 	2,048 ",,,Dtwn SF," 	1,996 ",,,,,,,
WC, 	12 , 	18 , 	17 , 	15 , 	69 , 	16 , 	32 , 	32 , 	79 , 	7 , 	31 , 	63 , 	7 , 	9 , 	8 , 	10 , 	5 , 	13 , 	351 , 	87 , 	10 , 	43 , 	32 , 	65 , 	2 , 	600 , 	231 , 	430 , 	185 , 	32 , 	28 , 	19 , 	18 , 	26 , 	8 , 	5 , 	4 , 	31 , 	121 , 	7 , 	5 , 	62 , 	16 ," 	2,855 ",,,OAK," 	12,446 ", 	763 ,,,,,,
