Fast Pass Adjusted OD,,,,,,May 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,45,39,117,121,519,846,718,"1,055","3,461"
MT,37,47,74,126,725,"1,241","1,044","2,184","5,478"
PL,166,94,68,102,619,933,605,"1,542","4,128"
CC,125,131,117,63,541,727,479,"1,328","3,512"
16,434,568,776,502,26,202,185,541,"3,235"
24,707,944,"1,129",717,214,34,129,472,"4,347"
GP,677,791,834,419,179,148,19,110,"3,178"
BP,949,"1,274","2,475","1,167",554,493,118,33,"7,062"
Entries,"3,141","3,887","5,591","3,218","3,378","4,624","3,298","7,265","34,402"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,6,45,38,222,271,147,251,"1,003"
MT,9,16,17,30,268,361,321,"1,004","2,026"
PL,43,17,63,43,519,764,433,987,"2,867"
CC,34,20,62,46,369,416,196,487,"1,628"
16,158,173,605,347,21,146,114,270,"1,833"
24,202,212,823,412,142,27,114,252,"2,184"
GP,128,149,602,169,110,102,24,50,"1,334"
BP,228,311,"1,717",421,274,256,56,32,"3,295"
Entries,826,903,"3,934","1,506","1,925","2,341","1,405","3,331","16,170"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,5,21,27,150,161,81,138,598
MT,5,13,16,23,173,208,196,600,"1,236"
PL,25,10,48,39,345,487,283,611,"1,846"
CC,22,15,46,48,319,337,141,359,"1,287"
16,126,118,419,295,22,101,71,158,"1,309"
24,130,137,590,313,101,30,97,194,"1,592"
GP,71,85,454,127,76,75,18,27,934
BP,143,189,"1,190",274,149,174,26,27,"2,172"
Entries,538,572,"2,785","1,146","1,334","1,572",912,"2,115","10,974"
