Exit stations,Entry stations->,,SUNDAY,,,Mar 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	10 , 	27 , 	41 , 	25 , 	135 , 	33 , 	36 , 	28 , 	30 , 	17 , 	34 , 	47 , 	12 , 	8 , 	9 , 	6 , 	5 , 	6 , 	5 , 	3 , 	9 , 	2 , 	2 , 	8 , 	8 , 	86 , 	57 , 	187 , 	76 , 	44 , 	55 , 	14 , 	20 , 	21 , 	3 , 	1 , 	7 , 	0 , 	7 , 	4 , 	6 , 	40 , 	8 , 	2 , 	8 , 	7 , 	-   , 	-   , 	2 , 	6 ," 	1,208 ",,,,,,,,,,,
EN, 	36 , 	16 , 	35 , 	27 , 	207 , 	49 , 	57 , 	53 , 	68 , 	26 , 	47 , 	126 , 	18 , 	16 , 	13 , 	8 , 	9 , 	14 , 	12 , 	4 , 	12 , 	4 , 	2 , 	11 , 	18 , 	133 , 	96 , 	329 , 	111 , 	70 , 	53 , 	17 , 	24 , 	28 , 	14 , 	2 , 	10 , 	1 , 	5 , 	5 , 	12 , 	81 , 	9 , 	3 , 	34 , 	20 , 	-   , 	-   , 	4 , 	5 ," 	1,955 ",,,,,,,,,,,
EP, 	50 , 	33 , 	8 , 	29 , 	243 , 	33 , 	44 , 	54 , 	50 , 	26 , 	28 , 	85 , 	11 , 	9 , 	9 , 	3 , 	8 , 	11 , 	8 , 	6 , 	11 , 	4 , 	3 , 	13 , 	5 , 	103 , 	69 , 	221 , 	104 , 	52 , 	35 , 	17 , 	8 , 	11 , 	6 , 	1 , 	8 , 	1 , 	2 , 	2 , 	3 , 	56 , 	12 , 	4 , 	26 , 	13 , 	-   , 	-   , 	1 , 	4 ," 	1,544 ",,,,,,,,,,,
NB, 	27 , 	39 , 	31 , 	13 , 	73 , 	22 , 	31 , 	59 , 	50 , 	16 , 	32 , 	69 , 	17 , 	9 , 	9 , 	4 , 	9 , 	10 , 	7 , 	5 , 	15 , 	2 , 	3 , 	6 , 	9 , 	127 , 	89 , 	171 , 	132 , 	66 , 	56 , 	18 , 	13 , 	11 , 	2 , 	3 , 	6 , 	1 , 	5 , 	1 , 	6 , 	66 , 	9 , 	2 , 	33 , 	16 , 	-   , 	-   , 	1 , 	3 ," 	1,404 ",,,,,,,,,,,
BK, 	147 , 	204 , 	222 , 	80 , 	43 , 	113 , 	123 , 	153 , 	163 , 	75 , 	94 , 	94 , 	46 , 	39 , 	40 , 	15 , 	46 , 	75 , 	28 , 	28 , 	45 , 	19 , 	14 , 	11 , 	37 , 	307 , 	208 , 	433 , 	264 , 	170 , 	111 , 	48 , 	35 , 	55 , 	10 , 	13 , 	57 , 	7 , 	10 , 	14 , 	17 , 	244 , 	51 , 	24 , 	116 , 	174 , 	-   , 	-   , 	4 , 	7 ," 	4,330 ",,,,,,,,,,,
AS, 	38 , 	46 , 	33 , 	25 , 	115 , 	14 , 	40 , 	67 , 	54 , 	28 , 	41 , 	58 , 	11 , 	14 , 	14 , 	5 , 	11 , 	13 , 	6 , 	6 , 	10 , 	4 , 	2 , 	9 , 	14 , 	109 , 	84 , 	160 , 	121 , 	82 , 	66 , 	20 , 	12 , 	14 , 	3 , 	3 , 	7 , 	1 , 	4 , 	3 , 	4 , 	52 , 	8 , 	2 , 	29 , 	24 , 	-   , 	-   , 	2 , 	3 ," 	1,487 ",,,,,,,,,,,
MA, 	34 , 	52 , 	37 , 	35 , 	120 , 	39 , 	21 , 	66 , 	62 , 	34 , 	77 , 	125 , 	26 , 	25 , 	20 , 	16 , 	13 , 	16 , 	23 , 	19 , 	31 , 	17 , 	11 , 	26 , 	27 , 	197 , 	144 , 	318 , 	222 , 	137 , 	113 , 	30 , 	23 , 	22 , 	4 , 	7 , 	20 , 	8 , 	23 , 	5 , 	7 , 	100 , 	10 , 	7 , 	35 , 	21 , 	-   , 	-   , 	9 , 	21 ," 	2,457 ",,,,,,,,,,,
19, 	27 , 	60 , 	53 , 	56 , 	138 , 	65 , 	66 , 	24 , 	13 , 	19 , 	64 , 	109 , 	36 , 	31 , 	23 , 	8 , 	18 , 	23 , 	27 , 	24 , 	39 , 	21 , 	17 , 	46 , 	28 , 	230 , 	181 , 	353 , 	254 , 	177 , 	136 , 	38 , 	25 , 	32 , 	5 , 	8 , 	26 , 	5 , 	14 , 	7 , 	10 , 	109 , 	16 , 	9 , 	27 , 	35 , 	-   , 	-   , 	4 , 	11 ," 	2,751 ",,,,,,,,,,,
12, 	32 , 	65 , 	42 , 	42 , 	131 , 	51 , 	51 , 	13 , 	23 , 	21 , 	65 , 	124 , 	58 , 	51 , 	34 , 	17 , 	26 , 	28 , 	31 , 	34 , 	35 , 	21 , 	15 , 	38 , 	39 , 	322 , 	255 , 	558 , 	302 , 	173 , 	124 , 	54 , 	56 , 	49 , 	19 , 	12 , 	30 , 	8 , 	20 , 	14 , 	18 , 	132 , 	22 , 	12 , 	37 , 	36 , 	-   , 	-   , 	5 , 	13 ," 	3,356 ",,,,,,,,,,,
LM, 	22 , 	24 , 	26 , 	19 , 	68 , 	31 , 	25 , 	19 , 	12 , 	19 , 	95 , 	176 , 	85 , 	91 , 	37 , 	20 , 	32 , 	33 , 	11 , 	6 , 	10 , 	6 , 	4 , 	10 , 	14 , 	70 , 	69 , 	148 , 	74 , 	50 , 	39 , 	11 , 	16 , 	12 , 	3 , 	39 , 	41 , 	3 , 	3 , 	2 , 	3 , 	15 , 	3 , 	24 , 	25 , 	42 , 	-   , 	-   , 	1 , 	3 ," 	1,591 ",,,,,,,,,,,
