Exit stations,Entry stations->,,WEEKDAY,,,Mar 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV, 	87 , 	103 , 	42 , 	68 , 	290 , 	92 , 	160 , 	183 , 	221 , 	155 , 	27 , 	225 , 	207 , 	189 , 	196 , 	79 , 	66 , 	89 , 	41 , 	25 , 	37 , 	16 , 	20 , 	51 , 	86 , 	935 ," 	1,013 ", 	881 , 	821 , 	354 , 	217 , 	75 , 	96 , 	131 , 	8 , 	52 , 	117 , 	6 , 	26 , 	14 , 	25 , 	61 , 	27 , 	56 , 	12 , 	77 , 	-   , 	-   , 	10 , 	20 ," 	7,788 ",,,,,,,,,,,,,
CL, 	64 , 	114 , 	43 , 	39 , 	153 , 	69 , 	141 , 	183 , 	276 , 	212 , 	211 , 	24 , 	123 , 	143 , 	145 , 	76 , 	84 , 	94 , 	55 , 	47 , 	41 , 	22 , 	18 , 	38 , 	81 , 	584 , 	574 , 	522 , 	421 , 	157 , 	126 , 	64 , 	71 , 	109 , 	13 , 	55 , 	145 , 	13 , 	39 , 	18 , 	22 , 	38 , 	23 , 	74 , 	24 , 	110 , 	-   , 	-   , 	23 , 	41 ," 	5,761 ",,,,,,,,,,,,,
SL, 	38 , 	61 , 	27 , 	24 , 	182 , 	43 , 	114 , 	236 , 	361 , 	310 , 	210 , 	130 , 	16 , 	105 , 	140 , 	62 , 	84 , 	104 , 	29 , 	27 , 	22 , 	8 , 	8 , 	21 , 	39 , 	757 , 	867 , 	614 , 	551 , 	174 , 	100 , 	45 , 	71 , 	104 , 	8 , 	42 , 	107 , 	8 , 	10 , 	15 , 	14 , 	44 , 	11 , 	53 , 	8 , 	77 , 	-   , 	-   , 	6 , 	15 ," 	6,104 ",,,,,,,,,,,,,
BF, 	23 , 	34 , 	12 , 	22 , 	138 , 	33 , 	94 , 	210 , 	311 , 	235 , 	176 , 	147 , 	101 , 	19 , 	88 , 	54 , 	83 , 	128 , 	22 , 	12 , 	12 , 	3 , 	2 , 	10 , 	29 , 	688 , 	708 , 	554 , 	494 , 	147 , 	91 , 	34 , 	55 , 	78 , 	10 , 	45 , 	128 , 	4 , 	8 , 	11 , 	16 , 	27 , 	11 , 	59 , 	6 , 	82 , 	-   , 	-   , 	5 , 	7 ," 	5,266 ",,,,,,,,,,,,,
HY, 	34 , 	77 , 	31 , 	30 , 	114 , 	39 , 	94 , 	218 , 	286 , 	144 , 	195 , 	150 , 	136 , 	85 , 	18 , 	89 , 	199 , 	218 , 	36 , 	19 , 	18 , 	7 , 	4 , 	16 , 	33 , 	490 , 	522 , 	357 , 	311 , 	104 , 	59 , 	32 , 	35 , 	52 , 	3 , 	18 , 	72 , 	13 , 	26 , 	6 , 	10 , 	24 , 	6 , 	35 , 	10 , 	137 , 	-   , 	-   , 	10 , 	26 ," 	4,646 ",,,,,,,,,,,,,
SH, 	19 , 	21 , 	7 , 	8 , 	73 , 	22 , 	51 , 	150 , 	170 , 	73 , 	72 , 	69 , 	60 , 	52 , 	74 , 	12 , 	80 , 	86 , 	11 , 	7 , 	12 , 	2 , 	2 , 	6 , 	15 , 	436 , 	442 , 	243 , 	273 , 	85 , 	50 , 	18 , 	22 , 	50 , 	5 , 	11 , 	36 , 	2 , 	7 , 	5 , 	11 , 	15 , 	5 , 	20 , 	6 , 	94 , 	-   , 	-   , 	3 , 	5 ," 	2,996 ",,,,,,,,,,,,,
UC, 	20 , 	31 , 	19 , 	19 , 	145 , 	36 , 	59 , 	203 , 	234 , 	110 , 	69 , 	83 , 	92 , 	81 , 	186 , 	66 , 	20 , 	175 , 	15 , 	15 , 	14 , 	2 , 	3 , 	9 , 	12 , 	898 , 	803 , 	369 , 	353 , 	104 , 	35 , 	13 , 	22 , 	55 , 	6 , 	14 , 	54 , 	2 , 	9 , 	4 , 	4 , 	22 , 	4 , 	26 , 	14 , 	105 , 	-   , 	-   , 	4 , 	10 ," 	4,650 ",,,,,,,,,,,,,
FM, 	25 , 	43 , 	27 , 	22 , 	150 , 	28 , 	81 , 	264 , 	273 , 	101 , 	94 , 	97 , 	107 , 	124 , 	225 , 	102 , 	171 , 	39 , 	14 , 	20 , 	12 , 	6 , 	7 , 	15 , 	12 ," 	1,333 "," 	1,126 ", 	430 , 	377 , 	116 , 	40 , 	19 , 	24 , 	51 , 	6 , 	22 , 	46 , 	3 , 	9 , 	5 , 	10 , 	29 , 	4 , 	21 , 	18 , 	115 , 	-   , 	-   , 	5 , 	10 ," 	5,881 ",,,,,,,,,,,,,
CN, 	21 , 	26 , 	20 , 	19 , 	104 , 	29 , 	139 , 	293 , 	335 , 	38 , 	42 , 	51 , 	28 , 	23 , 	36 , 	11 , 	15 , 	15 , 	24 , 	106 , 	239 , 	85 , 	44 , 	84 , 	20 , 	844 , 	865 , 	522 , 	478 , 	152 , 	85 , 	49 , 	56 , 	99 , 	26 , 	5 , 	11 , 	42 , 	152 , 	22 , 	26 , 	122 , 	30 , 	3 , 	32 , 	17 , 	-   , 	-   , 	87 , 	103 ," 	5,672 ",,,,,,,,,,,,,
PH, 	17 , 	24 , 	16 , 	22 , 	137 , 	23 , 	170 , 	390 , 	437 , 	17 , 	20 , 	43 , 	24 , 	13 , 	19 , 	5 , 	15 , 	20 , 	99 , 	25 , 	109 , 	55 , 	33 , 	122 , 	12 ," 	1,655 "," 	1,733 ", 	676 , 	640 , 	195 , 	85 , 	89 , 	48 , 	72 , 	14 , 	3 , 	4 , 	42 , 	85 , 	26 , 	35 , 	161 , 	23 , 	3 , 	42 , 	18 , 	-   , 	-   , 	30 , 	50 ," 	7,597 ",,,,,,,,,,,,,
