Exit stations,Entry stations->,,SATURDAY,,,Mar 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	46 , 	61 , 	34 , 	37 , 	132 , 	54 , 	71 , 	68 , 	66 , 	64 , 	15 , 	158 , 	106 , 	126 , 	75 , 	39 , 	33 , 	45 , 	25 , 	14 , 	19 , 	11 , 	8 , 	38 , 	51 , 	311 , 	236 , 	574 , 	308 , 	165 , 	154 , 	41 , 	47 , 	45 , 	7 , 	31 , 	74 , 	5 , 	15 , 	6 , 	12 , 	43 , 	12 , 	42 , 	7 , 	47 , 	-   , 	-   , 	5 , 	13 ," 	3,596 ",,,,,,,,,,
CL, 	43 , 	74 , 	42 , 	45 , 	100 , 	52 , 	68 , 	92 , 	106 , 	122 , 	142 , 	27 , 	125 , 	119 , 	100 , 	49 , 	79 , 	99 , 	42 , 	31 , 	38 , 	22 , 	26 , 	44 , 	48 , 	247 , 	166 , 	391 , 	193 , 	100 , 	103 , 	47 , 	40 , 	64 , 	7 , 	63 , 	183 , 	10 , 	29 , 	12 , 	15 , 	25 , 	15 , 	83 , 	22 , 	132 , 	-   , 	-   , 	8 , 	28 ," 	3,718 ",,,,,,,,,,
SL, 	16 , 	30 , 	13 , 	17 , 	74 , 	22 , 	36 , 	57 , 	77 , 	122 , 	104 , 	130 , 	13 , 	73 , 	49 , 	23 , 	32 , 	33 , 	12 , 	7 , 	13 , 	1 , 	1 , 	11 , 	22 , 	193 , 	169 , 	388 , 	181 , 	60 , 	43 , 	17 , 	28 , 	30 , 	3 , 	23 , 	38 , 	3 , 	8 , 	4 , 	6 , 	30 , 	5 , 	38 , 	3 , 	27 , 	-   , 	-   , 	1 , 	8 ," 	2,293 ",,,,,,,,,,
BF, 	10 , 	17 , 	10 , 	11 , 	71 , 	15 , 	30 , 	51 , 	72 , 	108 , 	138 , 	122 , 	85 , 	11 , 	61 , 	36 , 	34 , 	48 , 	11 , 	4 , 	6 , 	2 , 	1 , 	9 , 	18 , 	160 , 	154 , 	330 , 	144 , 	50 , 	49 , 	17 , 	23 , 	33 , 	5 , 	32 , 	51 , 	3 , 	7 , 	5 , 	8 , 	18 , 	8 , 	51 , 	4 , 	33 , 	-   , 	-   , 	1 , 	5 ," 	2,174 ",,,,,,,,,,
HY, 	16 , 	26 , 	7 , 	12 , 	58 , 	11 , 	26 , 	43 , 	50 , 	38 , 	82 , 	91 , 	50 , 	63 , 	14 , 	43 , 	52 , 	72 , 	11 , 	8 , 	7 , 	3 , 	2 , 	5 , 	14 , 	101 , 	71 , 	166 , 	86 , 	30 , 	31 , 	11 , 	13 , 	18 , 	2 , 	15 , 	25 , 	2 , 	7 , 	2 , 	5 , 	9 , 	3 , 	19 , 	5 , 	39 , 	-   , 	-   , 	2 , 	7 ," 	1,474 ",,,,,,,,,,
SH, 	7 , 	14 , 	3 , 	4 , 	33 , 	9 , 	16 , 	17 , 	23 , 	21 , 	37 , 	51 , 	22 , 	40 , 	36 , 	9 , 	20 , 	37 , 	5 , 	3 , 	6 , 	2 , 	1 , 	2 , 	6 , 	65 , 	52 , 	120 , 	49 , 	21 , 	19 , 	4 , 	6 , 	14 , 	5 , 	6 , 	16 , 	1 , 	5 , 	3 , 	5 , 	6 , 	2 , 	11 , 	3 , 	34 , 	-   , 	-   , 	1 , 	3 , 	876 ,,,,,,,,,,
UC, 	9 , 	14 , 	10 , 	8 , 	70 , 	11 , 	19 , 	42 , 	38 , 	37 , 	32 , 	75 , 	29 , 	39 , 	53 , 	21 , 	9 , 	35 , 	5 , 	4 , 	7 , 	2 , 	1 , 	6 , 	8 , 	130 , 	94 , 	196 , 	88 , 	40 , 	19 , 	11 , 	12 , 	15 , 	5 , 	7 , 	19 , 	2 , 	3 , 	1 , 	5 , 	12 , 	1 , 	13 , 	6 , 	39 , 	-   , 	-   , 	1 , 	5 ," 	1,311 ",,,,,,,,,,
FM, 	9 , 	17 , 	11 , 	13 , 	97 , 	12 , 	23 , 	37 , 	35 , 	35 , 	42 , 	104 , 	37 , 	44 , 	70 , 	40 , 	37 , 	17 , 	7 , 	6 , 	7 , 	3 , 	1 , 	6 , 	7 , 	171 , 	105 , 	197 , 	110 , 	45 , 	28 , 	9 , 	15 , 	21 , 	3 , 	8 , 	20 , 	1 , 	3 , 	2 , 	3 , 	17 , 	2 , 	11 , 	10 , 	40 , 	-   , 	-   , 	0 , 	4 ," 	1,542 ",,,,,,,,,,
CN, 	11 , 	15 , 	10 , 	8 , 	47 , 	11 , 	37 , 	42 , 	43 , 	12 , 	23 , 	41 , 	15 , 	12 , 	14 , 	6 , 	6 , 	7 , 	13 , 	44 , 	126 , 	42 , 	18 , 	47 , 	10 , 	138 , 	116 , 	252 , 	122 , 	56 , 	33 , 	18 , 	19 , 	26 , 	10 , 	3 , 	5 , 	17 , 	82 , 	6 , 	10 , 	79 , 	14 , 	2 , 	15 , 	9 , 	-   , 	-   , 	34 , 	43 ," 	1,768 ",,,,,,,,,,
PH, 	3 , 	7 , 	7 , 	7 , 	55 , 	11 , 	23 , 	52 , 	39 , 	8 , 	13 , 	29 , 	9 , 	7 , 	7 , 	2 , 	6 , 	4 , 	43 , 	8 , 	66 , 	25 , 	11 , 	50 , 	10 , 	203 , 	145 , 	291 , 	160 , 	47 , 	30 , 	14 , 	11 , 	19 , 	5 , 	2 , 	2 , 	10 , 	32 , 	7 , 	7 , 	89 , 	11 , 	1 , 	20 , 	7 , 	-   , 	-   , 	9 , 	14 ," 	1,635 ",,,,,,,,,,
