Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Sep 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	12 , 	160 , 	136 , 	111 , 	506 , 	134 , 	178 , 	185 , 	262 , 	58 , 	132 , 	118 , 	48 , 	34 , 	41 , 	29 , 	17 , 	35 , 	37 , 	21 , 	34 , 	16 , 	15 , 	24 , 	34 , 	263 , 	315 , 	361 , 	260 , 	139 , 	181 , 	33 , 	59 , 	67 , 	35 , 	7 , 	30 , 	8 , 	35 ," 	4,168 ",,,Eastbay," 	81,549 ",,SF CBD," 	207,063 ",64.4%,,,
EN, 	182 , 	37 , 	115 , 	135 ," 	1,112 ", 	181 , 	246 , 	481 , 	690 , 	134 , 	138 , 	169 , 	61 , 	42 , 	63 , 	28 , 	37 , 	81 , 	59 , 	27 , 	41 , 	15 , 	17 , 	26 , 	39 , 	873 ," 	1,005 ", 	720 , 	576 , 	136 , 	177 , 	61 , 	89 , 	157 , 	60 , 	5 , 	36 , 	4 , 	22 ," 	8,077 ",,,Westbay," 	87,191 ",,non-CBD," 	114,258 ",35.6%,,,
EP, 	168 , 	41 , 	21 , 	20 , 	716 , 	46 , 	138 , 	123 , 	319 , 	45 , 	70 , 	50 , 	28 , 	8 , 	24 , 	7 , 	28 , 	23 , 	19 , 	30 , 	15 , 	12 , 	5 , 	23 , 	5 , 	636 , 	347 , 	409 , 	178 , 	66 , 	23 , 	34 , 	23 , 	67 , 	11 , 	24 , 	20 , 	9 , 	14 ," 	3,846 ",,,Transbay," 	152,581 ",,,,,,,
NB, 	114 , 	93 , 	41 , 	7 , 	211 , 	57 , 	74 , 	169 , 	236 , 	81 , 	70 , 	88 , 	22 , 	14 , 	23 , 	7 , 	16 , 	37 , 	20 , 	16 , 	26 , 	8 , 	12 , 	18 , 	13 , 	539 , 	589 , 	340 , 	353 , 	88 , 	59 , 	26 , 	38 , 	71 , 	14 , 	4 , 	15 , 	4 , 	8 ," 	3,625 ",,,,,,,,,,,
BK, 	476 ," 	1,105 ", 	710 , 	213 , 	19 , 	458 , 	400 , 	521 , 	663 , 	318 , 	346 , 	291 , 	160 , 	145 , 	160 , 	100 , 	156 , 	315 , 	134 , 	181 , 	137 , 	73 , 	58 , 	42 , 	75 , 	692 , 	737 , 	768 , 	721 , 	216 , 	234 , 	130 , 	122 , 	207 , 	115 , 	51 , 	139 , 	47 , 	81 ," 	11,516 ",,,Extensions," 	41,363 ",,,,,,,
AS, 	119 , 	152 , 	68 , 	50 , 	391 , 	8 , 	79 , 	175 , 	231 , 	104 , 	109 , 	123 , 	47 , 	42 , 	44 , 	19 , 	29 , 	55 , 	30 , 	24 , 	26 , 	7 , 	10 , 	15 , 	32 , 	478 , 	545 , 	347 , 	344 , 	101 , 	82 , 	30 , 	39 , 	81 , 	23 , 	10 , 	25 , 	6 , 	24 ," 	4,124 ",,,,,,,,,,,
MA, 	166 , 	223 , 	73 , 	68 , 	398 , 	78 , 	10 , 	132 , 	231 , 	84 , 	154 , 	196 , 	91 , 	83 , 	90 , 	49 , 	62 , 	104 , 	108 , 	87 , 	96 , 	32 , 	33 , 	68 , 	66 , 	707 , 	794 , 	589 , 	548 , 	175 , 	131 , 	63 , 	76 , 	106 , 	43 , 	18 , 	51 , 	35 , 	106 ," 	6,225 ",,,,,,,,,,,
19, 	186 , 	489 , 	191 , 	177 , 	438 , 	184 , 	131 , 	11 , 	76 , 	55 , 	144 , 	201 , 	171 , 	167 , 	178 , 	143 , 	160 , 	268 , 	221 , 	318 , 	212 , 	110 , 	92 , 	94 , 	47 , 	681 , 	715 , 	507 , 	549 , 	149 , 	161 , 	117 , 	108 , 	160 , 	157 , 	45 , 	151 , 	118 , 	216 ," 	8,298 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	281 , 	718 , 	428 , 	302 , 	578 , 	234 , 	206 , 	78 , 	23 , 	86 , 	378 , 	411 , 	324 , 	335 , 	291 , 	205 , 	242 , 	351 , 	349 , 	420 , 	284 , 	162 , 	148 , 	173 , 	74 , 	816 , 	850 , 	848 , 	708 , 	173 , 	194 , 	136 , 	139 , 	203 , 	184 , 	66 , 	211 , 	99 , 	215 ," 	11,919 ",,,Dtwn SF," 	9,296 "," 	13,713 "," 	34,936 "," 	11,877 "," 	18,059 "," 	20,790 "," 	108,671 ",
LM, 	49 , 	119 , 	74 , 	83 , 	290 , 	103 , 	84 , 	50 , 	79 , 	11 , 	168 , 	251 , 	223 , 	197 , 	112 , 	82 , 	115 , 	138 , 	32 , 	22 , 	22 , 	11 , 	10 , 	36 , 	32 , 	496 , 	542 , 	445 , 	377 , 	82 , 	92 , 	36 , 	64 , 	121 , 	21 , 	60 , 	177 , 	7 , 	24 ," 	4,935 ",,,OAK," 	13,556 "," 	1,790 "," 	3,238 "," 	6,144 "," 	4,054 "," 	7,287 "," 	36,069 ",
FV, 	124 , 	157 , 	56 , 	81 , 	400 , 	130 , 	180 , 	166 , 	323 , 	181 , 	19 , 	331 , 	310 , 	278 , 	319 , 	150 , 	140 , 	181 , 	61 , 	37 , 	55 , 	28 , 	51 , 	82 , 	119 , 	747 , 	890 , 	813 , 	612 , 	209 , 	240 , 	77 , 	100 , 	166 , 	38 , 	63 , 	206 , 	13 , 	48 ," 	8,178 ",,,CM line," 	33,504 "," 	3,328 "," 	9,455 "," 	2,844 "," 	2,211 "," 	3,073 "," 	54,416 ",
CL, 	337 , 	116 , 	60 , 	56 , 	233 , 	80 , 	177 , 	148 , 	387 , 	150 , 	863 , 	9 , 	148 , 	152 , 	195 , 	85 , 	122 , 	203 , 	59 , 	71 , 	52 , 	31 , 	26 , 	95 , 	75 ," 	1,416 ", 	361 , 	425 , 	278 , 	116 , 	102 , 	57 , 	52 , 	92 , 	32 , 	77 , 	228 , 	24 , 	60 ," 	7,249 ",,,RM line," 	12,395 "," 	6,109 "," 	3,095 "," 	8,128 "," 	1,535 "," 	4,095 "," 	35,356 ",
SL, 	43 , 	69 , 	22 , 	26 , 	167 , 	59 , 	105 , 	179 , 	347 , 	232 , 	325 , 	181 , 	8 , 	111 , 	186 , 	94 , 	82 , 	136 , 	36 , 	21 , 	26 , 	6 , 	9 , 	20 , 	33 , 	587 , 	641 , 	402 , 	323 , 	58 , 	70 , 	31 , 	52 , 	82 , 	25 , 	39 , 	94 , 	7 , 	25 ," 	4,960 ",,,WP line," 	19,111 "," 	4,031 "," 	2,291 "," 	1,669 "," 	6,713 "," 	1,717 "," 	35,533 ",
BF, 	43 , 	41 , 	15 , 	15 , 	160 , 	42 , 	83 , 	202 , 	373 , 	201 , 	275 , 	256 , 	102 , 	14 , 	166 , 	144 , 	164 , 	299 , 	32 , 	19 , 	17 , 	8 , 	5 , 	15 , 	39 , 	597 , 	668 , 	395 , 	294 , 	60 , 	75 , 	29 , 	31 , 	83 , 	23 , 	51 , 	255 , 	5 , 	17 ," 	5,312 ",,,FT/ED line," 	19,825 "," 	7,176 "," 	3,173 "," 	4,455 "," 	1,660 "," 	14,987 "," 	51,276 ",
HY, 	136 , 	100 , 	25 , 	24 , 	154 , 	49 , 	105 , 	187 , 	213 , 	85 , 	310 , 	257 , 	204 , 	166 , 	11 , 	163 , 	250 , 	408 , 	32 , 	18 , 	17 , 	7 , 	6 , 	14 , 	30 , 	436 , 	374 , 	274 , 	208 , 	51 , 	47 , 	26 , 	29 , 	34 , 	21 , 	25 , 	98 , 	12 , 	22 ," 	4,628 ",,,Entries," 	107,687 "," 	36,147 "," 	56,189 "," 	35,116 "," 	34,233 "," 	51,949 "," 	321,321 ",
SH, 	22 , 	28 , 	9 , 	8 , 	99 , 	23 , 	47 , 	143 , 	202 , 	82 , 	129 , 	122 , 	72 , 	124 , 	151 , 	9 , 	102 , 	218 , 	13 , 	10 , 	15 , 	3 , 	5 , 	6 , 	19 , 	306 , 	321 , 	216 , 	183 , 	37 , 	43 , 	14 , 	19 , 	37 , 	12 , 	14 , 	64 , 	3 , 	18 ," 	2,950 ",,,,,,,,,,,
UC, 	19 , 	42 , 	15 , 	21 , 	158 , 	35 , 	68 , 	156 , 	252 , 	121 , 	146 , 	159 , 	88 , 	170 , 	261 , 	112 , 	15 , 	236 , 	21 , 	26 , 	16 , 	4 , 	5 , 	11 , 	19 , 	537 , 	496 , 	283 , 	219 , 	36 , 	34 , 	18 , 	24 , 	55 , 	13 , 	18 , 	61 , 	5 , 	23 ," 	4,002 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	35 , 	95 , 	38 , 	39 , 	340 , 	60 , 	107 , 	267 , 	352 , 	141 , 	174 , 	319 , 	128 , 	291 , 	425 , 	223 , 	230 , 	39 , 	33 , 	31 , 	26 , 	10 , 	15 , 	23 , 	16 , 	734 , 	762 , 	410 , 	295 , 	42 , 	43 , 	26 , 	28 , 	88 , 	22 , 	22 , 	83 , 	7 , 	44 ," 	6,064 ",,,Dtwn SF," 	9,296 ",,,,,,,
CN, 	77 , 	39 , 	35 , 	13 , 	185 , 	19 , 	146 , 	167 , 	334 , 	20 , 	87 , 	65 , 	36 , 	21 , 	45 , 	9 , 	28 , 	24 , 	60 , 	466 , 	294 , 	142 , 	43 , 	120 , 	10 ," 	1,178 ", 	644 , 	436 , 	276 , 	120 , 	67 , 	52 , 	37 , 	108 , 	45 , 	13 , 	18 , 	53 , 	377 ," 	5,908 ",,,OAK," 	27,269 "," 	1,790 ",,,,,,
PH, 	20 , 	29 , 	24 , 	19 , 	176 , 	24 , 	91 , 	285 , 	416 , 	21 , 	31 , 	90 , 	20 , 	15 , 	16 , 	13 , 	23 , 	26 , 	200 , 	18 , 	148 , 	70 , 	43 , 	131 , 	13 ," 	1,457 "," 	1,408 ", 	479 , 	436 , 	54 , 	54 , 	45 , 	37 , 	101 , 	50 , 	3 , 	9 , 	37 , 	175 ," 	6,307 ",,,CM line," 	68,440 "," 	6,566 "," 	9,455 ",,,,,
WC, 	32 , 	49 , 	27 , 	25 , 	144 , 	27 , 	100 , 	209 , 	300 , 	20 , 	42 , 	84 , 	22 , 	18 , 	18 , 	18 , 	17 , 	26 , 	650 , 	165 , 	18 , 	78 , 	56 , 	155 , 	15 ," 	1,121 "," 	1,104 ", 	451 , 	343 , 	45 , 	64 , 	50 , 	37 , 	82 , 	64 , 	5 , 	7 , 	76 , 	263 ," 	6,028 ",,,RM line," 	24,272 "," 	12,252 "," 	5,939 "," 	8,128 ",,,,
LF, 	14 , 	14 , 	8 , 	7 , 	73 , 	8 , 	34 , 	108 , 	164 , 	7 , 	26 , 	41 , 	5 , 	6 , 	6 , 	2 , 	4 , 	10 , 	173 , 	82 , 	94 , 	12 , 	22 , 	63 , 	3 , 	790 , 	719 , 	233 , 	183 , 	26 , 	27 , 	19 , 	10 , 	35 , 	22 , 	1 , 	3 , 	16 , 	37 ," 	3,106 ",,,WP line," 	37,170 "," 	8,086 "," 	4,502 "," 	3,204 "," 	6,713 ",,,
OR, 	18 , 	14 , 	11 , 	9 , 	57 , 	11 , 	33 , 	87 , 	152 , 	13 , 	35 , 	41 , 	8 , 	3 , 	7 , 	5 , 	5 , 	10 , 	83 , 	57 , 	51 , 	20 , 	8 , 	69 , 	4 , 	724 , 	651 , 	203 , 	168 , 	27 , 	26 , 	15 , 	16 , 	29 , 	19 , 	2 , 	2 , 	10 , 	17 ," 	2,719 ",,,FT/ED line," 	40,615 "," 	14,463 "," 	6,246 "," 	8,550 "," 	3,377 "," 	14,987 "," 	321,321 ",
RR, 	30 , 	32 , 	40 , 	53 , 	50 , 	10 , 	39 , 	68 , 	199 , 	38 , 	75 , 	104 , 	23 , 	20 , 	12 , 	4 , 	9 , 	15 , 	142 , 	73 , 	88 , 	36 , 	42 , 	12 , 	22 ," 	1,009 "," 	1,046 ", 	533 , 	479 , 	73 , 	52 , 	29 , 	36 , 	79 , 	24 , 	5 , 	13 , 	21 , 	45 ," 	4,681 ",,,,,,,,,,,
OW, 	45 , 	48 , 	6 , 	12 , 	70 , 	35 , 	64 , 	48 , 	75 , 	32 , 	121 , 	111 , 	30 , 	42 , 	32 , 	22 , 	18 , 	18 , 	11 , 	12 , 	13 , 	4 , 	4 , 	18 , 	6 ," 	1,254 "," 	1,194 ", 	544 , 	394 , 	102 , 	92 , 	32 , 	49 , 	50 , 	23 , 	4 , 	25 , 	4 , 	29 ," 	4,692 ",,,,,,,,,,,
EM, 	278 , 	933 , 	493 , 	495 , 	840 , 	540 , 	777 , 	910 ," 	1,218 ", 	545 , 	763 , 	601 , 	658 , 	617 , 	479 , 	334 , 	583 , 	794 , 	903 ," 	1,756 "," 	1,252 ", 	819 , 	708 , 	903 ," 	1,313 ", 	119 , 	247 , 	563 , 	363 ," 	1,098 "," 	1,604 "," 	1,257 "," 	1,689 "," 	1,229 "," 	1,279 ", 	462 ," 	1,399 ", 	425 , 	672 ," 	31,917 ",,,,,,,,,,,
MT, 	397 , 	896 , 	524 , 	494 , 	509 , 	409 , 	553 , 	510 , 	792 , 	455 ," 	1,415 ", 	932 , 	864 ," 	1,177 ", 	301 , 	255 , 	362 , 	558 , 	749 ," 	1,131 ", 	792 , 	495 , 	455 , 	733 ," 	1,059 "," 	1,731 ", 	875 ," 	1,104 "," 	1,660 ", 	893 ," 	1,647 "," 	1,327 "," 	2,053 "," 	1,515 "," 	1,383 ", 	345 , 	895 , 	326 , 	568 ," 	33,134 ",,,,,,,,,,,
PL, 	323 , 	707 , 	311 , 	328 , 	822 , 	347 , 	609 , 	589 , 	931 , 	444 , 	701 , 	582 , 	401 , 	386 , 	288 , 	208 , 	283 , 	424 , 	430 , 	557 , 	461 , 	233 , 	212 , 	476 , 	615 , 	649 , 	346 , 	154 , 	337 ," 	1,609 "," 	2,249 "," 	1,465 "," 	3,145 "," 	1,284 "," 	1,046 ", 	196 , 	607 , 	185 , 	404 ," 	25,346 ",,,,,,,,,,,
CC, 	228 , 	538 , 	256 , 	298 , 	576 , 	333 , 	524 , 	472 , 	605 , 	362 , 	516 , 	380 , 	313 , 	288 , 	199 , 	180 , 	211 , 	328 , 	431 , 	440 , 	311 , 	169 , 	160 , 	406 , 	433 , 	369 , 	375 , 	301 , 	103 , 	966 ," 	1,472 ", 	912 ," 	2,189 ", 	796 , 	832 , 	154 , 	352 , 	153 , 	345 ," 	18,274 ",,,,,,,,,,,
16, 	105 , 	108 , 	48 , 	81 , 	200 , 	100 , 	170 , 	139 , 	187 , 	72 , 	158 , 	120 , 	52 , 	48 , 	51 , 	32 , 	29 , 	43 , 	65 , 	52 , 	41 , 	24 , 	23 , 	92 , 	98 , 	782 ," 	1,094 "," 	1,496 ", 	837 , 	52 , 	349 , 	317 , 	866 , 	242 , 	204 , 	14 , 	65 , 	18 , 	79 ," 	8,556 ",,,,,,,,,,,
24, 	137 , 	132 , 	38 , 	56 , 	212 , 	84 , 	128 , 	144 , 	202 , 	86 , 	199 , 	145 , 	59 , 	63 , 	42 , 	40 , 	30 , 	43 , 	84 , 	48 , 	59 , 	28 , 	25 , 	73 , 	88 ," 	1,284 "," 	1,734 "," 	2,124 "," 	1,231 ", 	346 , 	74 , 	286 , 	903 , 	291 , 	238 , 	16 , 	50 , 	20 , 	83 ," 	10,928 ",,,,,,,,,,,
GP, 	24 , 	49 , 	21 , 	21 , 	116 , 	30 , 	62 , 	103 , 	147 , 	39 , 	54 , 	65 , 	29 , 	28 , 	24 , 	14 , 	17 , 	24 , 	43 , 	44 , 	46 , 	21 , 	16 , 	37 , 	30 ," 	1,156 "," 	1,422 "," 	1,556 ", 	731 , 	310 , 	289 , 	46 , 	199 , 	81 , 	94 , 	11 , 	57 , 	15 , 	42 ," 	7,113 ",,,,,,,,,,,
BP, 	47 , 	83 , 	32 , 	33 , 	116 , 	41 , 	78 , 	112 , 	171 , 	58 , 	98 , 	67 , 	49 , 	31 , 	28 , 	17 , 	24 , 	26 , 	41 , 	33 , 	32 , 	10 , 	10 , 	49 , 	59 ," 	1,441 "," 	1,958 "," 	3,692 "," 	1,730 ", 	824 , 	968 , 	207 , 	71 , 	178 , 	215 , 	13 , 	38 , 	15 , 	61 ," 	12,756 ",,,,,,,,,,,
DC, 	64 , 	165 , 	70 , 	80 , 	204 , 	84 , 	110 , 	155 , 	239 , 	121 , 	154 , 	134 , 	80 , 	79 , 	48 , 	37 , 	56 , 	88 , 	100 , 	104 , 	77 , 	36 , 	30 , 	77 , 	74 ," 	1,207 "," 	1,653 "," 	1,223 ", 	694 , 	250 , 	336 , 	84 , 	185 , 	21 , 	74 , 	32 , 	120 , 	44 , 	92 ," 	8,478 ",,,,,,,,,,,
CM, 	30 , 	60 , 	19 , 	14 , 	118 , 	21 , 	42 , 	161 , 	206 , 	20 , 	35 , 	54 , 	21 , 	24 , 	16 , 	10 , 	14 , 	19 , 	63 , 	46 , 	54 , 	21 , 	18 , 	25 , 	28 ," 	1,311 "," 	1,474 ", 	986 , 	687 , 	199 , 	244 , 	99 , 	230 , 	66 , 	17 , 	7 , 	31 , 	15 , 	80 ," 	6,584 ",,,,,,,,,,,
CV, 	6 , 	5 , 	3 , 	4 , 	53 , 	9 , 	17 , 	47 , 	85 , 	56 , 	58 , 	82 , 	38 , 	59 , 	29 , 	16 , 	16 , 	21 , 	4 , 	3 , 	5 , 	1 , 	2 , 	6 , 	5 , 	422 , 	400 , 	183 , 	154 , 	17 , 	17 , 	11 , 	13 , 	28 , 	9 , 	8 , 	146 , 	2 , 	3 ," 	2,045 ",,,,,,,,,,,
ED, 	30 , 	46 , 	19 , 	19 , 	131 , 	27 , 	54 , 	150 , 	247 , 	175 , 	181 , 	322 , 	91 , 	260 , 	99 , 	67 , 	59 , 	82 , 	19 , 	9 , 	7 , 	3 , 	3 , 	15 , 	27 ," 	1,248 "," 	1,036 ", 	520 , 	360 , 	69 , 	51 , 	65 , 	41 , 	120 , 	33 , 	159 , 	31 , 	4 , 	11 ," 	5,889 ",,,,,,,,,,,
NC, 	8 , 	5 , 	3 , 	4 , 	47 , 	3 , 	30 , 	107 , 	121 , 	7 , 	11 , 	30 , 	7 , 	4 , 	10 , 	4 , 	4 , 	9 , 	80 , 	39 , 	63 , 	15 , 	10 , 	22 , 	4 , 	386 , 	377 , 	170 , 	142 , 	22 , 	20 , 	15 , 	18 , 	44 , 	17 , 	2 , 	3 , 	7 , 	81 ," 	1,949 ",,,,,,,,,,,
WP, 	31 , 	27 , 	8 , 	7 , 	81 , 	21 , 	116 , 	208 , 	267 , 	24 , 	41 , 	81 , 	24 , 	20 , 	22 , 	16 , 	25 , 	40 , 	612 , 	182 , 	250 , 	39 , 	20 , 	59 , 	30 , 	588 , 	625 , 	400 , 	352 , 	84 , 	105 , 	46 , 	70 , 	93 , 	84 , 	3 , 	13 , 	100 , 	24 ," 	4,834 ",,,,,,,,,,,
