Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Sep 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	9 , 	115 , 	98 , 	60 , 	320 , 	115 , 	90 , 	52 , 	95 , 	31 , 	109 , 	82 , 	22 , 	32 , 	21 , 	12 , 	9 , 	23 , 	21 , 	7 , 	12 , 	6 , 	6 , 	18 , 	30 , 	78 , 	82 , 	247 , 	120 , 	107 , 	148 , 	23 , 	46 , 	29 , 	25 , 	4 , 	9 , 	5 , 	24 ," 	2,339 ",,,Eastbay," 	41,683 ",,SF CBD," 	83,032 ",57.9%,,
EN, 	108 , 	22 , 	81 , 	96 , 	667 , 	124 , 	107 , 	102 , 	176 , 	51 , 	82 , 	151 , 	28 , 	27 , 	27 , 	18 , 	17 , 	35 , 	24 , 	10 , 	17 , 	6 , 	10 , 	16 , 	17 , 	194 , 	153 , 	500 , 	157 , 	73 , 	111 , 	34 , 	48 , 	42 , 	33 , 	3 , 	13 , 	3 , 	24 ," 	3,409 ",,,Westbay," 	39,086 ",,non-CBD," 	60,311 ",42.1%,,
EP, 	116 , 	41 , 	8 , 	22 , 	481 , 	46 , 	45 , 	30 , 	83 , 	25 , 	37 , 	82 , 	15 , 	11 , 	11 , 	1 , 	12 , 	22 , 	6 , 	8 , 	9 , 	7 , 	5 , 	11 , 	5 , 	122 , 	90 , 	258 , 	93 , 	58 , 	25 , 	13 , 	12 , 	18 , 	14 , 	8 , 	6 , 	3 , 	8 ," 	1,865 ",,,Transbay," 	62,573 ",,,,,,
NB, 	63 , 	56 , 	27 , 	6 , 	178 , 	41 , 	36 , 	38 , 	87 , 	32 , 	45 , 	90 , 	17 , 	13 , 	14 , 	8 , 	6 , 	25 , 	12 , 	7 , 	12 , 	7 , 	4 , 	11 , 	9 , 	137 , 	139 , 	310 , 	165 , 	131 , 	55 , 	15 , 	12 , 	16 , 	13 , 	6 , 	11 , 	1 , 	7 ," 	1,863 ",,,,,,,,,,
BK, 	296 , 	650 , 	505 , 	195 , 	22 , 	361 , 	286 , 	240 , 	358 , 	162 , 	246 , 	210 , 	115 , 	117 , 	119 , 	37 , 	101 , 	322 , 	65 , 	120 , 	134 , 	84 , 	86 , 	57 , 	53 , 	470 , 	399 ," 	1,124 ", 	540 , 	221 , 	168 , 	103 , 	48 , 	141 , 	85 , 	44 , 	190 , 	21 , 	59 ," 	8,553 ",,,Extensions," 	16,695 ",,,,,,
AS, 	103 , 	114 , 	51 , 	38 , 	283 , 	7 , 	79 , 	75 , 	120 , 	62 , 	84 , 	98 , 	30 , 	30 , 	30 , 	13 , 	12 , 	26 , 	12 , 	9 , 	11 , 	5 , 	5 , 	14 , 	28 , 	110 , 	120 , 	296 , 	183 , 	133 , 	71 , 	17 , 	20 , 	16 , 	11 , 	6 , 	13 , 	5 , 	10 ," 	2,349 ",,,,,,,,,,
MA, 	86 , 	105 , 	40 , 	36 , 	281 , 	78 , 	10 , 	48 , 	116 , 	39 , 	82 , 	134 , 	36 , 	51 , 	39 , 	16 , 	16 , 	35 , 	42 , 	23 , 	30 , 	11 , 	11 , 	28 , 	42 , 	173 , 	206 , 	484 , 	261 , 	204 , 	92 , 	20 , 	28 , 	22 , 	18 , 	6 , 	21 , 	8 , 	47 ," 	3,028 ",,,,,,,,,,
19, 	56 , 	94 , 	33 , 	41 , 	201 , 	77 , 	44 , 	7 , 	30 , 	15 , 	69 , 	77 , 	33 , 	47 , 	39 , 	20 , 	33 , 	43 , 	33 , 	25 , 	32 , 	16 , 	14 , 	40 , 	27 , 	109 , 	130 , 	293 , 	184 , 	74 , 	55 , 	19 , 	30 , 	22 , 	23 , 	2 , 	22 , 	7 , 	33 ," 	2,153 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	90 , 	174 , 	88 , 	96 , 	326 , 	120 , 	100 , 	32 , 	11 , 	32 , 	146 , 	161 , 	113 , 	118 , 	80 , 	42 , 	54 , 	103 , 	65 , 	52 , 	56 , 	38 , 	32 , 	72 , 	50 , 	211 , 	261 , 	649 , 	281 , 	107 , 	89 , 	36 , 	64 , 	64 , 	61 , 	15 , 	28 , 	12 , 	60 ," 	4,188 ",,,Dtwn SF," 	3,979 "," 	5,788 "," 	15,263 "," 	6,611 "," 	5,120 "," 	7,906 "," 	44,667 "
LM, 	33 , 	50 , 	30 , 	34 , 	135 , 	62 , 	44 , 	17 , 	29 , 	6 , 	119 , 	133 , 	119 , 	102 , 	40 , 	28 , 	48 , 	73 , 	12 , 	6 , 	11 , 	4 , 	4 , 	15 , 	22 , 	138 , 	164 , 	412 , 	169 , 	74 , 	70 , 	17 , 	32 , 	24 , 	9 , 	31 , 	50 , 	3 , 	10 ," 	2,379 ",,,OAK," 	5,262 ", 	855 ," 	1,478 "," 	2,515 ", 	889 ," 	2,674 "," 	13,674 "
