Fast Pass Adjusted OD,,,,,,Sep 01,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,66,41,147,145,538,991,782,"1,213","3,925"
MT,27,35,57,106,542,"1,053",867,"1,547","4,234"
PL,246,139,116,131,911,"1,278",821,"2,173","5,815"
CC,153,156,137,74,510,861,602,"1,465","3,958"
16,475,655,879,451,43,217,208,606,"3,534"
24,792,"1,056","1,244",699,216,65,177,612,"4,861"
GP,736,901,927,477,202,172,40,139,"3,593"
BP,"1,061","1,443","2,681","1,245",572,676,150,63,"7,891"
Entries,"3,557","4,426","6,187","3,328","3,535","5,313","3,647","7,819","37,811"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,15,42,39,197,239,99,202,859
MT,3,21,19,25,166,214,179,457,"1,085"
PL,49,32,112,64,692,982,539,"1,243","3,712"
CC,33,27,76,61,332,467,224,523,"1,743"
16,147,186,617,269,47,152,110,271,"1,799"
24,180,220,837,370,140,63,111,277,"2,197"
GP,91,140,608,147,96,90,23,59,"1,255"
BP,173,278,"1,622",399,231,278,57,38,"3,075"
Entries,703,919,"3,932","1,374","1,901","2,485","1,341","3,070","15,726"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,4,31,19,125,157,66,140,563
MT,3,15,11,15,92,121,89,254,600
PL,30,17,112,45,491,703,384,872,"2,655"
CC,29,15,48,72,261,417,157,358,"1,357"
16,108,122,448,237,45,104,68,154,"1,287"
24,136,161,639,333,103,65,58,189,"1,685"
GP,70,85,470,118,64,54,21,25,908
BP,141,169,"1,233",300,139,183,27,38,"2,229"
Entries,540,587,"2,992","1,138","1,321","1,804",870,"2,031","11,283"
