Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Sep 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	76 , 	68 , 	40 , 	213 , 	93 , 	56 , 	48 , 	75 , 	22 , 	81 , 	103 , 	14 , 	16 , 	23 , 	19 , 	8 , 	19 , 	17 , 	4 , 	9 , 	5 , 	5 , 	9 , 	22 , 	61 , 	66 , 	179 , 	95 , 	78 , 	112 , 	17 , 	40 , 	20 , 	25 , 	3 , 	4 , 	3 , 	22 ," 	1,775 ",,,Eastbay," 	29,899 ",,SF CBD," 	62,040 ",59.2%,,
EN, 	77 , 	14 , 	41 , 	55 , 	307 , 	87 , 	71 , 	55 , 	121 , 	31 , 	59 , 	148 , 	20 , 	21 , 	18 , 	10 , 	14 , 	34 , 	16 , 	7 , 	14 , 	4 , 	4 , 	11 , 	16 , 	167 , 	109 , 	308 , 	115 , 	45 , 	80 , 	23 , 	37 , 	29 , 	29 , 	3 , 	11 , 	3 , 	18 ," 	2,232 ",,,Westbay," 	28,241 ",,non-CBD," 	42,830 ",40.8%,,
EP, 	67 , 	38 , 	6 , 	18 , 	219 , 	46 , 	26 , 	24 , 	48 , 	14 , 	25 , 	95 , 	7 , 	6 , 	6 , 	4 , 	8 , 	16 , 	6 , 	4 , 	8 , 	4 , 	2 , 	10 , 	4 , 	95 , 	66 , 	163 , 	91 , 	26 , 	22 , 	9 , 	9 , 	11 , 	8 , 	1 , 	10 , 	0 , 	7 ," 	1,230 ",,,Transbay," 	46,731 ",,,,,,
NB, 	44 , 	41 , 	21 , 	3 , 	75 , 	38 , 	28 , 	33 , 	59 , 	22 , 	29 , 	102 , 	10 , 	6 , 	12 , 	5 , 	6 , 	22 , 	7 , 	4 , 	7 , 	5 , 	4 , 	10 , 	9 , 	143 , 	97 , 	205 , 	138 , 	42 , 	38 , 	16 , 	8 , 	13 , 	14 , 	3 , 	10 , 	1 , 	5 ," 	1,339 ",,,,,,,,,,
BK, 	183 , 	276 , 	214 , 	73 , 	17 , 	213 , 	130 , 	139 , 	217 , 	82 , 	135 , 	193 , 	43 , 	42 , 	37 , 	17 , 	52 , 	162 , 	38 , 	27 , 	36 , 	19 , 	15 , 	25 , 	31 , 	282 , 	200 , 	669 , 	336 , 	98 , 	83 , 	45 , 	30 , 	55 , 	45 , 	11 , 	44 , 	4 , 	16 ," 	4,335 ",,,Extensions," 	13,206 ",,,,,,
AS, 	86 , 	72 , 	40 , 	30 , 	164 , 	4 , 	66 , 	52 , 	95 , 	38 , 	69 , 	109 , 	23 , 	24 , 	17 , 	7 , 	10 , 	21 , 	9 , 	4 , 	10 , 	4 , 	5 , 	10 , 	26 , 	109 , 	85 , 	211 , 	145 , 	63 , 	61 , 	11 , 	14 , 	10 , 	11 , 	7 , 	13 , 	2 , 	10 ," 	1,747 ",,,,,,,,,,
MA, 	54 , 	69 , 	20 , 	24 , 	135 , 	66 , 	6 , 	30 , 	66 , 	24 , 	69 , 	143 , 	27 , 	33 , 	25 , 	14 , 	11 , 	25 , 	24 , 	15 , 	21 , 	8 , 	6 , 	16 , 	28 , 	178 , 	128 , 	324 , 	218 , 	84 , 	69 , 	20 , 	22 , 	18 , 	18 , 	3 , 	10 , 	5 , 	40 ," 	2,096 ",,,,,,,,,,
19, 	37 , 	42 , 	23 , 	31 , 	114 , 	51 , 	25 , 	5 , 	21 , 	10 , 	44 , 	66 , 	19 , 	25 , 	18 , 	10 , 	13 , 	25 , 	17 , 	11 , 	21 , 	12 , 	7 , 	24 , 	11 , 	91 , 	76 , 	187 , 	154 , 	45 , 	39 , 	14 , 	11 , 	10 , 	13 , 	3 , 	6 , 	2 , 	20 ," 	1,356 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	57 , 	97 , 	59 , 	63 , 	192 , 	92 , 	56 , 	24 , 	10 , 	19 , 	108 , 	157 , 	76 , 	78 , 	56 , 	27 , 	39 , 	65 , 	46 , 	30 , 	44 , 	21 , 	18 , 	53 , 	35 , 	180 , 	188 , 	483 , 	197 , 	65 , 	57 , 	26 , 	45 , 	38 , 	41 , 	5 , 	21 , 	9 , 	45 ," 	2,922 ",,,Dtwn SF," 	2,725 "," 	4,391 "," 	10,964 "," 	4,292 "," 	4,272 "," 	6,288 "," 	32,933 "
LM, 	21 , 	25 , 	20 , 	24 , 	67 , 	36 , 	25 , 	10 , 	21 , 	5 , 	84 , 	146 , 	84 , 	65 , 	23 , 	18 , 	39 , 	46 , 	6 , 	3 , 	8 , 	4 , 	1 , 	8 , 	15 , 	122 , 	111 , 	294 , 	134 , 	45 , 	53 , 	15 , 	22 , 	20 , 	7 , 	21 , 	35 , 	0 , 	10 ," 	1,692 ",,,OAK," 	3,900 ", 	550 , 	935 ," 	1,527 ", 	589 ," 	1,968 "," 	9,468 "
