Fast Pass Adjusted OD,,,,,,Sep 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,54,33,116,123,465,851,736,"1,106","3,484"
MT,34,45,69,124,738,"1,230","1,087","2,309","5,635"
PL,152,85,76,106,643,"1,000",678,"1,773","4,514"
CC,112,125,119,68,547,774,563,"1,522","3,829"
16,373,554,792,502,29,199,188,623,"3,260"
24,736,953,"1,166",755,201,38,158,618,"4,625"
GP,686,851,878,463,186,161,25,134,"3,383"
BP,985,"1,337","2,613","1,384",589,650,133,33,"7,724"
Entries,"3,132","3,983","5,829","3,524","3,398","4,903","3,568","8,119","36,455"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,30,10,38,28,193,265,113,238,914
MT,14,32,25,30,320,364,330,"1,070","2,184"
PL,38,21,126,42,501,788,424,"1,062","3,002"
CC,26,22,52,63,328,446,190,525,"1,651"
16,128,182,590,329,28,147,97,280,"1,780"
24,194,239,822,417,134,56,110,276,"2,247"
GP,98,153,585,178,95,93,27,58,"1,286"
BP,202,327,"1,706",471,288,287,65,47,"3,392"
Entries,728,985,"3,943","1,558","1,886","2,444","1,355","3,556","16,454"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,5,19,19,118,159,75,147,567
MT,5,15,21,26,206,231,212,678,"1,393"
PL,28,12,77,37,354,540,286,664,"1,997"
CC,20,17,45,51,304,366,159,360,"1,321"
16,100,141,431,293,35,98,54,149,"1,300"
24,141,154,605,374,96,38,66,167,"1,640"
GP,76,94,425,139,60,55,21,34,903
BP,154,204,"1,255",294,150,178,29,26,"2,290"
Entries,550,641,"2,878","1,234","1,321","1,662",902,"2,223","11,410"
