Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jun 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	69 , 	55 , 	35 , 	111 , 	63 , 	43 , 	22 , 	42 , 	28 , 	66 , 	65 , 	12 , 	19 , 	19 , 	11 , 	11 , 	19 , 	20 , 	5 , 	9 , 	5 , 	5 , 	9 , 	14 , 	71 , 	62 , 	170 , 	110 , 	55 , 	72 , 	15 , 	29 , 	17 , 	5 , 	3 , 	10 , 	2 , 	21 , 	7 , 	4 , 	18 , 	11 ," 	1,439 ",,,Eastbay," 	29,069 ",,SF CBD," 	89,342 ",67.5%,,,
EN, 	83 , 	12 , 	63 , 	38 , 	191 , 	111 , 	84 , 	37 , 	90 , 	30 , 	77 , 	175 , 	20 , 	27 , 	18 , 	17 , 	19 , 	41 , 	18 , 	10 , 	14 , 	6 , 	6 , 	11 , 	19 , 	213 , 	151 , 	446 , 	376 , 	64 , 	89 , 	31 , 	47 , 	38 , 	17 , 	3 , 	21 , 	1 , 	25 , 	6 , 	11 , 	45 , 	10 ," 	2,804 ",,,Westbay," 	43,236 ",,non-CBD," 	46,626 ",35.2%,,,
EP, 	72 , 	57 , 	7 , 	27 , 	188 , 	57 , 	45 , 	23 , 	58 , 	22 , 	28 , 	94 , 	14 , 	11 , 	13 , 	5 , 	7 , 	24 , 	8 , 	6 , 	11 , 	4 , 	5 , 	11 , 	7 , 	121 , 	100 , 	237 , 	230 , 	41 , 	26 , 	19 , 	18 , 	16 , 	2 , 	5 , 	7 , 	2 , 	9 , 	2 , 	3 , 	37 , 	10 ," 	1,685 ",,,Transbay," 	67,498 ",,,,,,,
NB, 	34 , 	41 , 	33 , 	4 , 	68 , 	40 , 	35 , 	29 , 	53 , 	23 , 	27 , 	85 , 	13 , 	14 , 	10 , 	3 , 	13 , 	21 , 	7 , 	7 , 	10 , 	4 , 	3 , 	8 , 	5 , 	182 , 	148 , 	266 , 	290 , 	72 , 	61 , 	22 , 	12 , 	13 , 	2 , 	3 , 	12 , 	3 , 	6 , 	2 , 	1 , 	44 , 	12 ," 	1,736 ",,,,,,,,,,,
BK, 	129 , 	200 , 	175 , 	62 , 	21 , 	129 , 	122 , 	96 , 	153 , 	68 , 	89 , 	267 , 	43 , 	39 , 	52 , 	17 , 	45 , 	147 , 	27 , 	26 , 	43 , 	19 , 	18 , 	24 , 	25 , 	356 , 	257 , 	775 , 	516 , 	136 , 	108 , 	57 , 	39 , 	51 , 	4 , 	17 , 	44 , 	7 , 	17 , 	5 , 	6 , 	127 , 	47 ," 	4,600 ",,,,,,,,,,,
AS, 	76 , 	99 , 	50 , 	46 , 	117 , 	9 , 	83 , 	62 , 	77 , 	41 , 	69 , 	100 , 	26 , 	23 , 	20 , 	13 , 	17 , 	23 , 	8 , 	8 , 	15 , 	6 , 	4 , 	10 , 	29 , 	131 , 	109 , 	246 , 	302 , 	104 , 	83 , 	19 , 	16 , 	16 , 	3 , 	8 , 	14 , 	2 , 	13 , 	2 , 	3 , 	34 , 	13 ," 	2,143 ",,,,,,,,,,,
MA, 	48 , 	84 , 	35 , 	31 , 	122 , 	82 , 	11 , 	24 , 	54 , 	23 , 	77 , 	143 , 	29 , 	42 , 	38 , 	22 , 	11 , 	29 , 	27 , 	21 , 	23 , 	13 , 	11 , 	22 , 	27 , 	241 , 	210 , 	471 , 	482 , 	160 , 	122 , 	32 , 	26 , 	22 , 	5 , 	8 , 	16 , 	7 , 	53 , 	6 , 	4 , 	53 , 	10 ," 	2,973 ",,,,,,,,,,,
19, 	18 , 	36 , 	25 , 	33 , 	97 , 	59 , 	25 , 	4 , 	11 , 	14 , 	46 , 	76 , 	20 , 	27 , 	22 , 	8 , 	13 , 	19 , 	14 , 	16 , 	18 , 	6 , 	6 , 	27 , 	13 , 	104 , 	94 , 	232 , 	223 , 	79 , 	56 , 	20 , 	16 , 	21 , 	3 , 	4 , 	15 , 	3 , 	21 , 	4 , 	1 , 	19 , 	8 ," 	1,570 ",,,,,,,,,,,
12, 	44 , 	81 , 	54 , 	40 , 	144 , 	87 , 	44 , 	10 , 	10 , 	16 , 	71 , 	134 , 	64 , 	68 , 	63 , 	22 , 	38 , 	65 , 	36 , 	26 , 	37 , 	13 , 	18 , 	34 , 	36 , 	195 , 	206 , 	475 , 	305 , 	94 , 	68 , 	35 , 	44 , 	42 , 	10 , 	7 , 	18 , 	8 , 	45 , 	3 , 	5 , 	39 , 	13 ," 	2,862 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	27 , 	25 , 	25 , 	25 , 	68 , 	38 , 	22 , 	11 , 	13 , 	9 , 	92 , 	110 , 	82 , 	85 , 	30 , 	18 , 	31 , 	47 , 	5 , 	7 , 	12 , 	4 , 	4 , 	10 , 	24 , 	161 , 	175 , 	443 , 	313 , 	83 , 	90 , 	28 , 	41 , 	22 , 	8 , 	40 , 	67 , 	3 , 	14 , 	5 , 	6 , 	42 , 	12 ," 	2,373 ",,,Dtwn SF," 	2,087 "," 	5,939 "," 	13,661 "," 	5,847 "," 	6,076 "," 	8,666 "," 	3,564 "," 	42,275 "
