Fast Pass Adjusted OD,,,,,,Jun 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,56,43,163,166,572,927,780,"1,144","3,851"
MT,43,53,96,151,807,"1,325","1,122","2,108","5,705"
PL,214,121,73,122,695,"1,045",675,"1,552","4,497"
CC,160,148,138,51,527,671,528,"1,201","3,423"
16,508,657,876,543,26,216,212,516,"3,555"
24,776,"1,051","1,268",667,223,43,156,410,"4,594"
GP,738,871,908,467,227,170,30,103,"3,512"
BP,"1,051","1,272","2,439","1,114",531,428,115,56,"7,005"
Entries,"3,545","4,214","5,962","3,280","3,607","4,826","3,619","7,089","36,142"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,7,47,41,230,263,147,284,"1,038"
MT,9,18,25,39,325,371,344,999,"2,130"
PL,53,22,67,48,564,845,493,"1,145","3,237"
CC,38,22,62,42,370,409,213,505,"1,660"
16,199,221,666,389,20,156,143,305,"2,098"
24,225,239,914,418,139,38,115,287,"2,374"
GP,135,167,679,190,134,113,20,55,"1,491"
BP,272,336,"1,875",463,306,285,65,30,"3,631"
Entries,952,"1,032","4,334","1,630","2,086","2,478","1,538","3,610","17,659"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,7,32,44,155,186,96,174,719
MT,5,20,19,34,203,239,222,669,"1,410"
PL,36,9,76,60,447,615,364,843,"2,450"
CC,41,27,76,63,384,404,199,421,"1,614"
16,161,149,553,401,28,119,93,217,"1,720"
24,173,166,716,438,112,41,91,221,"1,958"
GP,97,112,514,176,97,76,16,27,"1,113"
BP,186,225,"1,400",351,204,211,34,34,"2,643"
Entries,725,714,"3,385","1,565","1,629","1,889","1,115","2,606","13,627"
