Exit stations,Entry stations->,,SATURDAY,,,Sep 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	12 , 	43 , 	44 , 	24 , 	172 , 	25 , 	42 , 	25 , 	35 , 	14 , 	33 , 	34 , 	9 , 	9 , 	9 , 	5 , 	3 , 	1 , 	8 , 	8 , 	5 , 	4 , 	5 , 	6 , 	13 , 	98 , 	58 , 	178 , 	64 , 	60 , 	65 , 	12 , 	20 , 	17 , 	5 , 	3 , 	3 , 	1 , 	3 , 	8 , 	5 , 	30 , 	7 , 	3 , 	3 , 	10 , 	5 , 	9 , 	5 , 	4 ," 	1,257 ",,,,,,,,,,
EN, 	45 , 	24 , 	31 , 	23 , 	265 , 	35 , 	55 , 	53 , 	64 , 	25 , 	46 , 	38 , 	18 , 	13 , 	15 , 	7 , 	6 , 	10 , 	12 , 	3 , 	7 , 	4 , 	2 , 	10 , 	11 , 	170 , 	111 , 	286 , 	100 , 	76 , 	77 , 	15 , 	24 , 	26 , 	10 , 	3 , 	5 , 	3 , 	8 , 	5 , 	15 , 	43 , 	12 , 	3 , 	20 , 	8 , 	7 , 	12 , 	4 , 	6 ," 	1,865 ",,,,,,,,,,
EP, 	41 , 	27 , 	15 , 	22 , 	234 , 	30 , 	36 , 	40 , 	40 , 	24 , 	17 , 	25 , 	8 , 	4 , 	6 , 	7 , 	2 , 	5 , 	4 , 	3 , 	9 , 	5 , 	3 , 	8 , 	3 , 	106 , 	63 , 	135 , 	62 , 	38 , 	25 , 	15 , 	5 , 	9 , 	2 , 	3 , 	3 , 	1 , 	2 , 	0 , 	4 , 	35 , 	7 , 	3 , 	14 , 	2 , 	5 , 	5 , 	1 , 	1 ," 	1,158 ",,,,,,,,,,
NB, 	32 , 	27 , 	23 , 	18 , 	75 , 	20 , 	28 , 	38 , 	32 , 	29 , 	22 , 	27 , 	12 , 	5 , 	4 , 	6 , 	2 , 	7 , 	4 , 	3 , 	7 , 	5 , 	4 , 	5 , 	7 , 	152 , 	78 , 	129 , 	77 , 	61 , 	43 , 	13 , 	9 , 	9 , 	3 , 	3 , 	1 , 	3 , 	4 , 	2 , 	2 , 	41 , 	8 , 	2 , 	16 , 	3 , 	5 , 	10 , 	1 , 	2 ," 	1,110 ",,,,,,,,,,
BK, 	177 , 	259 , 	235 , 	86 , 	89 , 	107 , 	111 , 	131 , 	159 , 	74 , 	77 , 	63 , 	50 , 	55 , 	64 , 	54 , 	21 , 	38 , 	21 , 	37 , 	44 , 	40 , 	36 , 	19 , 	22 , 	421 , 	222 , 	429 , 	225 , 	144 , 	101 , 	75 , 	31 , 	62 , 	9 , 	16 , 	52 , 	4 , 	11 , 	12 , 	11 , 	67 , 	64 , 	11 , 	52 , 	27 , 	49 , 	63 , 	3 , 	10 ," 	4,232 ",,,,,,,,,,
AS, 	27 , 	40 , 	31 , 	14 , 	90 , 	24 , 	32 , 	37 , 	44 , 	32 , 	31 , 	30 , 	14 , 	9 , 	8 , 	8 , 	3 , 	6 , 	5 , 	4 , 	7 , 	4 , 	2 , 	4 , 	10 , 	125 , 	75 , 	117 , 	77 , 	60 , 	41 , 	9 , 	10 , 	9 , 	2 , 	2 , 	6 , 	1 , 	2 , 	1 , 	4 , 	23 , 	7 , 	1 , 	11 , 	5 , 	5 , 	9 , 	1 , 	2 ," 	1,117 ",,,,,,,,,,
MA, 	52 , 	48 , 	33 , 	27 , 	112 , 	32 , 	34 , 	48 , 	53 , 	30 , 	56 , 	46 , 	24 , 	15 , 	21 , 	13 , 	6 , 	11 , 	24 , 	20 , 	35 , 	16 , 	16 , 	27 , 	24 , 	232 , 	134 , 	259 , 	164 , 	154 , 	82 , 	26 , 	24 , 	11 , 	4 , 	3 , 	5 , 	3 , 	15 , 	3 , 	4 , 	69 , 	12 , 	4 , 	13 , 	9 , 	9 , 	15 , 	5 , 	19 ," 	2,092 ",,,,,,,,,,
19, 	29 , 	56 , 	42 , 	43 , 	137 , 	43 , 	47 , 	33 , 	15 , 	17 , 	37 , 	42 , 	23 , 	23 , 	33 , 	14 , 	8 , 	13 , 	26 , 	21 , 	31 , 	16 , 	14 , 	46 , 	26 , 	254 , 	148 , 	263 , 	173 , 	151 , 	102 , 	30 , 	29 , 	23 , 	6 , 	4 , 	9 , 	6 , 	11 , 	4 , 	5 , 	50 , 	17 , 	3 , 	17 , 	9 , 	13 , 	15 , 	5 , 	15 ," 	2,192 ",,,,,,,,,,
12, 	34 , 	47 , 	39 , 	29 , 	148 , 	41 , 	48 , 	11 , 	38 , 	8 , 	31 , 	50 , 	28 , 	33 , 	27 , 	14 , 	7 , 	10 , 	29 , 	24 , 	26 , 	16 , 	13 , 	45 , 	31 , 	257 , 	146 , 	321 , 	179 , 	113 , 	65 , 	29 , 	37 , 	29 , 	13 , 	1 , 	5 , 	3 , 	12 , 	6 , 	15 , 	64 , 	21 , 	3 , 	16 , 	7 , 	12 , 	14 , 	4 , 	14 ," 	2,206 ",,,,,,,,,,
LM, 	15 , 	28 , 	29 , 	21 , 	64 , 	33 , 	31 , 	11 , 	13 , 	24 , 	71 , 	80 , 	85 , 	86 , 	42 , 	26 , 	18 , 	29 , 	6 , 	8 , 	9 , 	7 , 	5 , 	11 , 	13 , 	190 , 	121 , 	233 , 	139 , 	109 , 	76 , 	32 , 	29 , 	21 , 	6 , 	37 , 	51 , 	2 , 	3 , 	4 , 	3 , 	15 , 	6 , 	26 , 	21 , 	15 , 	16 , 	27 , 	2 , 	2 ," 	1,942 ",,,,,,,,,,
FV, 	39 , 	43 , 	15 , 	23 , 	75 , 	28 , 	44 , 	43 , 	31 , 	57 , 	34 , 	107 , 	82 , 	100 , 	59 , 	27 , 	14 , 	24 , 	13 , 	6 , 	9 , 	7 , 	7 , 	18 , 	43 , 	166 , 	101 , 	270 , 	161 , 	95 , 	92 , 	15 , 	24 , 	27 , 	8 , 	18 , 	44 , 	2 , 	10 , 	3 , 	5 , 	27 , 	5 , 	26 , 	9 , 	27 , 	18 , 	23 , 	2 , 	7 ," 	2,129 ",,,,,,,,,,
