Exit stations,Entry stations->,,TOTAL,,,Sep 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	539 ," 	1,941 "," 	1,679 ", 	958 ," 	6,826 "," 	1,181 "," 	2,026 "," 	1,367 "," 	1,593 ", 	586 ," 	1,323 "," 	1,092 ", 	475 , 	230 , 	543 , 	260 , 	147 , 	180 , 	291 , 	211 , 	287 , 	175 , 	114 , 	304 , 	551 ," 	4,943 "," 	3,425 "," 	6,633 "," 	3,736 "," 	2,794 "," 	2,824 ", 	750 , 	793 ," 	1,439 ", 	330 , 	87 , 	162 , 	93 , 	146 , 	237 , 	305 ," 	1,061 ", 	280 , 	91 , 	228 , 	467 , 	127 , 	242 , 	197 , 	231 ," 	56,500 ",,,,,,,,,,,,,
EN," 	2,142 ", 	751 ," 	1,713 "," 	1,072 "," 	10,404 "," 	1,711 "," 	2,838 "," 	3,092 "," 	4,079 "," 	1,003 "," 	1,830 "," 	1,656 ", 	705 , 	554 , 	876 , 	265 , 	386 , 	450 , 	475 , 	250 , 	350 , 	143 , 	168 , 	393 , 	520 ," 	9,901 "," 	7,778 "," 	11,252 "," 	7,054 "," 	3,253 "," 	2,865 ", 	896 ," 	1,254 "," 	2,023 ", 	306 , 	121 , 	204 , 	112 , 	193 , 	345 , 	507 ," 	1,758 ", 	621 , 	155 , 	718 , 	473 , 	356 , 	491 , 	101 , 	200 ," 	90,763 ",,,,,,,,,,,,,
EP," 	1,638 "," 	1,666 ", 	453 , 	855 ," 	8,357 ", 	997 ," 	1,637 "," 	1,922 "," 	2,228 ", 	780 , 	734 , 	672 , 	511 , 	227 , 	286 , 	170 , 	156 , 	230 , 	303 , 	211 , 	260 , 	137 , 	124 , 	348 , 	161 ," 	5,340 "," 	4,358 "," 	4,290 "," 	3,775 "," 	1,436 ", 	888 , 	433 , 	409 , 	741 , 	65 , 	73 , 	111 , 	32 , 	99 , 	113 , 	130 ," 	1,088 ", 	259 , 	98 , 	478 , 	148 , 	129 , 	280 , 	33 , 	117 ," 	49,986 ",,,,,,,,,,,,,
NB," 	1,011 "," 	1,002 ", 	969 , 	434 ," 	2,363 ", 	666 ," 	1,022 "," 	1,749 "," 	1,601 ", 	641 , 	998 , 	823 , 	406 , 	204 , 	224 , 	190 , 	155 , 	271 , 	169 , 	182 , 	206 , 	107 , 	88 , 	188 , 	202 ," 	5,638 "," 	4,335 "," 	3,653 "," 	4,164 "," 	1,788 "," 	1,181 ", 	381 , 	495 , 	453 , 	97 , 	96 , 	129 , 	96 , 	108 , 	79 , 	74 ," 	1,477 ", 	278 , 	39 , 	553 , 	179 , 	178 , 	233 , 	41 , 	94 ," 	41,710 ",,,,,,,,,,,,,
BK," 	7,483 "," 	10,999 "," 	8,749 "," 	2,825 "," 	2,108 "," 	4,261 "," 	4,805 "," 	5,456 "," 	5,699 "," 	2,443 "," 	3,499 "," 	2,542 "," 	2,136 "," 	1,724 "," 	1,756 "," 	1,530 "," 	1,546 "," 	1,381 "," 	1,081 "," 	1,192 "," 	1,224 ", 	826 , 	603 , 	400 ," 	1,091 "," 	10,525 "," 	7,004 "," 	9,144 "," 	7,375 "," 	4,125 "," 	3,206 "," 	1,908 "," 	1,322 "," 	1,692 ", 	430 , 	594 ," 	1,362 ", 	261 , 	630 , 	399 , 	432 ," 	2,392 "," 	1,658 ", 	397 ," 	1,714 ", 	781 ," 	1,469 "," 	1,775 ", 	307 , 	589 ," 	138,850 ",,,,,,,,,,,,,
AS," 	1,318 "," 	1,705 "," 	1,067 ", 	720 ," 	4,034 ", 	506 ," 	1,034 "," 	1,924 "," 	1,745 ", 	811 ," 	1,426 ", 	983 , 	597 , 	306 , 	386 , 	212 , 	269 , 	253 , 	177 , 	174 , 	199 , 	100 , 	48 , 	102 , 	474 ," 	5,413 "," 	4,152 "," 	3,932 "," 	4,094 "," 	2,113 "," 	1,145 ", 	341 , 	510 , 	401 , 	98 , 	57 , 	194 , 	68 , 	113 , 	96 , 	174 ," 	1,029 ", 	270 , 	58 , 	463 , 	252 , 	233 , 	322 , 	29 , 	138 ," 	46,265 ",,,,,,,,,,,,,
MA," 	2,306 "," 	2,778 "," 	1,497 "," 	1,105 "," 	4,866 "," 	1,134 "," 	1,175 "," 	1,995 "," 	2,312 ", 	837 ," 	2,430 "," 	2,238 "," 	1,485 ", 	773 ," 	1,134 ", 	663 , 	550 , 	645 ," 	1,374 "," 	1,337 "," 	1,552 ", 	591 , 	611 ," 	1,020 ", 	845 ," 	10,587 "," 	7,168 "," 	8,416 "," 	7,812 "," 	4,672 "," 	2,645 ", 	914 ," 	1,147 ", 	833 , 	210 , 	141 , 	500 , 	273 , 	963 , 	204 , 	225 ," 	2,199 ", 	539 , 	152 , 	539 , 	376 , 	385 , 	596 , 	511 ," 	1,291 "," 	90,551 ",,,,,,,,,,,,,
19," 	1,436 "," 	3,060 "," 	1,923 "," 	1,905 "," 	5,217 "," 	1,885 "," 	1,933 "," 	1,198 ", 	503 , 	492 ," 	1,721 "," 	2,245 "," 	1,678 "," 	1,412 "," 	1,351 ", 	832 , 	905 ," 	1,057 "," 	1,660 "," 	1,545 "," 	1,787 ", 	906 , 	820 ," 	1,492 ", 	904 ," 	12,133 "," 	9,119 "," 	8,860 "," 	8,250 "," 	4,676 "," 	3,250 "," 	1,235 "," 	1,238 "," 	1,290 ", 	384 , 	291 , 	830 , 	449 ," 	1,063 ", 	402 , 	401 ," 	1,844 ", 	795 , 	312 , 	683 , 	551 , 	700 , 	800 , 	329 ," 	1,079 "," 	100,831 ",,,,,,,,,,,,,
12," 	1,765 "," 	3,979 "," 	2,169 "," 	1,672 "," 	5,197 "," 	1,713 "," 	2,398 ", 	510 ," 	1,416 ", 	384 ," 	1,803 "," 	2,517 "," 	2,389 "," 	2,316 "," 	2,097 "," 	1,181 "," 	1,424 "," 	1,240 "," 	1,941 "," 	2,141 "," 	2,311 ", 	951 , 	856 ," 	1,651 "," 	1,110 "," 	11,967 "," 	8,142 "," 	10,491 "," 	8,028 "," 	3,810 "," 	2,770 "," 	1,497 "," 	1,592 "," 	1,912 ", 	726 , 	363 ," 	1,020 ", 	556 ," 	1,464 ", 	716 , 	624 ," 	2,344 ", 	865 , 	390 , 	763 , 	707 , 	604 , 	845 , 	706 ," 	1,802 "," 	111,835 ",,,,,,,,,,,,,
LM, 	614 , 	905 , 	728 , 	590 ," 	2,652 ", 	818 , 	893 , 	390 , 	406 , 	617 ," 	2,584 "," 	3,205 "," 	4,107 "," 	2,961 "," 	1,942 "," 	1,436 "," 	1,057 "," 	1,048 ", 	247 , 	261 , 	224 , 	104 , 	77 , 	247 , 	460 ," 	8,910 "," 	6,735 "," 	7,518 "," 	6,264 "," 	3,115 "," 	2,058 ", 	809 ," 	1,044 ", 	993 , 	107 ," 	1,404 "," 	2,237 ", 	136 , 	222 , 	161 , 	161 , 	580 , 	110 ," 	1,101 ", 	638 , 	780 , 	525 , 	761 , 	78 , 	357 ," 	75,377 ",,,,,,,,,,,,,
FV," 	1,326 "," 	1,682 ", 	694 , 	937 ," 	3,536 "," 	1,230 "," 	2,343 "," 	1,827 "," 	1,884 "," 	2,258 "," 	1,149 "," 	3,978 "," 	3,570 "," 	3,686 "," 	3,318 "," 	1,636 "," 	1,268 "," 	1,478 ", 	471 , 	304 , 	430 , 	207 , 	279 , 	605 ," 	1,712 "," 	9,112 "," 	6,813 "," 	10,255 "," 	8,743 "," 	3,647 "," 	3,194 ", 	776 ," 	1,384 "," 	2,049 ", 	180 , 	928 ," 	1,813 ", 	79 , 	283 , 	169 , 	271 , 	943 , 	199 ," 	1,000 ", 	338 ," 	1,113 ", 	575 , 	899 , 	159 , 	400 ," 	97,130 ",,,,,,,,,,,,,
CL," 	1,121 "," 	1,624 ", 	692 , 	789 ," 	2,399 "," 	1,051 "," 	2,524 "," 	2,201 "," 	2,794 "," 	2,719 "," 	3,850 ", 	804 ," 	2,734 "," 	2,715 "," 	2,720 "," 	1,421 "," 	1,233 "," 	1,210 ", 	674 , 	538 , 	520 , 	304 , 	333 , 	552 ," 	1,468 "," 	5,512 "," 	3,677 "," 	5,798 "," 	4,341 "," 	1,934 "," 	2,240 ", 	812 ," 	1,009 "," 	1,641 ", 	131 , 	970 ," 	2,940 ", 	179 , 	510 , 	238 , 	309 , 	595 , 	332 , 	925 , 	971 ," 	1,309 ", 	818 ," 	1,589 ", 	267 , 	671 ," 	78,708 ",,,,,,,,,,,,,
