Fast Pass Adjusted OD,,,,,,Dec 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,64,53,233,201,600,977,782,"1,245","4,155"
MT,60,57,148,215,837,"1,370","1,149","2,311","6,146"
PL,381,224,100,191,843,"1,233",787,"2,125","5,884"
CC,173,191,214,61,518,706,539,"1,315","3,715"
16,526,630,"1,077",532,31,230,224,600,"3,851"
24,772,976,"1,496",702,240,39,157,539,"4,919"
GP,694,839,"1,080",463,210,175,27,138,"3,625"
BP,"1,068","1,231","3,038","1,154",593,579,144,45,"7,851"
Entries,"3,736","4,200","7,385","3,518","3,872","5,309","3,809","8,317","40,147"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,7,74,40,217,262,125,281,"1,035"
MT,12,20,31,34,305,327,319,"1,049","2,097"
PL,86,26,93,71,722,"1,038",605,"1,508","4,149"
CC,40,24,81,50,326,393,208,469,"1,592"
16,185,164,868,345,46,159,129,332,"2,230"
24,211,191,"1,138",398,160,54,113,321,"2,588"
GP,118,146,811,181,126,109,31,83,"1,604"
BP,266,300,"2,257",387,320,306,78,45,"3,960"
Entries,948,879,"5,353","1,505","2,223","2,649","1,609","4,089","19,255"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,5,50,24,145,145,72,187,655
MT,6,19,26,24,185,218,193,698,"1,369"
PL,56,16,86,55,548,800,467,"1,080","3,109"
CC,21,14,69,44,284,318,159,343,"1,254"
16,147,99,681,291,33,116,95,232,"1,694"
24,148,116,894,335,118,39,87,233,"1,970"
GP,79,81,658,137,82,83,21,39,"1,181"
BP,188,191,"1,726",305,230,231,44,31,"2,945"
Entries,673,541,"4,190","1,216","1,625","1,951","1,139","2,842","14,176"
