Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
SL, 	16 , 	19 , 	13 , 	8 , 	45 , 	15 , 	40 , 	32 , 	59 , 	67 , 	104 , 	575 , 	8 , 	95 , 	51 , 	27 , 	26 , 	44 , 	11 , 	3 , 	6 , 	2 , 	1 , 	11 , 	17 , 	89 , 	71 , 	400 , 	83 , 	28 , 	31 , 	14 , 	20 , 	20 , 	6 , 	22 , 	39 , 	3 , 	16 , 	5 , 	5 , 	22 , 	9 ," 	2,176 ",,,,,,,,,,
BF, 	16 , 	28 , 	10 , 	13 , 	47 , 	25 , 	58 , 	39 , 	79 , 	87 , 	229 , 	535 , 	88 , 	7 , 	104 , 	73 , 	62 , 	105 , 	15 , 	4 , 	8 , 	2 , 	2 , 	9 , 	30 , 	91 , 	75 , 	351 , 	84 , 	25 , 	28 , 	14 , 	18 , 	18 , 	8 , 	49 , 	121 , 	2 , 	21 , 	5 , 	5 , 	21 , 	6 ," 	2,616 ",,,,,,,,,,
HY, 	18 , 	24 , 	8 , 	8 , 	40 , 	19 , 	41 , 	29 , 	43 , 	36 , 	110 , 	296 , 	58 , 	122 , 	7 , 	61 , 	62 , 	97 , 	6 , 	6 , 	4 , 	1 , 	1 , 	6 , 	18 , 	57 , 	37 , 	139 , 	51 , 	12 , 	16 , 	6 , 	10 , 	14 , 	3 , 	13 , 	35 , 	3 , 	13 , 	3 , 	7 , 	12 , 	1 ," 	1,552 ",,,,,,,,,,
SH, 	11 , 	10 , 	3 , 	2 , 	13 , 	7 , 	16 , 	13 , 	27 , 	19 , 	38 , 	196 , 	28 , 	90 , 	55 , 	4 , 	40 , 	69 , 	8 , 	2 , 	4 , 	1 , 	1 , 	2 , 	6 , 	25 , 	21 , 	140 , 	29 , 	15 , 	17 , 	4 , 	10 , 	10 , 	3 , 	9 , 	21 , 	2 , 	10 , 	2 , 	4 , 	8 , 	2 , 	996 ,,,,,,,,,,
UC, 	8 , 	19 , 	6 , 	6 , 	40 , 	13 , 	17 , 	16 , 	32 , 	30 , 	43 , 	297 , 	28 , 	61 , 	67 , 	40 , 	5 , 	68 , 	5 , 	4 , 	5 , 	3 , 	1 , 	4 , 	10 , 	60 , 	39 , 	240 , 	48 , 	14 , 	15 , 	5 , 	13 , 	14 , 	9 , 	5 , 	24 , 	2 , 	12 , 	3 , 	3 , 	21 , 	3 ," 	1,359 ",,,,,,,,,,
FM, 	13 , 	39 , 	22 , 	17 , 	111 , 	24 , 	34 , 	26 , 	62 , 	48 , 	67 , 	907 , 	44 , 	118 , 	112 , 	67 , 	71 , 	13 , 	17 , 	13 , 	9 , 	3 , 	3 , 	12 , 	8 , 	136 , 	100 , 	555 , 	139 , 	28 , 	20 , 	18 , 	20 , 	23 , 	5 , 	14 , 	46 , 	3 , 	22 , 	3 , 	7 , 	39 , 	3 ," 	3,044 ",,,,,,,,,,
CN, 	12 , 	19 , 	10 , 	8 , 	21 , 	11 , 	39 , 	21 , 	37 , 	7 , 	24 , 	152 , 	11 , 	15 , 	8 , 	6 , 	5 , 	18 , 	10 , 	44 , 	173 , 	48 , 	20 , 	31 , 	9 , 	109 , 	72 , 	273 , 	78 , 	22 , 	29 , 	14 , 	25 , 	28 , 	4 , 	4 , 	6 , 	19 , 	145 , 	4 , 	4 , 	32 , 	8 ," 	1,634 ",,,,,,,,,,
PH, 	5 , 	7 , 	7 , 	6 , 	29 , 	11 , 	19 , 	17 , 	37 , 	6 , 	9 , 	202 , 	5 , 	4 , 	4 , 	2 , 	6 , 	15 , 	42 , 	6 , 	71 , 	15 , 	11 , 	33 , 	3 , 	156 , 	105 , 	400 , 	100 , 	19 , 	21 , 	14 , 	14 , 	24 , 	6 , 	1 , 	3 , 	3 , 	34 , 	4 , 	3 , 	60 , 	11 ," 	1,549 ",,,,,,,,,,
WC, 	6 , 	15 , 	11 , 	12 , 	51 , 	12 , 	31 , 	27 , 	44 , 	7 , 	14 , 	197 , 	6 , 	7 , 	3 , 	3 , 	2 , 	9 , 	216 , 	67 , 	7 , 	38 , 	22 , 	66 , 	4 , 	212 , 	140 , 	514 , 	135 , 	26 , 	26 , 	17 , 	18 , 	27 , 	3 , 	2 , 	4 , 	20 , 	71 , 	2 , 	2 , 	68 , 	11 ," 	2,177 ",,,,,,,,,,
LF, 	5 , 	6 , 	7 , 	5 , 	27 , 	7 , 	14 , 	9 , 	13 , 	3 , 	11 , 	129 , 	3 , 	2 , 	1 , 	-   , 	4 , 	5 , 	62 , 	13 , 	41 , 	4 , 	7 , 	38 , 	3 , 	114 , 	93 , 	338 , 	93 , 	16 , 	16 , 	10 , 	7 , 	13 , 	1 , 	2 , 	2 , 	5 , 	14 , 	1 , 	1 , 	34 , 	6 ," 	1,182 ",,,,,,,,,,
