Fast Pass Adjusted OD,,,,,,Dec 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,56,48,216,164,580,883,719,"1,112","3,778"
MT,50,53,137,162,814,"1,292","1,072","2,192","5,772"
PL,317,185,90,150,834,"1,160",765,"1,874","5,376"
CC,142,149,159,55,527,654,480,"1,228","3,395"
16,486,643,"1,039",529,21,215,209,555,"3,698"
24,727,963,"1,419",639,234,33,153,509,"4,675"
GP,650,810,"1,053",426,213,167,20,106,"3,445"
BP,996,"1,254","2,829","1,134",555,534,127,37,"7,467"
Entries,"3,425","4,106","6,942","3,260","3,777","4,938","3,545","7,613","37,605"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,9,72,36,215,243,122,274,992
MT,9,16,34,27,298,357,317,"1,027","2,083"
PL,88,29,74,57,696,"1,032",644,"1,385","4,005"
CC,34,27,69,33,334,380,188,475,"1,540"
16,192,176,822,366,23,157,120,324,"2,180"
24,214,204,"1,092",395,152,35,102,308,"2,503"
GP,106,153,796,155,108,109,18,61,"1,505"
BP,247,331,"2,107",411,295,305,59,29,"3,785"
Entries,913,943,"5,066","1,480","2,122","2,618","1,570","3,883","18,595"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,7,56,27,152,154,74,183,672
MT,7,20,21,21,192,220,196,717,"1,394"
PL,47,14,72,47,516,725,448,949,"2,818"
CC,25,20,54,40,296,289,143,328,"1,196"
16,131,124,629,314,24,109,80,216,"1,627"
24,150,144,821,296,113,33,76,237,"1,870"
GP,68,88,599,117,73,73,17,30,"1,065"
BP,186,222,"1,578",274,198,214,40,25,"2,738"
Entries,633,640,"3,831","1,136","1,565","1,816","1,074","2,685","13,379"
