Muni Fast Pass Adult/Clipper OD,,,,,,Jan 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,37,27,81,108,405,774,632,888,"2,953"
MT,28,40,55,104,491,"1,006",895,"1,592","4,212"
PL,126,81,41,65,405,639,466,"1,220","3,042"
CC,81,85,68,25,239,441,334,744,"2,018"
16,347,405,486,261,14,121,153,372,"2,158"
24,616,746,774,433,125,20,118,367,"3,199"
GP,555,656,591,323,149,125,14,89,"2,502"
BP,776,928,"1,694",691,347,371,91,36,"4,933"
Entries,"2,567","2,968","3,790","2,010","2,175","3,497","2,703","5,307","25,018"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,5,33,26,144,194,115,239,770
MT,5,19,17,16,149,248,201,725,"1,378"
PL,46,17,39,27,357,550,369,"1,007","2,411"
CC,21,13,36,20,163,227,136,269,885
16,120,88,421,163,15,115,107,230,"1,258"
24,165,149,635,242,93,21,88,240,"1,633"
GP,93,115,456,127,94,86,14,42,"1,024"
BP,203,246,"1,321",230,191,216,45,27,"2,479"
Entries,669,651,"2,956",851,"1,206","1,655","1,073","2,777","11,837"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,13,2,15,19,78,102,54,135,417
MT,4,12,10,13,81,144,130,472,863
PL,25,8,50,23,234,396,232,664,"1,630"
CC,11,7,20,27,126,167,93,207,658
16,76,55,294,127,12,68,66,141,838
24,112,87,448,177,67,21,64,155,"1,130"
GP,58,73,335,97,65,63,14,20,724
BP,150,150,982,175,136,130,17,21,"1,761"
Entries,449,392,"2,152",657,798,"1,091",669,"1,814","8,022"
