Exit stations,Entry stations->,,SATURDAY,,,Jan 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	6 , 	69 , 	68 , 	37 , 	184 , 	78 , 	83 , 	36 , 	62 , 	17 , 	84 , 	66 , 	21 , 	25 , 	27 , 	14 , 	13 , 	20 , 	21 , 	7 , 	10 , 	6 , 	4 , 	15 , 	19 , 	109 , 	71 , 	249 , 	98 , 	76 , 	86 , 	20 , 	36 , 	30 , 	9 , 	6 , 	12 , 	3 , 	20 , 	6 , 	13 , 	26 , 	12 , 	3 ," 	1,871 ",,,Eastbay," 	40,856 ",,SF CBD," 	102,182 ",59.2%,,,
EN, 	71 , 	12 , 	79 , 	53 , 	344 , 	114 , 	130 , 	86 , 	144 , 	24 , 	101 , 	183 , 	35 , 	39 , 	35 , 	18 , 	21 , 	39 , 	26 , 	16 , 	22 , 	6 , 	7 , 	22 , 	30 , 	259 , 	193 , 	614 , 	200 , 	79 , 	117 , 	39 , 	72 , 	55 , 	20 , 	8 , 	12 , 	2 , 	38 , 	14 , 	20 , 	47 , 	20 , 	6 ," 	3,470 ",,,Westbay," 	54,360 ",,non-CBD," 	65,022 ",37.7%,,,
EP, 	77 , 	71 , 	8 , 	44 , 	374 , 	89 , 	80 , 	65 , 	97 , 	30 , 	41 , 	66 , 	15 , 	16 , 	15 , 	6 , 	10 , 	22 , 	8 , 	6 , 	17 , 	7 , 	4 , 	30 , 	15 , 	141 , 	125 , 	327 , 	151 , 	52 , 	51 , 	13 , 	13 , 	17 , 	5 , 	6 , 	5 , 	2 , 	10 , 	5 , 	6 , 	39 , 	15 , 	4 ," 	2,194 ",,,Transbay," 	79,497 ",,,,,,,
NB, 	49 , 	50 , 	52 , 	8 , 	98 , 	52 , 	58 , 	62 , 	100 , 	28 , 	58 , 	50 , 	19 , 	20 , 	16 , 	11 , 	10 , 	24 , 	16 , 	14 , 	22 , 	10 , 	5 , 	17 , 	10 , 	212 , 	173 , 	378 , 	228 , 	130 , 	93 , 	24 , 	26 , 	13 , 	6 , 	6 , 	13 , 	3 , 	11 , 	3 , 	6 , 	60 , 	16 , 	3 ," 	2,255 ",,,,,,,,,,,
BK, 	198 , 	336 , 	380 , 	123 , 	20 , 	242 , 	269 , 	280 , 	262 , 	97 , 	180 , 	278 , 	78 , 	84 , 	69 , 	48 , 	61 , 	131 , 	51 , 	50 , 	72 , 	51 , 	30 , 	49 , 	64 , 	470 , 	339 ," 	1,025 ", 	450 , 	262 , 	188 , 	73 , 	61 , 	91 , 	13 , 	22 , 	54 , 	9 , 	37 , 	8 , 	14 , 	274 , 	93 , 	16 ," 	6,998 ",,,,,,,,,,,
AS, 	86 , 	105 , 	72 , 	52 , 	200 , 	13 , 	107 , 	113 , 	148 , 	39 , 	100 , 	99 , 	30 , 	39 , 	31 , 	10 , 	9 , 	33 , 	12 , 	10 , 	15 , 	9 , 	5 , 	14 , 	43 , 	174 , 	130 , 	323 , 	213 , 	168 , 	112 , 	22 , 	26 , 	11 , 	6 , 	8 , 	14 , 	4 , 	23 , 	3 , 	6 , 	42 , 	15 , 	5 ," 	2,693 ",,,,,,,,,,,
MA, 	101 , 	124 , 	73 , 	55 , 	243 , 	105 , 	15 , 	89 , 	143 , 	39 , 	125 , 	132 , 	46 , 	69 , 	59 , 	27 , 	23 , 	44 , 	53 , 	36 , 	53 , 	20 , 	20 , 	54 , 	58 , 	347 , 	288 , 	686 , 	409 , 	271 , 	197 , 	40 , 	45 , 	35 , 	12 , 	12 , 	16 , 	13 , 	87 , 	5 , 	12 , 	70 , 	20 , 	8 ," 	4,374 ",,,,,,,,,,,
19, 	48 , 	83 , 	65 , 	71 , 	247 , 	120 , 	82 , 	14 , 	29 , 	18 , 	67 , 	90 , 	48 , 	59 , 	50 , 	25 , 	25 , 	45 , 	40 , 	32 , 	52 , 	21 , 	19 , 	72 , 	46 , 	207 , 	186 , 	461 , 	275 , 	173 , 	138 , 	35 , 	30 , 	28 , 	12 , 	8 , 	20 , 	9 , 	47 , 	7 , 	11 , 	35 , 	18 , 	5 ," 	3,170 ",,,,,,,,,,,
12, 	61 , 	119 , 	102 , 	89 , 	255 , 	140 , 	131 , 	15 , 	14 , 	18 , 	105 , 	128 , 	87 , 	107 , 	67 , 	41 , 	46 , 	83 , 	61 , 	40 , 	63 , 	34 , 	27 , 	62 , 	83 , 	263 , 	245 , 	608 , 	303 , 	149 , 	119 , 	49 , 	72 , 	49 , 	16 , 	13 , 	30 , 	14 , 	57 , 	10 , 	22 , 	55 , 	41 , 	11 ," 	4,097 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	18 , 	30 , 	27 , 	24 , 	98 , 	41 , 	37 , 	16 , 	16 , 	6 , 	78 , 	119 , 	113 , 	143 , 	56 , 	27 , 	45 , 	63 , 	9 , 	7 , 	12 , 	7 , 	4 , 	17 , 	27 , 	194 , 	222 , 	503 , 	233 , 	116 , 	92 , 	27 , 	42 , 	37 , 	7 , 	46 , 	63 , 	1 , 	8 , 	6 , 	5 , 	17 , 	9 , 	29 ," 	2,692 ",,,Dtwn SF," 	2,188 "," 	7,611 "," 	16,369 "," 	6,908 "," 	6,860 "," 	8,535 "," 	4,831 "," 	53,301 "
