Exit stations,Entry stations->,,SUNDAY,,,Jan 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	36 , 	73 , 	27 , 	30 , 	74 , 	41 , 	76 , 	55 , 	88 , 	57 , 	93 , 	8 , 	57 , 	103 , 	85 , 	42 , 	37 , 	61 , 	29 , 	25 , 	19 , 	13 , 	5 , 	15 , 	52 , 	127 , 	86 , 	283 , 	118 , 	42 , 	38 , 	22 , 	34 , 	26 , 	5 , 	24 , 	70 , 	12 , 	75 , 	6 , 	11 , 	25 , 	9 , 	18 ," 	2,228 ",,,CM line," 	10,501 "," 	1,591 "," 	3,870 "," 	1,446 ", 	964 ," 	1,382 "," 	1,831 "," 	21,584 "
SL, 	19 , 	23 , 	10 , 	14 , 	48 , 	20 , 	34 , 	36 , 	62 , 	86 , 	100 , 	63 , 	4 , 	68 , 	59 , 	30 , 	22 , 	36 , 	9 , 	5 , 	10 , 	1 , 	1 , 	7 , 	17 , 	90 , 	89 , 	251 , 	85 , 	31 , 	33 , 	11 , 	21 , 	18 , 	4 , 	23 , 	19 , 	3 , 	15 , 	6 , 	6 , 	18 , 	9 , 	20 ," 	1,530 ",,,RM line," 	4,340 "," 	1,782 "," 	1,494 "," 	2,574 ", 	603 ," 	1,906 ", 	734 ," 	13,432 "
BF, 	16 , 	30 , 	11 , 	14 , 	45 , 	26 , 	49 , 	53 , 	75 , 	84 , 	160 , 	123 , 	62 , 	9 , 	104 , 	60 , 	51 , 	88 , 	14 , 	4 , 	7 , 	3 , 	3 , 	13 , 	24 , 	82 , 	80 , 	265 , 	72 , 	33 , 	32 , 	13 , 	34 , 	24 , 	8 , 	35 , 	63 , 	3 , 	23 , 	4 , 	7 , 	15 , 	8 , 	56 ," 	1,981 ",,,WP line," 	4,187 ", 	804 ," 	1,008 ", 	653 ," 	2,139 ", 	836 , 	715 ," 	10,340 "
HY, 	16 , 	24 , 	10 , 	13 , 	49 , 	27 , 	42 , 	33 , 	49 , 	39 , 	104 , 	101 , 	59 , 	83 , 	6 , 	38 , 	68 , 	96 , 	13 , 	6 , 	9 , 	1 , 	2 , 	5 , 	14 , 	67 , 	42 , 	141 , 	44 , 	24 , 	22 , 	7 , 	14 , 	17 , 	2 , 	17 , 	20 , 	3 , 	20 , 	3 , 	3 , 	12 , 	4 , 	19 ," 	1,385 ",,,FT/ED line," 	5,439 "," 	1,927 "," 	1,369 "," 	1,646 ", 	734 ," 	4,960 ", 	433 ," 	16,507 "
SH, 	9 , 	14 , 	4 , 	6 , 	20 , 	9 , 	15 , 	18 , 	24 , 	22 , 	48 , 	50 , 	26 , 	60 , 	41 , 	2 , 	29 , 	52 , 	7 , 	1 , 	4 , 	3 , 	1 , 	6 , 	5 , 	38 , 	27 , 	105 , 	34 , 	22 , 	14 , 	7 , 	14 , 	12 , 	4 , 	11 , 	13 , 	2 , 	12 , 	4 , 	4 , 	7 , 	3 , 	8 , 	812 ,,,SFIA," 	3,325 ", 	315 ," 	1,639 ", 	437 , 	557 , 	348 , 	793 ," 	7,416 "
UC, 	9 , 	12 , 	9 , 	10 , 	38 , 	12 , 	16 , 	13 , 	30 , 	31 , 	37 , 	49 , 	29 , 	51 , 	67 , 	30 , 	6 , 	69 , 	11 , 	5 , 	5 , 	3 , 	2 , 	8 , 	8 , 	69 , 	44 , 	179 , 	47 , 	18 , 	13 , 	7 , 	12 , 	16 , 	5 , 	8 , 	26 , 	2 , 	12 , 	4 , 	3 , 	20 , 	5 , 	8 ," 	1,052 ",,,Entries," 	33,922 "," 	11,998 "," 	21,187 "," 	12,546 "," 	9,630 "," 	16,427 "," 	8,151 "," 	113,858 "
FM, 	18 , 	40 , 	20 , 	19 , 	141 , 	28 , 	36 , 	26 , 	57 , 	53 , 	68 , 	83 , 	34 , 	95 , 	105 , 	56 , 	64 , 	12 , 	17 , 	15 , 	14 , 	5 , 	2 , 	10 , 	7 , 	127 , 	100 , 	310 , 	110 , 	40 , 	24 , 	19 , 	32 , 	22 , 	8 , 	16 , 	31 , 	3 , 	25 , 	6 , 	7 , 	44 , 	3 , 	13 ," 	1,962 ",,,,,,,,,,,
CN, 	15 , 	20 , 	6 , 	10 , 	31 , 	9 , 	38 , 	24 , 	30 , 	8 , 	22 , 	43 , 	9 , 	13 , 	12 , 	7 , 	7 , 	16 , 	8 , 	40 , 	145 , 	49 , 	23 , 	29 , 	4 , 	104 , 	56 , 	196 , 	69 , 	24 , 	30 , 	16 , 	24 , 	23 , 	6 , 	5 , 	6 , 	10 , 	143 , 	13 , 	8 , 	56 , 	9 , 	4 ," 	1,415 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	4 , 	7 , 	4 , 	12 , 	29 , 	8 , 	24 , 	17 , 	27 , 	6 , 	12 , 	33 , 	4 , 	5 , 	4 , 	1 , 	5 , 	14 , 	41 , 	9 , 	75 , 	16 , 	13 , 	41 , 	6 , 	130 , 	90 , 	241 , 	101 , 	22 , 	19 , 	13 , 	26 , 	22 , 	6 , 	2 , 	4 , 	6 , 	42 , 	5 , 	5 , 	99 , 	10 , 	3 ," 	1,260 ",,,Dtwn SF," 	1,305 ",,,,,,,
WC, 	9 , 	19 , 	11 , 	16 , 	52 , 	18 , 	33 , 	29 , 	45 , 	12 , 	24 , 	30 , 	6 , 	7 , 	9 , 	5 , 	6 , 	17 , 	159 , 	70 , 	7 , 	36 , 	28 , 	74 , 	7 , 	168 , 	126 , 	295 , 	152 , 	34 , 	30 , 	18 , 	25 , 	20 , 	6 , 	3 , 	5 , 	18 , 	65 , 	5 , 	8 , 	106 , 	12 , 	2 ," 	1,823 ",,,OAK," 	9,683 ", 	722 ,,,,,,
