Muni Fast Pass Adult/Translink OD,,,,,,Aug 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,46,29,100,131,440,816,671,"1,045","3,278"
MT,31,34,60,109,511,989,884,"1,660","4,278"
PL,144,88,46,86,438,754,503,"1,396","3,455"
CC,97,95,90,32,283,472,375,890,"2,335"
16,390,409,550,313,15,140,152,396,"2,365"
24,634,714,887,473,133,23,131,374,"3,369"
GP,590,641,672,339,145,139,17,88,"2,631"
BP,873,964,"1,923",797,375,392,93,25,"5,443"
Entries,"2,805","2,975","4,327","2,281","2,341","3,724","2,825","5,874","27,152"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,7,38,32,181,210,125,278,888
MT,9,13,19,17,173,249,220,757,"1,455"
PL,45,17,47,37,384,645,414,"1,114","2,703"
CC,25,15,44,24,197,274,142,341,"1,061"
16,152,95,465,233,21,129,119,252,"1,466"
24,176,150,706,276,119,27,104,255,"1,812"
GP,106,114,507,136,96,113,15,47,"1,133"
BP,230,271,"1,443",273,238,252,41,25,"2,773"
Entries,762,681,"3,268","1,027","1,408","1,899","1,179","3,068","13,292"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,4,18,19,106,125,76,181,547
MT,4,11,12,15,104,147,119,442,854
PL,23,7,54,33,250,402,265,705,"1,739"
CC,15,8,32,29,145,170,91,256,747
16,98,61,333,151,22,63,66,165,959
24,121,89,482,180,59,30,70,158,"1,188"
GP,74,66,377,100,62,62,15,24,780
BP,175,151,"1,100",225,162,139,22,20,"1,994"
Entries,528,397,"2,408",752,910,"1,138",725,"1,950","8,807"
