Fast Pass Adjusted OD,,,,,,Jul 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,59,54,209,243,629,"1,008",786,"1,258","4,247"
MT,48,59,118,213,857,"1,383","1,194","2,357","6,229"
PL,286,165,89,161,766,"1,151",740,"1,883","5,241"
CC,190,190,186,58,529,682,547,"1,279","3,660"
16,546,660,"1,005",529,32,211,206,603,"3,791"
24,810,"1,049","1,406",676,232,39,150,475,"4,836"
GP,725,900,984,474,217,163,23,117,"3,603"
BP,"1,163","1,314","2,812","1,126",603,519,140,50,"7,728"
Entries,"3,826","4,391","6,810","3,481","3,865","5,155","3,787","8,022","39,336"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,14,74,54,242,304,138,314,"1,166"
MT,14,15,24,29,328,379,342,"1,087","2,217"
PL,76,29,79,68,685,990,587,"1,373","3,884"
CC,45,20,74,45,380,408,196,478,"1,645"
16,211,165,855,388,26,158,135,354,"2,292"
24,234,207,"1,084",427,150,46,113,322,"2,582"
GP,136,149,746,161,114,111,22,75,"1,512"
BP,306,318,"2,050",402,329,317,70,38,"3,830"
Entries,"1,046",915,"4,986","1,573","2,255","2,713","1,602","4,038","19,127"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,6,43,31,147,173,78,180,680
MT,7,10,18,22,179,218,217,694,"1,364"
PL,45,15,66,49,446,655,375,874,"2,526"
CC,27,10,63,44,268,297,148,326,"1,183"
16,147,91,551,287,26,110,78,205,"1,495"
24,171,126,776,308,108,32,74,209,"1,804"
GP,98,76,560,136,83,76,14,31,"1,076"
BP,227,173,"1,524",311,212,213,39,29,"2,727"
Entries,744,509,"3,601","1,187","1,469","1,775","1,024","2,547","12,855"
