Fast Pass Adjusted OD,,,,,,Mar 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,48,35,123,134,462,856,748,"1,093","3,499"
MT,36,46,67,127,739,"1,251","1,073","2,193","5,531"
PL,157,90,68,108,636,"1,020",661,"1,723","4,464"
CC,120,128,124,69,553,805,543,"1,525","3,868"
16,386,566,779,537,25,192,175,555,"3,215"
24,733,996,"1,171",757,202,45,143,581,"4,627"
GP,711,831,834,454,168,148,21,118,"3,286"
BP,963,"1,304","2,516","1,330",561,607,122,38,"7,440"
Entries,"3,154","3,996","5,683","3,516","3,346","4,924","3,485","7,826","35,930"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,7,32,32,191,268,109,228,885
MT,5,20,25,25,298,389,310,"1,017","2,089"
PL,36,16,62,48,557,819,426,"1,029","2,992"
CC,32,31,62,66,425,504,226,649,"1,994"
16,143,177,620,377,23,149,110,293,"1,889"
24,195,231,874,435,154,35,116,285,"2,326"
GP,84,143,542,178,100,90,16,61,"1,213"
BP,191,349,"1,665",501,292,287,62,33,"3,380"
Entries,705,973,"3,881","1,662","2,037","2,540","1,375","3,595","16,767"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,5,22,20,119,148,58,125,515
MT,7,16,14,25,184,215,193,631,"1,283"
PL,26,8,69,38,395,547,274,640,"1,996"
CC,20,18,48,66,291,331,133,370,"1,278"
16,94,135,422,288,24,94,70,174,"1,299"
24,125,146,607,328,94,30,66,171,"1,565"
GP,57,82,410,127,68,52,18,33,846
BP,127,196,"1,228",309,172,166,37,23,"2,258"
Entries,474,604,"2,820","1,200","1,346","1,583",847,"2,165","11,039"
