Exit stations,Entry stations->,,SATURDAY,,,Nov 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	83 , 	112 , 	61 , 	61 , 	192 , 	95 , 	124 , 	105 , 	95 , 	115 , 	20 , 	173 , 	204 , 	185 , 	133 , 	71 , 	58 , 	66 , 	37 , 	19 , 	19 , 	9 , 	23 , 	54 , 	72 , 	264 , 	214 , 	562 , 	270 , 	170 , 	150 , 	39 , 	53 , 	52 , 	9 , 	59 , 	81 , 	8 , 	21 , 	11 , 	12 , 	40 , 	12 , 	57 , 	12 , 	63 , 	-   , 	-   , 	8 , 	16 ," 	4,371 ",,,,,,,,,,
CL, 	33 , 	43 , 	18 , 	16 , 	74 , 	25 , 	46 , 	54 , 	74 , 	55 , 	168 , 	20 , 	63 , 	95 , 	61 , 	32 , 	24 , 	26 , 	16 , 	9 , 	10 , 	4 , 	3 , 	9 , 	38 , 	163 , 	96 , 	263 , 	122 , 	65 , 	70 , 	22 , 	26 , 	35 , 	5 , 	18 , 	38 , 	2 , 	24 , 	7 , 	13 , 	27 , 	4 , 	22 , 	17 , 	30 , 	-   , 	-   , 	8 , 	9 ," 	2,103 ",,,,,,,,,,
SL, 	26 , 	29 , 	16 , 	17 , 	88 , 	23 , 	45 , 	70 , 	86 , 	125 , 	201 , 	72 , 	11 , 	73 , 	54 , 	29 , 	30 , 	35 , 	9 , 	5 , 	11 , 	2 , 	1 , 	14 , 	23 , 	179 , 	169 , 	377 , 	152 , 	55 , 	51 , 	21 , 	27 , 	33 , 	5 , 	21 , 	30 , 	3 , 	9 , 	6 , 	7 , 	33 , 	5 , 	36 , 	6 , 	27 , 	-   , 	-   , 	4 , 	9 ," 	2,359 ",,,,,,,,,,
BF, 	15 , 	26 , 	12 , 	10 , 	80 , 	20 , 	31 , 	54 , 	75 , 	116 , 	179 , 	95 , 	79 , 	12 , 	68 , 	42 , 	44 , 	45 , 	10 , 	4 , 	4 , 	3 , 	2 , 	8 , 	23 , 	150 , 	148 , 	356 , 	127 , 	52 , 	47 , 	15 , 	26 , 	22 , 	5 , 	26 , 	56 , 	2 , 	4 , 	5 , 	6 , 	20 , 	6 , 	53 , 	5 , 	37 , 	-   , 	-   , 	1 , 	6 ," 	2,238 ",,,,,,,,,,
HY, 	17 , 	23 , 	9 , 	12 , 	73 , 	22 , 	32 , 	51 , 	51 , 	40 , 	124 , 	59 , 	51 , 	69 , 	11 , 	52 , 	56 , 	71 , 	10 , 	7 , 	7 , 	2 , 	4 , 	8 , 	17 , 	102 , 	70 , 	191 , 	66 , 	32 , 	28 , 	11 , 	15 , 	17 , 	2 , 	14 , 	23 , 	2 , 	7 , 	4 , 	6 , 	17 , 	3 , 	21 , 	7 , 	53 , 	-   , 	-   , 	3 , 	6 ," 	1,574 ",,,,,,,,,,
SH, 	9 , 	19 , 	3 , 	8 , 	38 , 	9 , 	14 , 	26 , 	27 , 	25 , 	67 , 	37 , 	31 , 	44 , 	44 , 	6 , 	20 , 	28 , 	5 , 	5 , 	3 , 	1 , 	2 , 	4 , 	8 , 	61 , 	47 , 	128 , 	46 , 	20 , 	19 , 	8 , 	8 , 	15 , 	4 , 	8 , 	16 , 	1 , 	2 , 	3 , 	6 , 	12 , 	4 , 	14 , 	6 , 	28 , 	-   , 	-   , 	1 , 	3 , 	940 ,,,,,,,,,,
UC, 	10 , 	13 , 	9 , 	8 , 	88 , 	12 , 	17 , 	28 , 	42 , 	40 , 	60 , 	26 , 	29 , 	37 , 	53 , 	21 , 	15 , 	41 , 	7 , 	4 , 	4 , 	1 , 	1 , 	6 , 	9 , 	134 , 	88 , 	202 , 	78 , 	35 , 	20 , 	10 , 	10 , 	19 , 	3 , 	8 , 	21 , 	1 , 	4 , 	2 , 	2 , 	18 , 	3 , 	13 , 	14 , 	42 , 	-   , 	-   , 	2 , 	4 ," 	1,315 ",,,,,,,,,,
FM, 	14 , 	15 , 	11 , 	16 , 	120 , 	14 , 	21 , 	31 , 	40 , 	43 , 	68 , 	30 , 	32 , 	49 , 	71 , 	33 , 	42 , 	15 , 	9 , 	5 , 	3 , 	1 , 	1 , 	4 , 	6 , 	151 , 	88 , 	198 , 	88 , 	35 , 	26 , 	8 , 	10 , 	18 , 	4 , 	8 , 	22 , 	1 , 	5 , 	3 , 	4 , 	22 , 	3 , 	11 , 	12 , 	42 , 	-   , 	-   , 	2 , 	6 ," 	1,461 ",,,,,,,,,,
CN, 	16 , 	18 , 	9 , 	9 , 	39 , 	10 , 	30 , 	39 , 	42 , 	9 , 	38 , 	17 , 	10 , 	11 , 	11 , 	5 , 	7 , 	8 , 	23 , 	54 , 	112 , 	32 , 	16 , 	40 , 	11 , 	132 , 	99 , 	247 , 	104 , 	46 , 	34 , 	22 , 	16 , 	26 , 	5 , 	2 , 	4 , 	20 , 	83 , 	9 , 	8 , 	95 , 	11 , 	3 , 	19 , 	10 , 	-   , 	-   , 	43 , 	41 ," 	1,699 ",,,,,,,,,,
PH, 	5 , 	11 , 	9 , 	8 , 	53 , 	8 , 	30 , 	39 , 	44 , 	7 , 	17 , 	8 , 	7 , 	2 , 	6 , 	3 , 	4 , 	6 , 	49 , 	24 , 	66 , 	21 , 	11 , 	46 , 	9 , 	187 , 	122 , 	262 , 	116 , 	47 , 	34 , 	16 , 	9 , 	17 , 	5 , 	1 , 	3 , 	9 , 	35 , 	6 , 	7 , 	106 , 	9 , 	1 , 	24 , 	8 , 	-   , 	-   , 	10 , 	22 ," 	1,549 ",,,,,,,,,,
WC, 	9 , 	15 , 	12 , 	16 , 	79 , 	12 , 	35 , 	50 , 	50 , 	9 , 	17 , 	14 , 	11 , 	6 , 	4 , 	4 , 	4 , 	3 , 	145 , 	66 , 	18 , 	31 , 	19 , 	68 , 	7 , 	226 , 	159 , 	284 , 	148 , 	45 , 	38 , 	19 , 	15 , 	23 , 	6 , 	1 , 	1 , 	21 , 	57 , 	5 , 	8 , 	113 , 	14 , 	-   , 	24 , 	6 , 	-   , 	-   , 	22 , 	43 ," 	1,981 ",,,,,,,,,,
LF, 	5 , 	3 , 	5 , 	4 , 	47 , 	5 , 	19 , 	26 , 	20 , 	4 , 	10 , 	4 , 	3 , 	3 , 	2 , 	1 , 	1 , 	2 , 	50 , 	23 , 	26 , 	10 , 	8 , 	41 , 	5 , 	132 , 	84 , 	184 , 	92 , 	30 , 	23 , 	10 , 	4 , 	6 , 	2 , 	-   , 	1 , 	7 , 	16 , 	2 , 	3 , 	67 , 	9 , 	0 , 	14 , 	3 , 	-   , 	-   , 	5 , 	6 ," 	1,027 ",,,,,,,,,,
OR, 	4 , 	5 , 	6 , 	4 , 	63 , 	4 , 	14 , 	27 , 	28 , 	3 , 	23 , 	6 , 	2 , 	2 , 	3 , 	3 , 	1 , 	1 , 	15 , 	13 , 	19 , 	9 , 	11 , 	40 , 	5 , 	190 , 	111 , 	211 , 	115 , 	44 , 	36 , 	11 , 	7 , 	9 , 	5 , 	2 , 	1 , 	3 , 	5 , 	4 , 	2 , 	70 , 	5 , 	1 , 	9 , 	3 , 	-   , 	-   , 	1 , 	2 ," 	1,156 ",,,,,,,,,,
RR, 	20 , 	22 , 	21 , 	9 , 	38 , 	10 , 	31 , 	69 , 	65 , 	10 , 	56 , 	12 , 	13 , 	7 , 	8 , 	3 , 	8 , 	6 , 	43 , 	52 , 	74 , 	38 , 	34 , 	24 , 	18 , 	285 , 	192 , 	378 , 	264 , 	141 , 	121 , 	37 , 	20 , 	25 , 	4 , 	3 , 	5 , 	7 , 	14 , 	3 , 	8 , 	114 , 	39 , 	3 , 	16 , 	10 , 	-   , 	-   , 	6 , 	14 ," 	2,400 ",,,,,,,,,,
OW, 	10 , 	18 , 	11 , 	9 , 	45 , 	15 , 	26 , 	33 , 	52 , 	16 , 	70 , 	34 , 	20 , 	27 , 	10 , 	7 , 	8 , 	6 , 	11 , 	8 , 	9 , 	3 , 	3 , 	17 , 	14 , 	547 , 	418 , 	875 , 	434 , 	255 , 	193 , 	42 , 	33 , 	34 , 	6 , 	7 , 	19 , 	3 , 	10 , 	10 , 	11 , 	87 , 	19 , 	8 , 	5 , 	11 , 	-   , 	-   , 	2 , 	5 ," 	3,520 ",,,,,,,,,,
EM, 	164 , 	321 , 	200 , 	244 , 	616 , 	219 , 	388 , 	406 , 	363 , 	291 , 	331 , 	206 , 	232 , 	179 , 	132 , 	82 , 	171 , 	178 , 	157 , 	234 , 	266 , 	166 , 	199 , 	357 , 	708 , 	97 , 	36 , 	208 , 	112 , 	346 , 	451 , 	267 , 	393 , 	290 , 	92 , 	130 , 	440 , 	71 , 	97 , 	70 , 	85 , 	263 , 	181 , 	166 , 	75 , 	147 , 	-   , 	-   , 	29 , 	87 ," 	10,943 ",,,,,,,,,,
MT, 	153 , 	238 , 	156 , 	183 , 	466 , 	179 , 	289 , 	346 , 	308 , 	243 , 	264 , 	120 , 	202 , 	205 , 	85 , 	57 , 	113 , 	122 , 	128 , 	163 , 	201 , 	102 , 	132 , 	248 , 	567 , 	31 , 	47 , 	42 , 	77 , 	341 , 	432 , 	299 , 	740 , 	327 , 	109 , 	98 , 	235 , 	42 , 	84 , 	75 , 	82 , 	214 , 	138 , 	121 , 	39 , 	103 , 	-   , 	-   , 	10 , 	62 ," 	9,019 ",,,,,,,,,,
