Exit stations,Entry stations->,,SUNDAY,,,Nov 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	15 , 	39 , 	52 , 	32 , 	146 , 	43 , 	53 , 	31 , 	28 , 	21 , 	44 , 	76 , 	19 , 	12 , 	14 , 	5 , 	7 , 	12 , 	10 , 	7 , 	7 , 	3 , 	2 , 	15 , 	9 , 	99 , 	81 , 	195 , 	74 , 	65 , 	77 , 	19 , 	20 , 	22 , 	7 , 	3 , 	5 , 	2 , 	7 , 	8 , 	10 , 	37 , 	9 , 	4 , 	8 , 	12 , 	-   , 	-   , 	5 , 	7 ," 	1,473 ",,,,,,,,,,,
EN, 	43 , 	17 , 	32 , 	32 , 	256 , 	60 , 	63 , 	49 , 	74 , 	31 , 	43 , 	205 , 	17 , 	19 , 	16 , 	10 , 	7 , 	7 , 	11 , 	6 , 	10 , 	2 , 	3 , 	9 , 	16 , 	159 , 	105 , 	322 , 	118 , 	64 , 	57 , 	20 , 	24 , 	28 , 	13 , 	6 , 	13 , 	2 , 	5 , 	8 , 	9 , 	90 , 	13 , 	2 , 	23 , 	28 , 	-   , 	-   , 	5 , 	7 ," 	2,154 ",,,,,,,,,,,
EP, 	49 , 	38 , 	13 , 	30 , 	287 , 	44 , 	33 , 	46 , 	51 , 	29 , 	23 , 	89 , 	12 , 	14 , 	10 , 	4 , 	6 , 	5 , 	7 , 	6 , 	12 , 	1 , 	3 , 	12 , 	8 , 	102 , 	59 , 	170 , 	103 , 	45 , 	28 , 	12 , 	9 , 	12 , 	4 , 	3 , 	7 , 	1 , 	4 , 	3 , 	5 , 	55 , 	14 , 	2 , 	22 , 	18 , 	-   , 	-   , 	2 , 	4 ," 	1,509 ",,,,,,,,,,,
NB, 	26 , 	28 , 	30 , 	14 , 	86 , 	22 , 	38 , 	53 , 	46 , 	22 , 	34 , 	45 , 	14 , 	6 , 	6 , 	6 , 	6 , 	15 , 	6 , 	8 , 	13 , 	3 , 	3 , 	6 , 	8 , 	137 , 	77 , 	151 , 	140 , 	76 , 	46 , 	21 , 	10 , 	11 , 	4 , 	2 , 	7 , 	0 , 	1 , 	1 , 	8 , 	74 , 	9 , 	2 , 	25 , 	15 , 	-   , 	-   , 	1 , 	2 ," 	1,355 ",,,,,,,,,,,
BK, 	161 , 	258 , 	271 , 	97 , 	57 , 	122 , 	133 , 	156 , 	163 , 	78 , 	115 , 	92 , 	53 , 	41 , 	46 , 	22 , 	54 , 	70 , 	26 , 	26 , 	33 , 	27 , 	19 , 	17 , 	29 , 	322 , 	198 , 	491 , 	271 , 	173 , 	107 , 	56 , 	36 , 	48 , 	7 , 	20 , 	49 , 	5 , 	11 , 	13 , 	21 , 	124 , 	56 , 	13 , 	52 , 	150 , 	-   , 	-   , 	3 , 	6 ," 	4,395 ",,,,,,,,,,,
AS, 	50 , 	52 , 	43 , 	31 , 	117 , 	18 , 	47 , 	71 , 	60 , 	35 , 	44 , 	50 , 	16 , 	13 , 	13 , 	5 , 	5 , 	10 , 	9 , 	9 , 	8 , 	2 , 	2 , 	7 , 	14 , 	100 , 	68 , 	144 , 	125 , 	78 , 	56 , 	18 , 	10 , 	10 , 	3 , 	5 , 	8 , 	2 , 	4 , 	4 , 	6 , 	48 , 	8 , 	3 , 	24 , 	25 , 	-   , 	-   , 	2 , 	3 ," 	1,480 ",,,,,,,,,,,
MA, 	54 , 	61 , 	39 , 	42 , 	139 , 	55 , 	24 , 	63 , 	70 , 	32 , 	60 , 	134 , 	34 , 	31 , 	30 , 	12 , 	16 , 	18 , 	29 , 	24 , 	31 , 	12 , 	9 , 	38 , 	22 , 	259 , 	157 , 	336 , 	252 , 	164 , 	115 , 	32 , 	23 , 	25 , 	7 , 	9 , 	23 , 	6 , 	21 , 	6 , 	8 , 	112 , 	18 , 	11 , 	35 , 	28 , 	-   , 	-   , 	8 , 	20 ," 	2,751 ",,,,,,,,,,,
19, 	31 , 	48 , 	43 , 	48 , 	160 , 	64 , 	56 , 	24 , 	12 , 	20 , 	59 , 	115 , 	47 , 	28 , 	28 , 	14 , 	15 , 	19 , 	19 , 	19 , 	28 , 	13 , 	7 , 	45 , 	33 , 	243 , 	185 , 	360 , 	245 , 	188 , 	123 , 	34 , 	30 , 	29 , 	4 , 	11 , 	23 , 	4 , 	15 , 	6 , 	12 , 	102 , 	18 , 	9 , 	32 , 	28 , 	-   , 	-   , 	3 , 	10 ," 	2,703 ",,,,,,,,,,,
12, 	26 , 	74 , 	53 , 	40 , 	137 , 	56 , 	54 , 	14 , 	26 , 	17 , 	65 , 	211 , 	50 , 	58 , 	25 , 	22 , 	30 , 	31 , 	29 , 	32 , 	29 , 	12 , 	16 , 	39 , 	31 , 	314 , 	233 , 	519 , 	291 , 	160 , 	109 , 	50 , 	56 , 	47 , 	16 , 	15 , 	30 , 	7 , 	16 , 	13 , 	18 , 	130 , 	21 , 	14 , 	34 , 	36 , 	-   , 	-   , 	6 , 	12 ," 	3,318 ",,,,,,,,,,,
LM, 	26 , 	31 , 	25 , 	27 , 	70 , 	34 , 	31 , 	22 , 	14 , 	16 , 	110 , 	188 , 	90 , 	93 , 	34 , 	22 , 	27 , 	29 , 	11 , 	11 , 	10 , 	4 , 	5 , 	13 , 	14 , 	60 , 	58 , 	127 , 	67 , 	41 , 	35 , 	8 , 	13 , 	15 , 	6 , 	41 , 	47 , 	2 , 	5 , 	2 , 	4 , 	15 , 	3 , 	20 , 	22 , 	39 , 	-   , 	-   , 	1 , 	5 ," 	1,590 ",,,,,,,,,,,
