Exit stations,Entry stations->,,TOTAL,,,Nov 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	671 ," 	2,894 "," 	2,368 "," 	1,701 "," 	10,264 "," 	2,468 "," 	3,406 "," 	3,450 "," 	4,024 "," 	1,032 "," 	2,219 "," 	1,659 ", 	938 , 	629 , 	813 , 	391 , 	381 , 	591 , 	526 , 	332 , 	538 , 	161 , 	233 , 	579 , 	618 ," 	9,574 "," 	9,401 "," 	12,186 "," 	8,027 "," 	5,021 "," 	5,099 "," 	1,193 "," 	1,714 "," 	2,337 ", 	425 , 	161 , 	333 , 	96 , 	431 , 	379 , 	576 ," 	1,522 ", 	625 , 	175 , 	387 , 	535 , 	-   , 	-   , 	293 , 	249 ," 	103,625 ",,,,,,,,,,,,,
EN," 	3,021 ", 	692 ," 	2,123 "," 	2,081 "," 	18,522 "," 	2,999 "," 	5,419 "," 	9,070 "," 	11,493 "," 	2,140 "," 	2,662 "," 	3,078 "," 	1,307 ", 	992 ," 	1,425 ", 	647 , 	729 , 	927 , 	697 , 	461 , 	652 , 	208 , 	300 , 	739 , 	890 ," 	19,428 "," 	18,923 "," 	21,531 "," 	15,600 "," 	6,534 "," 	5,001 "," 	2,001 "," 	2,586 "," 	3,310 ", 	736 , 	220 , 	510 , 	112 , 	336 , 	738 , 	978 ," 	3,562 "," 	1,397 ", 	276 , 	949 ," 	1,134 ", 	-   , 	-   , 	195 , 	337 ," 	179,668 ",,,,,,,,,,,,,
EP," 	2,394 "," 	2,130 ", 	362 ," 	1,298 "," 	17,261 "," 	1,846 "," 	2,940 "," 	6,025 "," 	6,753 "," 	1,682 "," 	1,289 "," 	1,194 ", 	707 , 	432 , 	640 , 	167 , 	371 , 	605 , 	459 , 	461 , 	518 , 	183 , 	129 , 	715 , 	341 ," 	11,989 "," 	12,344 "," 	10,604 "," 	9,264 "," 	3,268 "," 	1,752 ", 	765 , 	879 ," 	1,286 ", 	107 , 	106 , 	317 , 	76 , 	199 , 	200 , 	286 ," 	1,971 ", 	740 , 	139 , 	757 , 	637 , 	-   , 	-   , 	104 , 	124 ," 	108,816 ",,,,,,,,,,,,,
NB," 	1,755 "," 	1,961 "," 	1,291 ", 	424 ," 	4,922 "," 	1,202 "," 	2,046 "," 	5,300 "," 	5,243 "," 	1,401 "," 	1,622 ", 	931 , 	759 , 	392 , 	709 , 	193 , 	375 , 	574 , 	478 , 	570 , 	490 , 	175 , 	215 , 	346 , 	347 ," 	13,379 "," 	12,395 "," 	9,310 "," 	10,635 "," 	3,978 "," 	2,510 ", 	819 , 	840 , 	937 , 	174 , 	141 , 	345 , 	85 , 	117 , 	136 , 	241 ," 	2,574 ", 	724 , 	98 , 	945 , 	636 , 	-   , 	-   , 	63 , 	150 ," 	94,953 ",,,,,,,,,,,,,
BK," 	11,243 "," 	19,824 "," 	17,408 "," 	5,151 "," 	1,615 "," 	7,839 "," 	8,324 "," 	12,832 "," 	11,744 "," 	5,342 "," 	6,934 "," 	3,910 "," 	4,411 "," 	3,324 "," 	3,275 "," 	1,774 "," 	3,490 "," 	3,559 "," 	2,412 "," 	3,040 "," 	2,690 "," 	1,521 "," 	1,321 "," 	1,069 "," 	1,834 "," 	22,178 "," 	19,685 "," 	19,617 "," 	16,586 "," 	7,942 "," 	6,243 "," 	3,364 "," 	2,648 "," 	3,024 ", 	861 ," 	1,454 "," 	2,899 ", 	760 ," 	1,555 ", 	840 , 	980 ," 	3,941 "," 	3,692 "," 	1,031 "," 	1,894 "," 	4,702 ", 	-   , 	-   , 	669 ," 	1,126 "," 	273,577 ",,,,,,,,,,,,,
AS," 	2,523 "," 	2,867 "," 	1,929 "," 	1,405 "," 	6,890 ", 	449 ," 	2,229 "," 	5,723 "," 	5,540 "," 	1,881 "," 	2,524 "," 	1,527 "," 	1,154 ", 	795 , 	814 , 	465 , 	735 , 	672 , 	511 , 	537 , 	463 , 	147 , 	150 , 	299 , 	639 ," 	14,494 "," 	14,981 "," 	10,348 "," 	10,823 "," 	5,548 "," 	3,061 ", 	896 , 	992 , 	899 , 	228 , 	234 , 	461 , 	127 , 	285 , 	247 , 	313 ," 	1,610 ", 	792 , 	239 , 	724 , 	950 , 	-   , 	-   , 	94 , 	299 ," 	111,513 ",,,,,,,,,,,,,
MA," 	3,811 "," 	5,353 "," 	2,974 "," 	1,986 "," 	8,052 "," 	2,347 "," 	1,182 "," 	5,159 "," 	5,654 "," 	1,710 "," 	3,885 "," 	3,411 "," 	2,677 "," 	1,814 "," 	2,052 "," 	1,017 "," 	1,697 "," 	1,635 "," 	3,004 "," 	3,351 "," 	3,180 "," 	1,273 ", 	821 ," 	1,545 "," 	1,007 "," 	24,433 "," 	25,273 "," 	19,813 "," 	20,044 "," 	9,660 "," 	5,475 "," 	1,950 "," 	1,970 "," 	2,090 ", 	651 , 	686 ," 	1,346 ", 	751 ," 	2,916 ", 	542 , 	648 ," 	3,170 "," 	1,447 ", 	503 , 	893 ," 	1,640 ", 	-   , 	-   ," 	1,129 "," 	2,463 "," 	200,090 ",,,,,,,,,,,,,
19," 	3,829 "," 	9,503 "," 	6,156 "," 	5,525 "," 	11,755 "," 	5,907 "," 	4,910 "," 	1,082 "," 	1,420 ", 	895 ," 	4,494 "," 	3,832 "," 	5,103 "," 	4,368 "," 	4,181 "," 	2,897 "," 	4,141 "," 	4,877 "," 	5,794 "," 	7,252 "," 	6,203 "," 	3,283 "," 	2,415 "," 	3,965 "," 	1,564 "," 	31,752 "," 	32,989 "," 	23,775 "," 	22,623 "," 	10,889 "," 	8,044 "," 	3,580 "," 	3,260 "," 	3,208 "," 	1,607 "," 	1,591 "," 	4,307 "," 	2,451 "," 	3,417 "," 	1,376 "," 	1,387 "," 	2,807 "," 	2,676 "," 	2,066 ", 	920 ," 	4,497 ", 	-   , 	-   ," 	1,157 "," 	2,765 "," 	288,495 ",,,,,,,,,,,,,
12," 	4,254 "," 	11,813 "," 	6,567 "," 	5,297 "," 	9,944 "," 	5,184 "," 	5,108 "," 	1,123 "," 	1,212 ", 	783 ," 	4,894 "," 	5,713 "," 	7,055 "," 	6,468 "," 	5,694 "," 	3,707 "," 	4,699 "," 	5,430 "," 	6,230 "," 	9,049 "," 	6,570 "," 	3,025 "," 	2,372 "," 	3,726 "," 	2,027 "," 	27,619 "," 	26,939 "," 	23,195 "," 	20,681 "," 	8,010 "," 	7,258 "," 	3,914 "," 	4,051 "," 	4,740 "," 	2,467 "," 	2,221 "," 	5,751 "," 	2,609 "," 	4,613 "," 	2,066 "," 	1,874 "," 	3,668 "," 	3,248 "," 	2,552 "," 	1,254 "," 	4,244 ", 	-   , 	-   ," 	1,340 "," 	3,715 "," 	295,973 ",,,,,,,,,,,,,
LM, 	977 ," 	2,103 "," 	1,533 "," 	1,584 "," 	5,157 "," 	1,890 "," 	1,629 ", 	895 , 	842 , 	568 ," 	4,225 "," 	5,726 "," 	6,891 "," 	5,806 "," 	3,456 "," 	1,766 "," 	2,424 "," 	2,519 ", 	723 , 	622 , 	472 , 	195 , 	218 , 	839 , 	855 ," 	20,095 "," 	21,654 "," 	17,206 "," 	14,187 "," 	6,100 "," 	3,813 "," 	1,400 "," 	1,991 "," 	2,275 ", 	186 ," 	2,848 "," 	4,523 ", 	165 , 	443 , 	294 , 	396 , 	870 , 	320 ," 	2,199 ", 	668 ," 	2,388 ", 	-   , 	-   , 	224 , 	473 ," 	158,633 ",,,,,,,,,,,,,
