Fast Pass Adjusted OD,,,,,,Feb 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,67,54,217,215,677,"1,082",836,"1,326","4,473"
MT,62,55,128,221,903,"1,525","1,220","2,525","6,638"
PL,310,178,85,175,862,"1,239",825,"2,293","5,967"
CC,197,196,204,58,580,811,586,"1,524","4,156"
16,604,709,"1,079",581,26,252,254,707,"4,211"
24,881,"1,156","1,486",806,278,37,167,710,"5,522"
GP,766,917,"1,065",522,252,190,24,169,"3,905"
BP,"1,184","1,405","3,224","1,373",718,765,178,48,"8,895"
Entries,"4,071","4,671","7,488","3,951","4,295","5,901","4,088","9,302","43,767"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,12,82,42,255,291,138,302,"1,147"
MT,16,19,36,41,338,396,347,"1,169","2,361"
PL,89,40,71,85,670,"1,000",593,"1,426","3,972"
CC,47,31,112,49,347,440,205,505,"1,735"
16,221,172,835,360,31,205,157,352,"2,333"
24,232,225,"1,100",439,191,39,129,320,"2,675"
GP,144,163,792,193,139,115,25,80,"1,651"
BP,292,343,"2,163",441,334,316,81,39,"4,009"
Entries,"1,066","1,004","5,191","1,649","2,304","2,801","1,675","4,194","19,883"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,5,44,24,155,162,80,196,689
MT,7,15,21,24,201,237,215,766,"1,485"
PL,49,13,85,55,491,712,408,953,"2,765"
CC,29,19,72,48,300,342,150,364,"1,324"
16,165,95,640,316,39,135,100,242,"1,731"
24,161,137,831,367,142,44,100,241,"2,023"
GP,82,82,587,143,101,91,25,49,"1,159"
BP,214,206,"1,610",309,239,240,53,36,"2,906"
Entries,729,572,"3,889","1,286","1,669","1,962","1,129","2,845","14,080"
