Exit stations,Entry stations->,,SATURDAY,,,Jun 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	73 , 	168 , 	107 , 	96 , 	235 , 	100 , 	193 , 	104 , 	182 , 	133 , 	212 , 	9 , 	183 , 	247 , 	184 , 	100 , 	134 , 	343 , 	108 , 	102 , 	125 , 	72 , 	70 , 	101 , 	81 , 	304 , 	181 , 	486 , 	287 , 	96 , 	98 , 	45 , 	40 , 	79 , 	15 , 	134 , 	623 , 	39 , 	137 , 	16 , 	21 , 	41 , 	47 ," 	6,148 ",,,CM line," 	15,568 "," 	2,321 "," 	5,697 "," 	2,172 "," 	1,371 "," 	2,040 "," 	2,041 "," 	31,211 "
SL, 	21 , 	30 , 	19 , 	20 , 	80 , 	25 , 	45 , 	49 , 	87 , 	105 , 	143 , 	171 , 	8 , 	106 , 	69 , 	43 , 	35 , 	66 , 	15 , 	9 , 	11 , 	5 , 	5 , 	16 , 	25 , 	163 , 	127 , 	376 , 	142 , 	63 , 	49 , 	16 , 	28 , 	24 , 	6 , 	27 , 	49 , 	3 , 	19 , 	6 , 	8 , 	17 , 	8 ," 	2,334 ",,,RM line," 	6,647 "," 	2,162 "," 	2,176 "," 	3,607 ", 	787 ," 	2,520 ", 	575 ," 	18,473 "
BF, 	26 , 	41 , 	18 , 	19 , 	74 , 	42 , 	78 , 	64 , 	116 , 	99 , 	242 , 	235 , 	98 , 	10 , 	122 , 	82 , 	81 , 	131 , 	14 , 	8 , 	7 , 	3 , 	6 , 	11 , 	31 , 	153 , 	132 , 	337 , 	146 , 	57 , 	44 , 	12 , 	24 , 	28 , 	10 , 	60 , 	138 , 	4 , 	20 , 	9 , 	6 , 	12 , 	9 ," 	2,852 ",,,WP line," 	7,108 "," 	1,130 "," 	1,413 ", 	835 ," 	2,969 "," 	1,488 ", 	715 ," 	15,658 "
HY, 	22 , 	39 , 	16 , 	8 , 	53 , 	33 , 	66 , 	48 , 	73 , 	44 , 	149 , 	175 , 	71 , 	119 , 	6 , 	77 , 	84 , 	141 , 	16 , 	8 , 	9 , 	5 , 	3 , 	10 , 	18 , 	107 , 	58 , 	194 , 	106 , 	41 , 	28 , 	13 , 	24 , 	22 , 	5 , 	18 , 	50 , 	1 , 	22 , 	2 , 	10 , 	11 , 	10 ," 	2,011 ",,,FT/ED line," 	9,567 "," 	2,805 "," 	2,043 "," 	2,749 "," 	1,511 "," 	9,895 ", 	618 ," 	29,188 "
SH, 	11 , 	23 , 	8 , 	9 , 	36 , 	10 , 	23 , 	22 , 	40 , 	20 , 	67 , 	94 , 	48 , 	79 , 	75 , 	5 , 	40 , 	79 , 	7 , 	4 , 	4 , 	2 , 	3 , 	8 , 	10 , 	69 , 	44 , 	153 , 	71 , 	28 , 	29 , 	7 , 	15 , 	18 , 	6 , 	13 , 	27 , 	1 , 	15 , 	5 , 	4 , 	5 , 	4 ," 	1,238 ",,,SFIA," 	4,558 ", 	352 ," 	1,951 ", 	605 , 	685 , 	525 , 	685 ," 	9,359 "
UC, 	11 , 	19 , 	10 , 	9 , 	67 , 	17 , 	24 , 	17 , 	38 , 	36 , 	53 , 	137 , 	35 , 	83 , 	95 , 	37 , 	6 , 	100 , 	9 , 	9 , 	8 , 	3 , 	1 , 	7 , 	8 , 	147 , 	81 , 	223 , 	82 , 	30 , 	20 , 	8 , 	18 , 	22 , 	9 , 	11 , 	32 , 	2 , 	14 , 	3 , 	3 , 	26 , 	7 ," 	1,573 ",,,Entries," 	52,760 "," 	16,924 "," 	31,476 "," 	19,094 "," 	15,769 "," 	29,048 "," 	10,168 "," 	175,239 "
FM, 	18 , 	39 , 	25 , 	19 , 	236 , 	36 , 	51 , 	47 , 	84 , 	50 , 	86 , 	336 , 	66 , 	135 , 	150 , 	86 , 	98 , 	18 , 	19 , 	20 , 	14 , 	7 , 	6 , 	19 , 	12 , 	297 , 	160 , 	485 , 	199 , 	66 , 	33 , 	14 , 	27 , 	33 , 	8 , 	17 , 	61 , 	4 , 	27 , 	6 , 	11 , 	44 , 	8 ," 	3,175 ",,,,,,,,,,,
CN, 	16 , 	24 , 	11 , 	17 , 	45 , 	16 , 	61 , 	38 , 	57 , 	10 , 	34 , 	96 , 	17 , 	14 , 	9 , 	10 , 	11 , 	23 , 	7 , 	70 , 	195 , 	60 , 	33 , 	54 , 	9 , 	201 , 	102 , 	249 , 	155 , 	40 , 	46 , 	23 , 	24 , 	33 , 	10 , 	3 , 	11 , 	19 , 	209 , 	7 , 	8 , 	59 , 	20 ," 	2,152 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	7 , 	9 , 	5 , 	11 , 	39 , 	13 , 	32 , 	33 , 	37 , 	7 , 	20 , 	95 , 	11 , 	8 , 	9 , 	1 , 	9 , 	16 , 	70 , 	12 , 	79 , 	22 , 	13 , 	45 , 	4 , 	284 , 	158 , 	289 , 	151 , 	40 , 	31 , 	18 , 	13 , 	22 , 	8 , 	2 , 	13 , 	9 , 	59 , 	6 , 	7 , 	73 , 	10 ," 	1,795 ",,,Dtwn SF," 	2,388 ",,,,,,,
WC, 	12 , 	22 , 	16 , 	15 , 	82 , 	17 , 	51 , 	54 , 	68 , 	15 , 	24 , 	124 , 	8 , 	9 , 	13 , 	5 , 	7 , 	15 , 	249 , 	81 , 	11 , 	48 , 	37 , 	78 , 	6 , 	434 , 	229 , 	452 , 	236 , 	58 , 	40 , 	21 , 	21 , 	29 , 	8 , 	5 , 	10 , 	22 , 	94 , 	5 , 	8 , 	94 , 	23 ," 	2,850 ",,,OAK," 	14,328 ", 	750 ,,,,,,
