Fast Pass OD,,,,,,Nov 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,72,55,224,212,653,"1,108",858,"1,382","4,565"
MT,60,60,139,222,877,"1,526","1,252","2,663","6,799"
PL,310,185,107,199,878,"1,270",852,"2,448","6,248"
CC,193,209,218,64,603,842,594,"1,619","4,341"
16,590,704,"1,103",632,29,260,267,773,"4,358"
24,918,"1,163","1,531",873,278,40,187,732,"5,723"
GP,777,930,"1,084",531,264,212,26,182,"4,006"
BP,"1,234","1,465","3,485","1,491",754,768,184,50,"9,431"
Entries,"4,154","4,770","7,892","4,224","4,337","6,026","4,219","9,849","45,473"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,10,74,55,233,278,147,324,"1,145"
MT,12,25,39,40,294,352,314,"1,137","2,214"
PL,87,31,88,85,664,962,595,"1,569","4,082"
CC,39,23,90,45,381,464,233,514,"1,788"
16,211,171,848,385,37,175,146,376,"2,347"
24,226,209,"1,079",473,156,37,115,366,"2,662"
GP,138,143,777,196,138,107,25,68,"1,592"
BP,292,356,"2,312",447,365,328,75,38,"4,214"
Entries,"1,028",967,"5,307","1,726","2,267","2,704","1,652","4,393","20,044"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,7,47,36,160,177,96,209,763
MT,6,17,26,32,194,214,221,775,"1,485"
PL,54,17,96,59,532,721,423,"1,097","2,999"
CC,30,17,85,50,306,350,179,451,"1,468"
16,165,111,655,348,38,131,102,288,"1,840"
24,175,138,873,371,138,45,100,280,"2,121"
GP,105,89,593,169,107,90,27,40,"1,220"
BP,228,216,"1,806",416,269,280,46,44,"3,306"
Entries,793,613,"4,182","1,482","1,744","2,010","1,194","3,184","15,202"
