Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Apr 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	55 , 	135 , 	67 , 	63 , 	182 , 	79 , 	103 , 	51 , 	99 , 	71 , 	125 , 	10 , 	102 , 	137 , 	92 , 	63 , 	66 , 	170 , 	56 , 	80 , 	59 , 	48 , 	27 , 	39 , 	43 , 	244 , 	169 , 	451 , 	195 , 	78 , 	74 , 	34 , 	27 , 	44 , 	9 , 	77 , 	420 , 	22 , 	94 , 	13 , 	14 , 	48 , 	25 ," 	4,054 ",,,CM line," 	12,134 "," 	1,243 "," 	4,546 "," 	1,315 ", 	909 ," 	1,480 "," 	1,787 "," 	23,413 "
SL, 	18 , 	26 , 	17 , 	10 , 	54 , 	25 , 	39 , 	32 , 	63 , 	57 , 	106 , 	109 , 	6 , 	82 , 	60 , 	29 , 	29 , 	38 , 	11 , 	6 , 	11 , 	3 , 	4 , 	7 , 	18 , 	116 , 	66 , 	237 , 	71 , 	23 , 	36 , 	11 , 	11 , 	20 , 	5 , 	19 , 	36 , 	3 , 	25 , 	4 , 	7 , 	23 , 	7 ," 	1,574 ",,,RM line," 	4,396 "," 	1,706 "," 	1,384 "," 	2,979 ", 	595 ," 	2,277 ", 	574 ," 	13,909 "
BF, 	22 , 	29 , 	9 , 	12 , 	55 , 	28 , 	50 , 	38 , 	77 , 	78 , 	176 , 	153 , 	78 , 	5 , 	98 , 	73 , 	62 , 	108 , 	18 , 	4 , 	9 , 	3 , 	1 , 	11 , 	28 , 	95 , 	72 , 	251 , 	79 , 	25 , 	26 , 	9 , 	21 , 	21 , 	6 , 	47 , 	114 , 	4 , 	21 , 	3 , 	4 , 	18 , 	5 ," 	2,043 ",,,WP line," 	4,503 ", 	746 , 	910 , 	612 ," 	2,228 "," 	1,068 ", 	680 ," 	10,746 "
HY, 	19 , 	29 , 	9 , 	9 , 	43 , 	26 , 	38 , 	29 , 	47 , 	36 , 	106 , 	100 , 	60 , 	110 , 	4 , 	69 , 	62 , 	118 , 	10 , 	4 , 	7 , 	4 , 	3 , 	6 , 	13 , 	57 , 	33 , 	109 , 	41 , 	12 , 	18 , 	5 , 	13 , 	15 , 	4 , 	9 , 	38 , 	3 , 	22 , 	3 , 	5 , 	13 , 	3 ," 	1,361 ",,,FT/ED line," 	6,323 "," 	1,986 "," 	1,361 "," 	2,013 "," 	1,020 "," 	6,961 ", 	569 ," 	20,232 "
SH, 	6 , 	16 , 	7 , 	4 , 	26 , 	10 , 	20 , 	9 , 	29 , 	21 , 	47 , 	71 , 	32 , 	77 , 	61 , 	8 , 	36 , 	70 , 	9 , 	3 , 	4 , 	1 , 	2 , 	4 , 	3 , 	49 , 	25 , 	100 , 	36 , 	13 , 	15 , 	8 , 	10 , 	13 , 	3 , 	10 , 	19 , 	1 , 	18 , 	2 , 	3 , 	11 , 	3 , 	909 ,,,SFIA," 	3,437 ", 	248 ," 	1,359 ", 	377 , 	484 , 	457 , 	742 ," 	7,103 "
UC, 	11 , 	18 , 	8 , 	5 , 	39 , 	14 , 	14 , 	16 , 	28 , 	28 , 	47 , 	74 , 	29 , 	67 , 	66 , 	39 , 	5 , 	76 , 	11 , 	5 , 	9 , 	1 , 	1 , 	6 , 	11 , 	82 , 	41 , 	148 , 	50 , 	18 , 	14 , 	7 , 	19 , 	13 , 	9 , 	8 , 	28 , 	3 , 	14 , 	3 , 	3 , 	19 , 	3 ," 	1,103 ",,,Entries," 	36,746 "," 	11,007 "," 	22,693 "," 	13,197 "," 	10,374 "," 	20,356 "," 	7,983 "," 	122,356 "
FM, 	16 , 	39 , 	23 , 	19 , 	134 , 	30 , 	36 , 	27 , 	66 , 	57 , 	74 , 	191 , 	40 , 	118 , 	118 , 	77 , 	77 , 	16 , 	18 , 	15 , 	10 , 	4 , 	4 , 	16 , 	13 , 	153 , 	101 , 	291 , 	122 , 	31 , 	23 , 	15 , 	16 , 	27 , 	4 , 	12 , 	52 , 	5 , 	30 , 	6 , 	4 , 	40 , 	5 ," 	2,171 ",,,,,,,,,,,
CN, 	15 , 	17 , 	10 , 	6 , 	29 , 	15 , 	33 , 	25 , 	43 , 	7 , 	27 , 	62 , 	9 , 	14 , 	5 , 	10 , 	7 , 	18 , 	8 , 	47 , 	171 , 	51 , 	20 , 	28 , 	3 , 	144 , 	71 , 	180 , 	93 , 	32 , 	37 , 	16 , 	23 , 	29 , 	7 , 	4 , 	11 , 	18 , 	150 , 	9 , 	11 , 	51 , 	9 ," 	1,569 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	7 , 	8 , 	9 , 	8 , 	30 , 	11 , 	20 , 	13 , 	32 , 	7 , 	7 , 	103 , 	4 , 	4 , 	5 , 	3 , 	5 , 	16 , 	46 , 	6 , 	55 , 	17 , 	12 , 	39 , 	3 , 	192 , 	85 , 	210 , 	96 , 	19 , 	17 , 	12 , 	8 , 	22 , 	7 , 	1 , 	3 , 	7 , 	36 , 	4 , 	3 , 	93 , 	11 ," 	1,290 ",,,Dtwn SF," 	1,555 ",,,,,,,
WC, 	7 , 	14 , 	8 , 	9 , 	58 , 	14 , 	35 , 	24 , 	51 , 	12 , 	16 , 	73 , 	7 , 	9 , 	7 , 	4 , 	5 , 	9 , 	216 , 	60 , 	8 , 	34 , 	24 , 	62 , 	4 , 	271 , 	125 , 	296 , 	145 , 	24 , 	29 , 	15 , 	14 , 	25 , 	5 , 	2 , 	6 , 	20 , 	66 , 	6 , 	4 , 	102 , 	12 ," 	1,930 ",,,OAK," 	8,918 ", 	560 ,,,,,,
