Fast Pass Adjusted OD,,,,,,Apr 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,74,57,215,265,674,"1,132",889,"1,414","4,720"
MT,60,57,132,257,924,"1,574","1,255","2,689","6,947"
PL,306,180,86,177,877,"1,269",851,"2,415","6,161"
CC,219,222,219,63,613,816,610,"1,595","4,357"
16,606,727,"1,107",610,26,266,262,761,"4,366"
24,924,"1,196","1,502",834,289,41,178,744,"5,708"
GP,816,955,"1,065",541,251,195,28,192,"4,042"
BP,"1,252","1,469","3,389","1,478",764,804,200,50,"9,407"
Entries,"4,257","4,864","7,715","4,226","4,418","6,096","4,272","9,861","45,709"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,36,11,76,50,274,336,164,344,"1,290"
MT,13,26,30,38,347,394,356,"1,232","2,434"
PL,80,34,124,77,735,"1,054",598,"1,586","4,287"
CC,47,26,79,56,407,510,234,577,"1,935"
16,226,190,886,425,46,220,178,426,"2,596"
24,278,230,"1,138",508,198,53,137,421,"2,964"
GP,147,162,766,206,165,139,20,94,"1,699"
BP,311,356,"2,333",479,409,394,104,57,"4,441"
Entries,"1,137","1,034","5,431","1,838","2,582","3,099","1,790","4,736","21,646"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,30,6,39,34,157,192,88,219,763
MT,5,14,19,31,209,230,223,784,"1,514"
PL,43,21,84,54,481,734,397,"1,031","2,844"
CC,32,21,72,64,315,353,173,446,"1,472"
16,180,112,624,354,38,136,117,309,"1,868"
24,201,150,843,367,142,53,94,259,"2,108"
GP,101,99,576,160,110,98,23,46,"1,212"
BP,228,214,"1,634",394,307,259,55,51,"3,140"
Entries,817,636,"3,889","1,457","1,756","2,053","1,168","3,144","14,921"
