Exit stations,Entry stations->,,SATURDAY,,,Oct 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	8 , 	60 , 	69 , 	32 , 	240 , 	58 , 	64 , 	43 , 	72 , 	21 , 	60 , 	46 , 	23 , 	16 , 	18 , 	13 , 	9 , 	19 , 	11 , 	5 , 	9 , 	3 , 	6 , 	12 , 	19 , 	163 , 	117 , 	294 , 	111 , 	103 , 	114 , 	20 , 	33 , 	25 , 	11 , 	3 , 	8 , 	2 , 	23 , 	6 , 	11 , 	31 , 	7 , 	5 , 	11 , 	-   ," 	2,032 ",,,,,,,,,,
EN, 	73 , 	21 , 	79 , 	55 , 	538 , 	94 , 	121 , 	105 , 	153 , 	38 , 	94 , 	81 , 	34 , 	36 , 	42 , 	14 , 	23 , 	44 , 	23 , 	13 , 	23 , 	6 , 	5 , 	29 , 	31 , 	421 , 	277 , 	662 , 	221 , 	118 , 	126 , 	43 , 	48 , 	49 , 	17 , 	8 , 	15 , 	4 , 	23 , 	14 , 	20 , 	81 , 	17 , 	7 , 	30 , 	-   ," 	3,976 ",,,,,,,,,,
EP, 	75 , 	66 , 	12 , 	42 , 	505 , 	64 , 	69 , 	88 , 	106 , 	24 , 	49 , 	41 , 	15 , 	13 , 	9 , 	7 , 	12 , 	25 , 	12 , 	8 , 	17 , 	9 , 	5 , 	26 , 	13 , 	257 , 	158 , 	334 , 	171 , 	73 , 	59 , 	17 , 	15 , 	19 , 	6 , 	5 , 	10 , 	1 , 	6 , 	3 , 	6 , 	48 , 	14 , 	7 , 	19 , 	-   ," 	2,541 ",,,,,,,,,,
NB, 	32 , 	54 , 	48 , 	18 , 	173 , 	36 , 	55 , 	85 , 	79 , 	30 , 	53 , 	35 , 	21 , 	15 , 	15 , 	6 , 	9 , 	34 , 	10 , 	9 , 	15 , 	5 , 	4 , 	13 , 	18 , 	299 , 	193 , 	341 , 	284 , 	139 , 	100 , 	35 , 	16 , 	22 , 	3 , 	4 , 	11 , 	4 , 	9 , 	5 , 	4 , 	72 , 	19 , 	6 , 	34 , 	-   ," 	2,470 ",,,,,,,,,,
BK, 	268 , 	547 , 	521 , 	198 , 	51 , 	261 , 	243 , 	285 , 	302 , 	117 , 	226 , 	186 , 	133 , 	121 , 	91 , 	39 , 	109 , 	308 , 	69 , 	97 , 	139 , 	87 , 	84 , 	45 , 	81 , 	890 , 	482 ," 	1,129 ", 	726 , 	373 , 	268 , 	121 , 	82 , 	136 , 	18 , 	46 , 	116 , 	24 , 	75 , 	33 , 	30 , 	128 , 	129 , 	36 , 	82 , 	-   ," 	9,527 ",,,,,,,,,,
AS, 	68 , 	86 , 	57 , 	37 , 	216 , 	18 , 	57 , 	107 , 	103 , 	36 , 	61 , 	56 , 	22 , 	32 , 	20 , 	10 , 	10 , 	33 , 	17 , 	15 , 	19 , 	7 , 	5 , 	9 , 	45 , 	278 , 	179 , 	336 , 	280 , 	185 , 	111 , 	28 , 	27 , 	19 , 	5 , 	4 , 	9 , 	4 , 	16 , 	3 , 	3 , 	43 , 	19 , 	7 , 	21 , 	-   ," 	2,722 ",,,,,,,,,,
MA, 	90 , 	124 , 	65 , 	48 , 	250 , 	69 , 	18 , 	88 , 	103 , 	33 , 	110 , 	104 , 	42 , 	50 , 	40 , 	17 , 	19 , 	47 , 	42 , 	36 , 	59 , 	26 , 	15 , 	48 , 	53 , 	462 , 	322 , 	612 , 	479 , 	290 , 	193 , 	50 , 	44 , 	34 , 	9 , 	6 , 	11 , 	10 , 	74 , 	6 , 	12 , 	84 , 	26 , 	11 , 	27 , 	-   ," 	4,355 ",,,,,,,,,,
19, 	44 , 	93 , 	82 , 	87 , 	278 , 	121 , 	88 , 	32 , 	20 , 	17 , 	91 , 	117 , 	64 , 	59 , 	44 , 	24 , 	40 , 	76 , 	43 , 	46 , 	81 , 	43 , 	28 , 	69 , 	65 , 	413 , 	303 , 	563 , 	508 , 	297 , 	216 , 	72 , 	54 , 	68 , 	10 , 	20 , 	27 , 	17 , 	53 , 	12 , 	12 , 	64 , 	39 , 	13 , 	17 , 	-   ," 	4,527 ",,,,,,,,,,
12, 	73 , 	145 , 	106 , 	84 , 	293 , 	114 , 	98 , 	22 , 	26 , 	18 , 	98 , 	150 , 	88 , 	103 , 	72 , 	32 , 	46 , 	82 , 	64 , 	45 , 	63 , 	26 , 	25 , 	59 , 	79 , 	414 , 	318 , 	682 , 	405 , 	189 , 	156 , 	61 , 	58 , 	55 , 	20 , 	15 , 	25 , 	13 , 	61 , 	14 , 	18 , 	82 , 	49 , 	8 , 	33 , 	-   ," 	4,684 ",,,,,,,,,,
LM, 	21 , 	40 , 	28 , 	31 , 	120 , 	35 , 	35 , 	20 , 	19 , 	15 , 	98 , 	153 , 	144 , 	142 , 	63 , 	30 , 	47 , 	78 , 	13 , 	9 , 	13 , 	5 , 	5 , 	19 , 	32 , 	374 , 	284 , 	587 , 	331 , 	198 , 	138 , 	38 , 	37 , 	33 , 	4 , 	60 , 	83 , 	4 , 	11 , 	3 , 	7 , 	24 , 	13 , 	33 , 	20 , 	-   ," 	3,497 ",,,,,,,,,,
