Exit stations,Entry stations->,,SUNDAY,,,Oct 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
CL, 	92 , 	312 , 	110 , 	85 , 	158 , 	79 , 	154 , 	130 , 	199 , 	209 , 	360 , 	28 , 	537 , 	454 , 	284 , 	161 , 	250 , 	761 , 	115 , 	119 , 	131 , 	93 , 	87 , 	84 , 	89 , 	330 , 	212 , 	617 , 	287 , 	113 , 	105 , 	67 , 	63 , 	167 , 	16 , 	233 ," 	1,101 ", 	70 , 	178 , 	28 , 	34 , 	64 , 	47 , 	310 , 	209 , 	-   ," 	9,332 ",,,,,,,,,,,
SL, 	15 , 	24 , 	13 , 	16 , 	70 , 	22 , 	29 , 	39 , 	56 , 	88 , 	100 , 	519 , 	8 , 	71 , 	61 , 	22 , 	20 , 	41 , 	11 , 	6 , 	9 , 	4 , 	5 , 	12 , 	17 , 	195 , 	118 , 	301 , 	118 , 	47 , 	33 , 	15 , 	20 , 	27 , 	3 , 	20 , 	24 , 	3 , 	15 , 	3 , 	6 , 	32 , 	4 , 	27 , 	12 , 	-   ," 	2,301 ",,,,,,,,,,,
BF, 	12 , 	25 , 	10 , 	12 , 	53 , 	20 , 	41 , 	36 , 	59 , 	83 , 	157 , 	443 , 	77 , 	13 , 	71 , 	29 , 	41 , 	116 , 	11 , 	7 , 	7 , 	2 , 	1 , 	10 , 	20 , 	203 , 	113 , 	299 , 	106 , 	45 , 	31 , 	17 , 	19 , 	22 , 	7 , 	35 , 	56 , 	2 , 	13 , 	3 , 	7 , 	26 , 	6 , 	57 , 	12 , 	-   ," 	2,434 ",,,,,,,,,,,
HY, 	16 , 	22 , 	8 , 	11 , 	48 , 	9 , 	27 , 	33 , 	40 , 	50 , 	92 , 	271 , 	60 , 	74 , 	8 , 	31 , 	48 , 	113 , 	5 , 	3 , 	8 , 	3 , 	2 , 	10 , 	14 , 	123 , 	49 , 	131 , 	58 , 	23 , 	18 , 	9 , 	13 , 	12 , 	4 , 	11 , 	22 , 	2 , 	17 , 	3 , 	8 , 	16 , 	2 , 	22 , 	21 , 	-   ," 	1,569 ",,,,,,,,,,,
SH, 	7 , 	11 , 	2 , 	3 , 	32 , 	5 , 	12 , 	13 , 	12 , 	21 , 	44 , 	143 , 	24 , 	40 , 	31 , 	5 , 	17 , 	44 , 	4 , 	2 , 	4 , 	1 , 	0 , 	3 , 	5 , 	74 , 	37 , 	88 , 	35 , 	12 , 	16 , 	7 , 	5 , 	8 , 	4 , 	9 , 	11 , 	0 , 	7 , 	1 , 	3 , 	13 , 	3 , 	9 , 	5 , 	-   , 	832 ,,,,,,,,,,,
UC, 	6 , 	14 , 	9 , 	4 , 	50 , 	9 , 	18 , 	18 , 	26 , 	30 , 	41 , 	224 , 	21 , 	41 , 	60 , 	19 , 	7 , 	53 , 	5 , 	5 , 	3 , 	3 , 	0 , 	4 , 	6 , 	148 , 	62 , 	151 , 	68 , 	18 , 	15 , 	4 , 	15 , 	11 , 	3 , 	10 , 	19 , 	1 , 	10 , 	2 , 	3 , 	27 , 	3 , 	14 , 	20 , 	-   ," 	1,281 ",,,,,,,,,,,
FM, 	19 , 	44 , 	33 , 	24 , 	173 , 	30 , 	46 , 	34 , 	50 , 	59 , 	89 , 	709 , 	49 , 	85 , 	100 , 	47 , 	60 , 	28 , 	21 , 	17 , 	15 , 	6 , 	4 , 	19 , 	16 , 	335 , 	140 , 	308 , 	163 , 	49 , 	33 , 	16 , 	17 , 	33 , 	5 , 	16 , 	61 , 	6 , 	30 , 	3 , 	5 , 	58 , 	4 , 	24 , 	40 , 	-   ," 	3,122 ",,,,,,,,,,,
CN, 	8 , 	17 , 	9 , 	11 , 	35 , 	9 , 	37 , 	24 , 	43 , 	8 , 	19 , 	110 , 	11 , 	10 , 	6 , 	4 , 	5 , 	24 , 	13 , 	45 , 	110 , 	44 , 	15 , 	30 , 	8 , 	167 , 	96 , 	212 , 	102 , 	36 , 	26 , 	16 , 	15 , 	24 , 	9 , 	4 , 	4 , 	18 , 	131 , 	8 , 	8 , 	98 , 	10 , 	3 , 	36 , 	-   ," 	1,679 ",,,,,,,,,,,
PH, 	4 , 	7 , 	5 , 	5 , 	36 , 	6 , 	28 , 	27 , 	32 , 	6 , 	14 , 	111 , 	6 , 	5 , 	4 , 	2 , 	6 , 	16 , 	40 , 	15 , 	55 , 	22 , 	13 , 	40 , 	8 , 	226 , 	133 , 	229 , 	133 , 	35 , 	25 , 	10 , 	8 , 	20 , 	5 , 	2 , 	6 , 	6 , 	48 , 	4 , 	5 , 	167 , 	14 , 	1 , 	53 , 	-   ," 	1,644 ",,,,,,,,,,,
WC, 	9 , 	12 , 	11 , 	11 , 	57 , 	10 , 	43 , 	37 , 	39 , 	13 , 	13 , 	124 , 	6 , 	6 , 	4 , 	3 , 	3 , 	14 , 	125 , 	50 , 	13 , 	25 , 	17 , 	61 , 	9 , 	325 , 	166 , 	284 , 	193 , 	55 , 	38 , 	21 , 	16 , 	22 , 	7 , 	1 , 	4 , 	12 , 	88 , 	5 , 	8 , 	192 , 	16 , 	2 , 	47 , 	-   ," 	2,218 ",,,,,,,,,,,
