Exit stations,Entry stations->,,SATURDAY,,,Oct 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	31 , 	32 , 	13 , 	107 , 	28 , 	34 , 	22 , 	32 , 	7 , 	28 , 	24 , 	11 , 	7 , 	13 , 	7 , 	3 , 	6 , 	7 , 	5 , 	7 , 	5 , 	2 , 	8 , 	9 , 	87 , 	55 , 	158 , 	49 , 	61 , 	66 , 	13 , 	15 , 	11 , 	4 , 	2 , 	5 , 	2 , 	3 , 	6 , 	7 , 	18 , 	5 , 	1 , 	5 , 	4 , 	3 , 	8 , 	3 , 	3 ," 	1,057 ",,,,,,,,,,
EN, 	35 , 	22 , 	25 , 	22 , 	187 , 	35 , 	48 , 	39 , 	55 , 	14 , 	39 , 	37 , 	14 , 	13 , 	9 , 	9 , 	5 , 	6 , 	8 , 	7 , 	10 , 	3 , 	2 , 	9 , 	14 , 	182 , 	114 , 	242 , 	73 , 	58 , 	56 , 	17 , 	20 , 	24 , 	8 , 	1 , 	5 , 	1 , 	5 , 	5 , 	11 , 	47 , 	8 , 	4 , 	13 , 	7 , 	6 , 	10 , 	4 , 	4 ," 	1,591 ",,,,,,,,,,
EP, 	31 , 	20 , 	11 , 	21 , 	196 , 	24 , 	26 , 	30 , 	41 , 	12 , 	13 , 	9 , 	9 , 	4 , 	4 , 	5 , 	2 , 	4 , 	4 , 	3 , 	3 , 	4 , 	2 , 	10 , 	3 , 	100 , 	54 , 	95 , 	48 , 	32 , 	29 , 	7 , 	4 , 	7 , 	2 , 	3 , 	5 , 	0 , 	2 , 	2 , 	3 , 	25 , 	3 , 	2 , 	10 , 	1 , 	3 , 	6 , 	2 , 	3 , 	942 ,,,,,,,,,,
NB, 	16 , 	21 , 	23 , 	15 , 	54 , 	17 , 	25 , 	30 , 	23 , 	11 , 	17 , 	8 , 	7 , 	5 , 	5 , 	5 , 	1 , 	8 , 	4 , 	5 , 	7 , 	2 , 	1 , 	5 , 	5 , 	111 , 	50 , 	76 , 	62 , 	48 , 	30 , 	10 , 	7 , 	9 , 	2 , 	1 , 	6 , 	1 , 	2 , 	1 , 	1 , 	20 , 	6 , 	1 , 	9 , 	2 , 	2 , 	8 , 	1 , 	2 , 	786 ,,,,,,,,,,
BK, 	119 , 	190 , 	197 , 	58 , 	86 , 	84 , 	91 , 	109 , 	111 , 	47 , 	66 , 	30 , 	39 , 	38 , 	26 , 	25 , 	25 , 	27 , 	17 , 	23 , 	36 , 	18 , 	14 , 	9 , 	25 , 	357 , 	217 , 	454 , 	219 , 	160 , 	97 , 	44 , 	32 , 	50 , 	9 , 	14 , 	48 , 	5 , 	13 , 	10 , 	13 , 	50 , 	53 , 	19 , 	32 , 	22 , 	36 , 	57 , 	6 , 	9 ," 	3,534 ",,,,,,,,,,
AS, 	34 , 	34 , 	22 , 	16 , 	74 , 	16 , 	25 , 	40 , 	33 , 	12 , 	23 , 	13 , 	13 , 	8 , 	7 , 	8 , 	2 , 	5 , 	3 , 	2 , 	4 , 	2 , 	2 , 	3 , 	10 , 	103 , 	57 , 	112 , 	73 , 	58 , 	40 , 	9 , 	6 , 	6 , 	1 , 	2 , 	6 , 	1 , 	1 , 	1 , 	3 , 	15 , 	6 , 	2 , 	9 , 	2 , 	7 , 	11 , 	1 , 	2 , 	945 ,,,,,,,,,,
MA, 	36 , 	42 , 	27 , 	26 , 	91 , 	26 , 	23 , 	43 , 	44 , 	15 , 	42 , 	24 , 	24 , 	15 , 	11 , 	6 , 	6 , 	8 , 	23 , 	13 , 	26 , 	10 , 	10 , 	23 , 	19 , 	180 , 	113 , 	207 , 	129 , 	120 , 	78 , 	20 , 	19 , 	12 , 	3 , 	2 , 	9 , 	6 , 	12 , 	4 , 	7 , 	38 , 	10 , 	3 , 	9 , 	5 , 	6 , 	9 , 	8 , 	13 ," 	1,657 ",,,,,,,,,,
19, 	22 , 	40 , 	30 , 	25 , 	113 , 	34 , 	36 , 	21 , 	4 , 	5 , 	25 , 	27 , 	24 , 	17 , 	16 , 	10 , 	4 , 	8 , 	17 , 	14 , 	23 , 	11 , 	11 , 	31 , 	17 , 	190 , 	128 , 	238 , 	159 , 	126 , 	73 , 	20 , 	15 , 	17 , 	6 , 	4 , 	10 , 	2 , 	7 , 	6 , 	7 , 	33 , 	11 , 	4 , 	13 , 	5 , 	12 , 	16 , 	6 , 	8 ," 	1,703 ",,,,,,,,,,
12, 	33 , 	50 , 	39 , 	23 , 	101 , 	34 , 	41 , 	8 , 	24 , 	4 , 	28 , 	36 , 	28 , 	23 , 	21 , 	14 , 	4 , 	10 , 	21 , 	21 , 	22 , 	10 , 	9 , 	32 , 	27 , 	178 , 	100 , 	225 , 	127 , 	101 , 	63 , 	23 , 	30 , 	19 , 	10 , 	2 , 	6 , 	2 , 	9 , 	5 , 	11 , 	39 , 	14 , 	4 , 	10 , 	6 , 	6 , 	6 , 	3 , 	12 ," 	1,677 ",,,,,,,,,,
LM, 	9 , 	12 , 	13 , 	16 , 	47 , 	15 , 	18 , 	4 , 	5 , 	15 , 	48 , 	47 , 	52 , 	54 , 	28 , 	14 , 	11 , 	12 , 	4 , 	4 , 	4 , 	2 , 	2 , 	5 , 	9 , 	171 , 	108 , 	198 , 	102 , 	95 , 	65 , 	20 , 	25 , 	12 , 	3 , 	22 , 	30 , 	2 , 	3 , 	2 , 	2 , 	9 , 	1 , 	10 , 	13 , 	8 , 	9 , 	18 , 	1 , 	4 ," 	1,385 ",,,,,,,,,,
FV, 	34 , 	28 , 	21 , 	22 , 	64 , 	25 , 	39 , 	30 , 	26 , 	32 , 	30 , 	81 , 	74 , 	89 , 	53 , 	33 , 	16 , 	23 , 	12 , 	6 , 	9 , 	5 , 	5 , 	21 , 	35 , 	165 , 	98 , 	245 , 	125 , 	86 , 	72 , 	18 , 	18 , 	18 , 	4 , 	23 , 	33 , 	1 , 	5 , 	4 , 	8 , 	13 , 	4 , 	25 , 	6 , 	18 , 	9 , 	15 , 	3 , 	5 ," 	1,831 ",,,,,,,,,,
CL, 	29 , 	39 , 	7 , 	7 , 	32 , 	14 , 	27 , 	28 , 	57 , 	40 , 	72 , 	16 , 	68 , 	75 , 	60 , 	48 , 	9 , 	17 , 	10 , 	17 , 	5 , 	5 , 	2 , 	5 , 	31 , 	93 , 	48 , 	134 , 	57 , 	44 , 	50 , 	15 , 	17 , 	24 , 	5 , 	14 , 	81 , 	2 , 	13 , 	4 , 	7 , 	9 , 	3 , 	19 , 	33 , 	15 , 	10 , 	23 , 	7 , 	9 ," 	1,454 ",,,,,,,,,,
