Exit stations,Entry stations->,,TOTAL,,,Oct 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	373 ," 	1,666 "," 	1,228 ", 	769 ," 	4,833 "," 	1,147 "," 	1,632 "," 	1,101 "," 	1,470 ", 	327 ," 	1,263 ", 	867 , 	525 , 	357 , 	471 , 	198 , 	177 , 	178 , 	298 , 	126 , 	324 , 	134 , 	115 , 	311 , 	423 ," 	3,877 "," 	2,996 "," 	5,889 "," 	3,038 "," 	2,581 "," 	2,777 ", 	556 , 	760 , 	792 , 	245 , 	74 , 	150 , 	84 , 	168 , 	185 , 	241 , 	623 , 	183 , 	47 , 	209 , 	169 , 	111 , 	210 , 	149 , 	223 ," 	46,650 ",,,,,,,,,,,,,
GP, 	579 , 	753 , 	296 , 	387 ," 	1,186 ", 	254 , 	793 , 	920 , 	945 , 	618 , 	641 , 	483 , 	438 , 	325 , 	263 , 	162 , 	137 , 	104 , 	460 , 	360 , 	294 , 	164 , 	149 , 	656 , 	779 ," 	5,127 "," 	6,171 "," 	9,307 "," 	4,920 "," 	3,289 "," 	3,102 ", 	366 ," 	1,022 ", 	818 , 	620 , 	111 , 	294 , 	56 , 	443 , 	460 , 	838 ," 	1,456 ", 	910 , 	137 , 	195 , 	38 , 	59 , 	106 , 	143 , 	486 ," 	52,620 ",,,,,,,,,,,,,
BP, 	707 , 	929 , 	259 , 	335 , 	995 , 	331 , 	714 , 	829 ," 	1,039 ", 	714 , 	889 , 	686 , 	549 , 	473 , 	298 , 	179 , 	168 , 	160 , 	411 , 	249 , 	263 , 	62 , 	118 , 	754 ," 	1,089 "," 	6,925 "," 	7,694 "," 	17,336 "," 	7,329 "," 	4,703 "," 	4,605 ", 	932 , 	443 , 	857 ," 	1,226 ", 	122 , 	350 , 	34 , 	514 , 	735 ," 	1,386 "," 	1,556 "," 	1,527 ", 	136 , 	104 , 	108 , 	65 , 	96 , 	91 , 	420 ," 	72,494 ",,,,,,,,,,,,,
DC, 	730 ," 	1,351 ", 	494 , 	401 ," 	1,237 ", 	352 , 	561 , 	757 ," 	1,286 ", 	681 ," 	1,216 ", 	871 , 	797 , 	576 , 	500 , 	377 , 	335 , 	329 , 	597 , 	481 , 	503 , 	161 , 	183 , 	302 , 	709 ," 	7,314 "," 	7,407 "," 	13,122 "," 	7,158 "," 	4,616 "," 	4,236 ", 	883 ," 	1,051 ", 	653 , 	657 , 	283 , 	765 , 	131 , 	575 ," 	1,042 "," 	1,701 "," 	3,024 "," 	1,983 ", 	266 , 	165 , 	232 , 	194 , 	260 , 	238 , 	735 ," 	74,478 ",,,,,,,,,,,,,
CM, 	162 , 	260 , 	73 , 	111 , 	308 , 	74 , 	137 , 	212 , 	446 , 	93 , 	162 , 	106 , 	68 , 	82 , 	100 , 	97 , 	41 , 	58 , 	199 , 	108 , 	150 , 	68 , 	23 , 	88 , 	214 ," 	2,627 "," 	2,808 "," 	5,020 "," 	3,511 "," 	1,874 "," 	1,951 ", 	634 ," 	1,134 ", 	671 , 	208 , 	45 , 	104 , 	43 , 	283 , 	215 , 	594 ," 	2,245 ", 	650 , 	13 , 	18 , 	9 , 	22 , 	15 , 	94 , 	241 ," 	28,469 ",,,,,,,,,,,,,
CV, 	57 , 	54 , 	80 , 	49 , 	374 , 	81 , 	177 , 	219 , 	253 ," 	1,165 ", 	744 , 	527 , 	713 , 	562 , 	292 , 	229 , 	165 , 	181 , 	29 , 	29 , 	51 , 	20 , 	29 , 	65 , 	189 ," 	2,701 "," 	2,374 "," 	2,060 "," 	1,529 ", 	518 , 	320 , 	142 , 	140 , 	280 , 	41 , 	148 ," 	1,047 ", 	10 , 	4 , 	73 , 	71 , 	300 , 	16 , 	780 , 	87 , 	120 , 	51 , 	118 , 	5 , 	16 ," 	19,285 ",,,,,,,,,,,,,
ED, 	168 , 	185 , 	95 , 	117 ," 	1,142 ", 	189 , 	392 , 	471 , 	626 ," 	1,407 "," 	1,753 "," 	1,528 "," 	1,297 "," 	1,188 ", 	667 , 	349 , 	466 , 	303 , 	122 , 	62 , 	49 , 	12 , 	8 , 	81 , 	286 ," 	7,967 "," 	4,858 "," 	4,872 "," 	3,360 "," 	1,198 ", 	755 , 	351 , 	351 , 	813 , 	104 ," 	1,078 ", 	491 , 	19 , 	59 , 	88 , 	51 ," 	1,395 ", 	95 , 	377 , 	965 , 	227 , 	202 , 	371 , 	28 , 	58 ," 	43,096 ",,,,,,,,,,,,,
NC, 	84 , 	58 , 	37 , 	40 , 	266 , 	28 , 	295 , 	252 , 	268 , 	60 , 	107 , 	82 , 	67 , 	38 , 	42 , 	38 , 	5 , 	32 , 	378 , 	281 , 	333 , 	74 , 	61 , 	180 , 	38 ," 	1,302 "," 	1,128 "," 	1,351 "," 	1,062 ", 	321 , 	322 , 	100 , 	94 , 	141 , 	49 , 	9 , 	17 , 	86 , 	234 , 	89 , 	47 , 	570 , 	24 , 	4 , 	172 , 	12 , 	21 , 	28 , 	220 , 	239 ," 	10,786 ",,,,,,,,,,,,,
WP, 	206 , 	210 , 	106 , 	76 , 	610 , 	82 ," 	1,003 ", 	729 , 	940 , 	144 , 	316 , 	318 , 	164 , 	158 , 	142 , 	115 , 	78 , 	102 ," 	1,992 ", 	884 ," 	1,479 ", 	351 , 	187 , 	472 , 	237 ," 	3,420 "," 	2,972 "," 	4,732 "," 	3,373 "," 	1,556 "," 	1,187 ", 	439 , 	575 , 	644 , 	247 , 	9 , 	66 , 	239 , 	309 , 	270 , 	306 ," 	1,378 ", 	116 , 	12 , 	319 , 	129 , 	33 , 	51 , 	341 , 	406 ," 	34,230 ",,,,,,,,,,,,,
SS, 	203 , 	278 , 	98 , 	75 , 	315 , 	87 , 	185 , 	297 , 	393 , 	97 , 	155 , 	169 , 	125 , 	176 , 	84 , 	63 , 	32 , 	18 , 	169 , 	160 , 	146 , 	42 , 	31 , 	130 , 	211 ," 	2,056 "," 	2,207 "," 	3,678 "," 	2,408 "," 	1,508 "," 	1,593 ", 	496 , 	911 ," 	1,168 ", 	288 , 	71 , 	118 , 	92 , 	253 , 	221 , 	392 , 	943 , 	474 , 	26 , 	26 , 	24 , 	13 , 	41 , 	65 , 	290 ," 	23,101 ",,,,,,,,,,,,,
SB, 	268 , 	376 , 	98 , 	62 , 	385 , 	124 , 	237 , 	279 , 	370 , 	153 , 	319 , 	260 , 	204 , 	185 , 	201 , 	60 , 	28 , 	60 , 	255 , 	211 , 	187 , 	66 , 	26 , 	170 , 	330 ," 	1,972 "," 	2,141 "," 	3,696 "," 	2,579 "," 	1,860 "," 	1,740 ", 	914 ," 	1,567 "," 	1,766 ", 	649 , 	63 , 	72 , 	58 , 	302 , 	395 , 	236 , 	994 , 	409 , 	31 , 	43 , 	4 , 	26 , 	5 , 	83 , 	262 ," 	26,781 ",,,,,,,,,,,,,
SO, 	591 ," 	1,134 ", 	667 , 	855 ," 	1,676 ", 	618 ," 	1,178 "," 	1,091 "," 	1,188 ", 	340 , 	542 , 	311 , 	355 , 	321 , 	161 , 	265 , 	197 , 	184 ," 	1,536 "," 	1,527 "," 	1,661 "," 	1,031 ", 	772 ," 	1,450 "," 	1,382 "," 	3,059 "," 	3,031 "," 	9,350 "," 	3,842 "," 	2,629 "," 	1,746 "," 	1,016 "," 	1,312 "," 	2,324 "," 	1,735 ", 	162 ," 	1,035 ", 	462 ," 	1,314 ", 	696 , 	607 , 	909 ," 	3,166 ", 	284 , 	316 , 	76 , 	74 , 	46 , 	202 ," 	1,344 "," 	61,770 ",,,,,,,,,,,,,
MB, 	193 , 	506 , 	229 , 	188 ," 	1,304 ", 	207 , 	450 , 	410 , 	478 , 	71 , 	148 , 	156 , 	73 , 	103 , 	73 , 	39 , 	31 , 	28 , 	158 , 	120 , 	134 , 	46 , 	39 , 	148 , 	305 ," 	2,474 "," 	2,652 "," 	3,372 "," 	2,769 "," 	1,743 "," 	1,537 ", 	758 ," 	1,561 "," 	1,948 ", 	612 , 	23 , 	80 , 	20 , 	94 , 	398 , 	353 ," 	4,236 ", 	723 , 	24 , 	75 , 	6 , 	5 , 	6 , 	39 , 	177 ," 	31,322 ",,,,,,,,,,,,,
WD, 	48 , 	101 , 	61 , 	48 , 	408 , 	26 , 	135 , 	251 , 	209 , 	690 , 	779 , 	509 , 	675 , 	832 , 	393 , 	276 , 	232 , 	138 , 	46 , 	61 , 	20 , 	4 , 	8 , 	23 , 	114 ," 	2,953 "," 	1,796 "," 	1,753 "," 	1,398 ", 	532 , 	334 , 	191 , 	144 , 	272 , 	21 , 	807 , 	414 , 	20 , 	20 , 	19 , 	29 , 	382 , 	30 , 	182 , 	384 , 	80 , 	87 , 	161 , 	5 , 	32 ," 	18,133 ",,,,,,,,,,,,,
OA, 	153 , 	385 , 	267 , 	335 ," 	1,183 ", 	264 , 	332 , 	372 , 	405 , 	289 , 	156 , 	440 , 	96 , 	100 , 	117 , 	83 , 	156 , 	178 , 	355 , 	419 , 	382 , 	223 , 	126 , 	194 , 	106 ," 	1,119 ", 	720 ," 	1,217 ", 	550 , 	273 , 	230 , 	200 , 	123 , 	147 , 	20 , 	51 , 	662 , 	106 , 	256 , 	23 , 	37 , 	477 , 	44 , 	260 , 	182 , 	78 , 	134 , 	145 , 	35 , 	329 ," 	14,534 ",,,,,,,,,,,,,
WS, 	129 , 	292 , 	73 , 	140 , 	798 , 	124 , 	212 , 	353 , 	373 , 	507 , 	757 , 	760 , 	627 , 	719 , 	952 , 	725 , 	827 , 	692 , 	60 , 	78 , 	39 , 	32 , 	12 , 	52 , 	122 , 	984 , 	734 , 	801 , 	557 , 	248 , 	170 , 	50 , 	136 , 	218 , 	11 , 	108 , 	216 , 	6 , 	126 , 	45 , 	7 , 	102 , 	5 , 	63 , 	104 , 	262 , 	860 ," 	1,160 ", 	19 , 	102 ," 	16,549 ",,,,,,,,,,,,,
ML, 	111 , 	216 , 	99 , 	119 ," 	1,275 ", 	250 , 	217 , 	359 , 	391 , 	344 , 	436 , 	350 , 	328 , 	329 , 	709 , 	421 , 	750 ," 	1,256 ", 	145 , 	61 , 	76 , 	34 , 	33 , 	84 , 	32 ," 	1,224 ", 	807 ," 	1,208 ", 	713 , 	308 , 	196 , 	69 , 	77 , 	207 , 	28 , 	64 , 	218 , 	22 , 	40 , 	17 , 	24 , 	101 , 	10 , 	83 , 	139 , 	874 , 	315 , 	221 , 	23 , 	57 ," 	15,470 ",,,,,,,,,,,,,
BE, 	227 , 	312 , 	203 , 	144 ," 	1,906 ", 	273 , 	471 , 	525 , 	479 , 	541 , 	632 , 	708 , 	519 , 	511 , 	876 , 	559 ," 	1,025 "," 	1,308 ", 	103 , 	89 , 	95 , 	45 , 	43 , 	101 , 	171 ," 	1,536 ", 	998 ," 	1,100 ", 	968 , 	429 , 	311 , 	102 , 	123 , 	253 , 	17 , 	134 , 	333 , 	28 , 	79 , 	38 , 	10 , 	74 , 	10 , 	149 , 	201 ," 	1,369 ", 	219 , 	415 , 	22 , 	76 ," 	20,860 ",,,,,,,,,,,,,
PC, 	125 , 	130 , 	50 , 	38 , 	260 , 	43 , 	507 , 	303 , 	327 , 	111 , 	155 , 	169 , 	122 , 	72 , 	80 , 	14 , 	52 , 	30 ," 	1,234 ", 	446 , 	531 , 	192 , 	120 , 	215 , 	144 , 	729 , 	689 ," 	1,259 ", 	705 , 	457 , 	394 , 	190 , 	105 , 	262 , 	101 , 	4 , 	38 , 	266 , 	303 , 	51 , 	89 , 	227 , 	20 , 	4 , 	57 , 	28 , 	22 , 	16 , 	96 , 	413 ," 	11,995 ",,,,,,,,,,,,,
AN, 	206 , 	182 , 	59 , 	49 , 	538 , 	117 ," 	1,196 ", 	780 ," 	1,131 ", 	284 , 	418 , 	501 , 	325 , 	139 , 	313 , 	107 , 	106 , 	115 ," 	1,393 ", 	507 , 	888 , 	204 , 	122 , 	638 , 	286 ," 	3,498 "," 	2,684 "," 	3,348 "," 	2,822 "," 	1,047 "," 	1,018 ", 	529 , 	464 , 	712 , 	249 , 	57 , 	63 , 	252 , 	441 , 	277 , 	219 ," 	1,419 ", 	169 , 	15 , 	416 , 	136 , 	59 , 	99 , 	384 , 	389 ," 	31,370 ",,,,,,,,,,,,,
Entries," 	46,890 "," 	68,154 "," 	37,675 "," 	31,363 "," 	106,433 "," 	36,405 "," 	69,915 "," 	73,379 "," 	76,700 "," 	52,522 "," 	80,700 "," 	52,906 "," 	56,693 "," 	47,792 "," 	39,921 "," 	26,745 "," 	26,984 "," 	29,039 "," 	44,075 "," 	38,387 "," 	41,733 "," 	22,536 "," 	18,420 "," 	40,506 "," 	65,760 "," 	210,936 "," 	171,314 "," 	245,806 "," 	167,544 "," 	107,878 "," 	106,352 "," 	53,849 "," 	79,294 "," 	72,902 "," 	28,536 "," 	19,070 "," 	43,611 "," 	11,385 "," 	33,402 "," 	22,055 "," 	24,735 "," 	78,190 "," 	31,489 "," 	17,558 "," 	18,587 "," 	17,700 "," 	15,168 "," 	19,805 "," 	12,215 "," 	33,094 "," 	2,874,108 ",,,,,,,,,,,,,
