Exit stations,Entry stations->,,SUNDAY,,,Oct 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	11 , 	21 , 	16 , 	11 , 	54 , 	9 , 	19 , 	16 , 	24 , 	9 , 	24 , 	14 , 	11 , 	3 , 	6 , 	4 , 	1 , 	3 , 	6 , 	2 , 	3 , 	4 , 	1 , 	7 , 	5 , 	50 , 	23 , 	96 , 	35 , 	29 , 	33 , 	4 , 	12 , 	6 , 	3 , 	1 , 	1 , 	-   , 	1 , 	4 , 	3 , 	14 , 	1 , 	1 , 	4 , 	3 , 	2 , 	7 , 	2 , 	4 , 	624 ,,,,,,,,,,,
BF, 	7 , 	10 , 	4 , 	5 , 	13 , 	9 , 	13 , 	18 , 	24 , 	34 , 	77 , 	35 , 	35 , 	13 , 	21 , 	14 , 	10 , 	13 , 	7 , 	1 , 	3 , 	0 , 	2 , 	3 , 	8 , 	71 , 	42 , 	108 , 	39 , 	17 , 	18 , 	5 , 	5 , 	9 , 	3 , 	13 , 	24 , 	1 , 	4 , 	1 , 	3 , 	10 , 	0 , 	16 , 	4 , 	9 , 	6 , 	8 , 	2 , 	4 , 	801 ,,,,,,,,,,,
HY, 	7 , 	8 , 	4 , 	3 , 	18 , 	4 , 	13 , 	11 , 	15 , 	16 , 	44 , 	22 , 	29 , 	20 , 	12 , 	17 , 	13 , 	13 , 	3 , 	3 , 	2 , 	0 , 	1 , 	2 , 	6 , 	41 , 	12 , 	37 , 	18 , 	10 , 	7 , 	4 , 	5 , 	3 , 	3 , 	4 , 	7 , 	1 , 	3 , 	1 , 	2 , 	5 , 	1 , 	6 , 	7 , 	13 , 	10 , 	18 , 	0 , 	3 , 	509 ,,,,,,,,,,,
SH, 	6 , 	5 , 	3 , 	2 , 	16 , 	3 , 	5 , 	12 , 	14 , 	12 , 	33 , 	14 , 	16 , 	17 , 	16 , 	6 , 	2 , 	9 , 	4 , 	1 , 	1 , 	0 , 	0 , 	3 , 	6 , 	35 , 	15 , 	37 , 	17 , 	13 , 	6 , 	3 , 	4 , 	6 , 	2 , 	3 , 	5 , 	0 , 	2 , 	-   , 	1 , 	11 , 	1 , 	5 , 	5 , 	6 , 	6 , 	11 , 	-   , 	4 , 	401 ,,,,,,,,,,,
UC, 	1 , 	3 , 	2 , 	2 , 	14 , 	4 , 	4 , 	5 , 	6 , 	6 , 	15 , 	5 , 	6 , 	10 , 	12 , 	6 , 	7 , 	13 , 	2 , 	1 , 	1 , 	1 , 	0 , 	1 , 	3 , 	30 , 	11 , 	32 , 	10 , 	8 , 	4 , 	5 , 	1 , 	4 , 	0 , 	1 , 	6 , 	0 , 	1 , 	0 , 	1 , 	7 , 	0 , 	3 , 	4 , 	15 , 	17 , 	16 , 	0 , 	1 , 	307 ,,,,,,,,,,,
FM, 	4 , 	4 , 	1 , 	3 , 	13 , 	4 , 	5 , 	5 , 	6 , 	11 , 	21 , 	4 , 	13 , 	16 , 	14 , 	7 , 	16 , 	19 , 	2 , 	3 , 	1 , 	0 , 	0 , 	2 , 	2 , 	48 , 	15 , 	36 , 	19 , 	9 , 	4 , 	2 , 	4 , 	3 , 	2 , 	2 , 	6 , 	0 , 	2 , 	0 , 	-   , 	9 , 	0 , 	2 , 	8 , 	12 , 	25 , 	18 , 	0 , 	1 , 	403 ,,,,,,,,,,,
CN, 	7 , 	5 , 	4 , 	2 , 	7 , 	4 , 	13 , 	11 , 	7 , 	2 , 	9 , 	6 , 	4 , 	5 , 	3 , 	2 , 	1 , 	3 , 	10 , 	17 , 	43 , 	26 , 	6 , 	12 , 	4 , 	74 , 	34 , 	73 , 	32 , 	15 , 	16 , 	5 , 	5 , 	6 , 	3 , 	1 , 	2 , 	4 , 	32 , 	3 , 	3 , 	41 , 	3 , 	0 , 	11 , 	2 , 	2 , 	2 , 	20 , 	18 , 	617 ,,,,,,,,,,,
PH, 	2 , 	4 , 	2 , 	2 , 	8 , 	2 , 	9 , 	9 , 	8 , 	3 , 	6 , 	3 , 	2 , 	1 , 	3 , 	2 , 	1 , 	2 , 	11 , 	11 , 	28 , 	10 , 	5 , 	16 , 	2 , 	86 , 	30 , 	62 , 	37 , 	15 , 	11 , 	4 , 	3 , 	5 , 	2 , 	-   , 	1 , 	3 , 	14 , 	2 , 	3 , 	51 , 	3 , 	-   , 	16 , 	0 , 	2 , 	2 , 	6 , 	7 , 	518 ,,,,,,,,,,,
WC, 	4 , 	5 , 	2 , 	3 , 	14 , 	3 , 	18 , 	16 , 	10 , 	2 , 	8 , 	3 , 	6 , 	3 , 	1 , 	1 , 	1 , 	1 , 	59 , 	32 , 	12 , 	14 , 	8 , 	22 , 	5 , 	105 , 	50 , 	70 , 	49 , 	22 , 	10 , 	8 , 	4 , 	8 , 	1 , 	2 , 	0 , 	5 , 	25 , 	2 , 	2 , 	57 , 	3 , 	-   , 	12 , 	2 , 	3 , 	2 , 	7 , 	13 , 	713 ,,,,,,,,,,,
LF, 	3 , 	2 , 	3 , 	1 , 	6 , 	1 , 	6 , 	5 , 	4 , 	1 , 	5 , 	3 , 	0 , 	1 , 	1 , 	1 , 	0 , 	0 , 	33 , 	11 , 	13 , 	7 , 	4 , 	15 , 	1 , 	73 , 	32 , 	43 , 	26 , 	12 , 	6 , 	3 , 	1 , 	3 , 	0 , 	1 , 	0 , 	3 , 	6 , 	1 , 	1 , 	35 , 	2 , 	-   , 	7 , 	0 , 	0 , 	2 , 	5 , 	1 , 	392 ,,,,,,,,,,,
OR, 	2 , 	1 , 	0 , 	2 , 	4 , 	-   , 	6 , 	6 , 	4 , 	1 , 	7 , 	1 , 	1 , 	2 , 	0 , 	0 , 	0 , 	-   , 	6 , 	3 , 	8 , 	5 , 	3 , 	13 , 	2 , 	67 , 	23 , 	33 , 	28 , 	12 , 	6 , 	2 , 	1 , 	2 , 	1 , 	-   , 	0 , 	1 , 	2 , 	1 , 	1 , 	27 , 	1 , 	-   , 	4 , 	0 , 	-   , 	2 , 	1 , 	1 , 	290 ,,,,,,,,,,,
