Muni Fast Pass Adult/Clipper OD,,,,,,Aug 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,43,23,85,109,409,721,646,939,"2,974"
MT,31,42,49,101,496,911,885,"1,632","4,148"
PL,126,76,40,67,412,593,489,"1,273","3,076"
CC,85,84,69,29,227,390,333,764,"1,980"
16,356,393,494,253,13,144,154,349,"2,156"
24,583,674,716,388,153,21,110,349,"2,994"
GP,556,655,621,311,156,126,16,75,"2,516"
BP,806,954,"1,719",711,344,363,80,47,"5,024"
Entries,"2,586","2,901","3,792","1,968","2,210","3,270","2,712","5,428","24,868"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,6,33,25,154,192,126,260,811
MT,10,18,19,12,168,227,199,704,"1,355"
PL,46,15,47,34,365,498,382,"1,040","2,426"
CC,25,8,39,24,162,240,120,271,889
16,127,94,403,173,17,144,105,241,"1,304"
24,158,137,580,246,147,37,99,261,"1,665"
GP,101,98,465,116,92,104,12,44,"1,032"
BP,233,259,"1,322",240,208,224,38,61,"2,585"
Entries,716,635,"2,907",869,"1,313","1,665","1,081","2,881","12,066"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,4,19,19,88,118,74,177,520
MT,5,10,15,14,89,146,134,472,883
PL,27,8,46,26,256,369,255,692,"1,679"
CC,13,7,29,23,126,177,100,229,702
16,79,54,308,138,17,87,82,166,930
24,120,93,431,176,88,19,72,176,"1,175"
GP,91,72,358,98,81,75,15,31,820
BP,165,167,"1,064",196,155,163,29,30,"1,967"
Entries,523,414,"2,267",689,898,"1,153",760,"1,972","8,675"
