Exit stations,Entry stations->,,SUNDAY,,,Aug 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	70 , 	137 , 	72 , 	66 , 	159 , 	77 , 	132 , 	86 , 	173 , 	116 , 	181 , 	12 , 	135 , 	204 , 	135 , 	79 , 	110 , 	226 , 	76 , 	72 , 	102 , 	52 , 	34 , 	50 , 	64 , 	259 , 	137 , 	484 , 	207 , 	83 , 	77 , 	48 , 	38 , 	44 , 	11 , 	86 , 	312 , 	35 , 	120 , 	14 , 	14 , 	64 , 	28 , 	105 ," 	4,776 ",,,CM line," 	12,221 "," 	1,797 "," 	4,530 "," 	1,560 "," 	1,074 "," 	1,569 "," 	2,330 "," 	25,078 "
SL, 	20 , 	25 , 	14 , 	14 , 	52 , 	22 , 	48 , 	35 , 	102 , 	107 , 	99 , 	151 , 	6 , 	81 , 	76 , 	32 , 	27 , 	47 , 	11 , 	8 , 	9 , 	4 , 	3 , 	10 , 	17 , 	139 , 	87 , 	308 , 	109 , 	42 , 	32 , 	18 , 	29 , 	25 , 	4 , 	26 , 	30 , 	3 , 	21 , 	3 , 	5 , 	28 , 	9 , 	23 ," 	1,956 ",,,RM line," 	5,831 "," 	2,070 "," 	1,602 "," 	2,877 ", 	732 ," 	2,147 ", 	790 ," 	16,049 "
BF, 	19 , 	32 , 	18 , 	22 , 	53 , 	32 , 	50 , 	50 , 	123 , 	108 , 	179 , 	206 , 	79 , 	9 , 	95 , 	71 , 	64 , 	118 , 	21 , 	7 , 	9 , 	4 , 	3 , 	11 , 	25 , 	129 , 	90 , 	307 , 	92 , 	37 , 	31 , 	16 , 	25 , 	26 , 	7 , 	47 , 	78 , 	4 , 	25 , 	3 , 	6 , 	18 , 	7 , 	69 ," 	2,423 ",,,WP line," 	5,914 "," 	1,032 "," 	1,093 ", 	762 ," 	2,437 "," 	1,222 ", 	925 ," 	13,385 "
HY, 	25 , 	30 , 	8 , 	11 , 	47 , 	19 , 	49 , 	34 , 	72 , 	52 , 	98 , 	154 , 	66 , 	103 , 	10 , 	44 , 	56 , 	123 , 	7 , 	1 , 	7 , 	4 , 	2 , 	6 , 	12 , 	77 , 	53 , 	140 , 	65 , 	20 , 	14 , 	11 , 	18 , 	12 , 	3 , 	19 , 	31 , 	3 , 	21 , 	3 , 	8 , 	11 , 	8 , 	21 ," 	1,574 ",,,FT/ED line," 	7,527 "," 	2,571 "," 	1,585 "," 	2,061 "," 	1,162 "," 	7,277 ", 	623 ," 	22,805 "
SH, 	13 , 	15 , 	6 , 	5 , 	26 , 	10 , 	18 , 	15 , 	40 , 	26 , 	50 , 	77 , 	31 , 	71 , 	50 , 	5 , 	28 , 	67 , 	5 , 	5 , 	6 , 	2 , 	1 , 	4 , 	7 , 	67 , 	30 , 	120 , 	41 , 	21 , 	13 , 	5 , 	8 , 	12 , 	5 , 	14 , 	19 , 	2 , 	13 , 	6 , 	3 , 	5 , 	6 , 	10 , 	978 ,,,SFIA," 	4,950 ", 	397 ," 	1,945 ", 	579 , 	737 , 	443 ," 	1,051 "," 	10,100 "
UC, 	8 , 	15 , 	6 , 	9 , 	47 , 	11 , 	23 , 	21 , 	50 , 	36 , 	34 , 	124 , 	25 , 	59 , 	62 , 	26 , 	11 , 	94 , 	9 , 	7 , 	8 , 	2 , 	2 , 	6 , 	7 , 	114 , 	65 , 	200 , 	64 , 	18 , 	11 , 	9 , 	16 , 	19 , 	3 , 	10 , 	18 , 	2 , 	16 , 	3 , 	5 , 	28 , 	4 , 	11 ," 	1,308 ",,,Entries," 	44,165 "," 	14,812 "," 	24,563 "," 	15,371 "," 	12,750 "," 	22,423 "," 	11,364 "," 	145,448 "
FM, 	21 , 	45 , 	32 , 	32 , 	162 , 	32 , 	48 , 	43 , 	70 , 	63 , 	82 , 	237 , 	53 , 	123 , 	129 , 	78 , 	94 , 	17 , 	19 , 	16 , 	17 , 	5 , 	4 , 	14 , 	12 , 	241 , 	134 , 	409 , 	155 , 	43 , 	35 , 	22 , 	22 , 	31 , 	7 , 	19 , 	49 , 	7 , 	30 , 	5 , 	7 , 	46 , 	6 , 	18 ," 	2,730 ",,,,,,,,,,,
CN, 	19 , 	22 , 	12 , 	13 , 	43 , 	12 , 	43 , 	24 , 	54 , 	11 , 	25 , 	83 , 	11 , 	19 , 	10 , 	6 , 	8 , 	18 , 	10 , 	52 , 	149 , 	56 , 	20 , 	43 , 	8 , 	181 , 	82 , 	241 , 	137 , 	42 , 	36 , 	19 , 	23 , 	30 , 	6 , 	6 , 	9 , 	16 , 	160 , 	10 , 	14 , 	93 , 	14 , 	4 ," 	1,889 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	9 , 	13 , 	10 , 	13 , 	31 , 	8 , 	30 , 	19 , 	43 , 	5 , 	17 , 	83 , 	5 , 	6 , 	4 , 	2 , 	3 , 	13 , 	49 , 	11 , 	81 , 	23 , 	16 , 	46 , 	4 , 	224 , 	122 , 	280 , 	151 , 	39 , 	25 , 	20 , 	12 , 	22 , 	3 , 	4 , 	5 , 	9 , 	43 , 	4 , 	6 , 	122 , 	16 , 	2 ," 	1,649 ",,,Dtwn SF," 	1,774 ",,,,,,,
WC, 	12 , 	23 , 	20 , 	17 , 	59 , 	20 , 	43 , 	27 , 	58 , 	10 , 	17 , 	101 , 	10 , 	11 , 	9 , 	4 , 	7 , 	13 , 	166 , 	82 , 	11 , 	47 , 	23 , 	76 , 	9 , 	359 , 	170 , 	366 , 	251 , 	40 , 	35 , 	24 , 	20 , 	30 , 	6 , 	2 , 	7 , 	24 , 	84 , 	5 , 	9 , 	147 , 	18 , 	3 ," 	2,468 ",,,OAK," 	11,968 ", 	928 ,,,,,,
