Muni Fast Pass Adult/Clipper OD,,,,,,Nov 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,38,26,96,115,417,783,627,912,"3,014"
MT,28,43,59,109,497,"1,018",901,"1,721","4,375"
PL,148,82,52,76,442,697,521,"1,460","3,480"
CC,91,97,83,29,251,465,344,921,"2,280"
16,358,397,532,282,17,136,155,438,"2,315"
24,619,749,858,468,138,24,132,478,"3,465"
GP,564,661,643,328,157,143,17,106,"2,618"
BP,789,986,"2,016",863,427,495,106,48,"5,732"
Entries,"2,635","3,041","4,338","2,272","2,346","3,760","2,803","6,085","27,280"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,6,40,32,142,201,125,248,808
MT,6,12,18,22,155,236,209,706,"1,364"
PL,46,19,48,40,389,595,385,"1,068","2,589"
CC,18,16,44,24,179,238,145,302,965
16,127,92,439,183,14,111,100,224,"1,290"
24,161,133,681,250,92,24,92,241,"1,674"
GP,106,118,488,128,88,86,14,42,"1,069"
BP,206,243,"1,366",251,205,215,41,27,"2,554"
Entries,683,639,"3,124",929,"1,264","1,705","1,111","2,858","12,311"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,3,23,22,86,104,69,131,462
MT,4,14,10,15,88,142,122,444,838
PL,27,9,79,25,280,396,269,709,"1,793"
CC,14,7,28,38,147,169,91,233,728
16,86,56,331,153,41,61,64,162,952
24,114,86,494,179,61,38,58,148,"1,178"
GP,69,76,378,102,65,61,18,29,797
BP,143,145,"1,045",199,145,132,25,25,"1,858"
Entries,481,396,"2,388",733,912,"1,102",714,"1,881","8,605"
