Exit stations,Entry stations->,,SATURDAY,,,Nov 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	52 , 	68 , 	30 , 	34 , 	111 , 	66 , 	117 , 	86 , 	132 , 	109 , 	130 , 	4 , 	83 , 	149 , 	102 , 	55 , 	52 , 	79 , 	30 , 	26 , 	23 , 	13 , 	12 , 	21 , 	68 , 	207 , 	128 , 	367 , 	146 , 	61 , 	59 , 	38 , 	48 , 	43 , 	5 , 	30 , 	58 , 	6 , 	66 , 	6 , 	17 , 	36 , 	12 , 	29 ," 	3,006 ",,,CM line," 	16,232 "," 	2,040 "," 	5,558 "," 	1,948 "," 	1,239 "," 	1,668 "," 	2,322 "," 	31,007 "
SL, 	19 , 	36 , 	15 , 	19 , 	67 , 	30 , 	50 , 	52 , 	82 , 	99 , 	148 , 	81 , 	6 , 	99 , 	81 , 	35 , 	31 , 	55 , 	18 , 	9 , 	10 , 	2 , 	2 , 	10 , 	25 , 	185 , 	149 , 	446 , 	110 , 	38 , 	37 , 	19 , 	22 , 	24 , 	8 , 	31 , 	29 , 	5 , 	27 , 	7 , 	6 , 	32 , 	10 , 	26 ," 	2,286 ",,,RM line," 	7,993 "," 	2,557 "," 	1,981 "," 	3,855 ", 	856 ," 	2,288 ", 	725 ," 	20,253 "
BF, 	24 , 	45 , 	15 , 	19 , 	80 , 	41 , 	65 , 	72 , 	123 , 	121 , 	230 , 	150 , 	108 , 	7 , 	132 , 	89 , 	85 , 	119 , 	16 , 	7 , 	8 , 	7 , 	3 , 	12 , 	29 , 	159 , 	127 , 	408 , 	102 , 	44 , 	35 , 	22 , 	28 , 	24 , 	7 , 	61 , 	98 , 	4 , 	28 , 	8 , 	9 , 	15 , 	6 , 	80 ," 	2,866 ",,,WP line," 	7,902 "," 	1,158 "," 	1,254 ", 	921 ," 	2,966 ", 	959 , 	841 ," 	15,999 "
HY, 	24 , 	37 , 	11 , 	16 , 	61 , 	34 , 	57 , 	53 , 	66 , 	47 , 	134 , 	107 , 	94 , 	135 , 	7 , 	79 , 	80 , 	130 , 	13 , 	8 , 	13 , 	3 , 	1 , 	10 , 	27 , 	97 , 	67 , 	254 , 	80 , 	33 , 	31 , 	13 , 	24 , 	19 , 	7 , 	21 , 	38 , 	6 , 	22 , 	1 , 	10 , 	10 , 	13 , 	26 ," 	2,011 ",,,FT/ED line," 	9,046 "," 	2,642 "," 	1,698 "," 	2,248 ", 	920 ," 	6,635 ", 	553 ," 	23,740 "
SH, 	10 , 	14 , 	5 , 	5 , 	23 , 	10 , 	25 , 	18 , 	29 , 	20 , 	48 , 	44 , 	33 , 	72 , 	68 , 	4 , 	29 , 	65 , 	8 , 	2 , 	3 , 	1 , 	1 , 	5 , 	9 , 	51 , 	39 , 	137 , 	45 , 	12 , 	16 , 	6 , 	10 , 	13 , 	4 , 	14 , 	14 , 	2 , 	11 , 	4 , 	4 , 	6 , 	3 , 	12 , 	950 ,,,SFIA," 	4,446 ", 	401 ," 	2,135 ", 	640 , 	727 , 	445 , 	965 ," 	9,758 "
UC, 	12 , 	21 , 	9 , 	8 , 	85 , 	13 , 	22 , 	25 , 	53 , 	35 , 	54 , 	55 , 	32 , 	82 , 	81 , 	44 , 	14 , 	94 , 	8 , 	9 , 	6 , 	3 , 	3 , 	6 , 	9 , 	124 , 	84 , 	322 , 	66 , 	17 , 	19 , 	11 , 	16 , 	20 , 	11 , 	15 , 	18 , 	4 , 	13 , 	5 , 	5 , 	13 , 	7 , 	14 ," 	1,557 ",,,Entries," 	55,610 "," 	17,737 "," 	31,301 "," 	20,371 "," 	15,993 "," 	23,852 "," 	10,814 "," 	175,677 "
FM, 	26 , 	44 , 	28 , 	26 , 	207 , 	30 , 	50 , 	43 , 	78 , 	48 , 	101 , 	86 , 	50 , 	120 , 	155 , 	87 , 	100 , 	14 , 	20 , 	18 , 	16 , 	10 , 	6 , 	15 , 	10 , 	265 , 	184 , 	615 , 	154 , 	39 , 	39 , 	22 , 	23 , 	41 , 	8 , 	21 , 	46 , 	4 , 	28 , 	7 , 	7 , 	42 , 	5 , 	19 ," 	2,951 ",,,,,,,,,,,
CN, 	22 , 	22 , 	10 , 	16 , 	63 , 	13 , 	50 , 	41 , 	65 , 	10 , 	28 , 	29 , 	16 , 	14 , 	17 , 	8 , 	7 , 	17 , 	7 , 	62 , 	183 , 	52 , 	23 , 	42 , 	8 , 	169 , 	112 , 	356 , 	112 , 	31 , 	43 , 	20 , 	20 , 	31 , 	5 , 	6 , 	8 , 	19 , 	217 , 	8 , 	8 , 	68 , 	15 , 	3 ," 	2,068 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	9 , 	10 , 	7 , 	12 , 	43 , 	12 , 	38 , 	30 , 	43 , 	10 , 	15 , 	32 , 	8 , 	7 , 	5 , 	4 , 	5 , 	15 , 	59 , 	12 , 	101 , 	23 , 	14 , 	47 , 	5 , 	262 , 	188 , 	448 , 	129 , 	33 , 	28 , 	20 , 	13 , 	24 , 	6 , 	4 , 	4 , 	10 , 	67 , 	5 , 	6 , 	94 , 	15 , 	3 ," 	1,921 ",,,Dtwn SF," 	2,437 ",,,,,,,
WC, 	18 , 	25 , 	14 , 	21 , 	75 , 	19 , 	42 , 	46 , 	66 , 	9 , 	33 , 	31 , 	13 , 	6 , 	13 , 	6 , 	6 , 	17 , 	234 , 	106 , 	11 , 	49 , 	36 , 	91 , 	9 , 	371 , 	268 , 	606 , 	206 , 	52 , 	41 , 	22 , 	19 , 	35 , 	11 , 	5 , 	7 , 	27 , 	120 , 	5 , 	10 , 	123 , 	23 , 	5 ," 	2,943 ",,,OAK," 	15,424 "," 	1,072 ",,,,,,
