Fast Pass Adjusted OD,,,,,,Aug 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,55,38,121,119,488,881,718,"1,072","3,492"
MT,35,47,69,121,737,"1,219","1,095","2,075","5,399"
PL,163,93,74,105,642,981,651,"1,496","4,205"
CC,114,125,116,74,525,698,529,"1,265","3,445"
16,388,569,764,494,27,180,176,513,"3,111"
24,722,941,"1,145",693,194,41,134,411,"4,282"
GP,677,855,847,454,173,151,19,99,"3,273"
BP,943,"1,291","2,267","1,116",483,441,96,37,"6,674"
Entries,"3,095","3,958","5,403","3,177","3,270","4,593","3,418","6,967","33,883"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,8,37,25,196,258,120,223,891
MT,10,19,22,29,306,347,323,983,"2,039"
PL,36,18,67,40,495,748,424,954,"2,782"
CC,24,24,42,43,337,401,195,457,"1,523"
16,126,169,573,320,25,119,95,254,"1,680"
24,181,229,790,376,130,41,100,240,"2,087"
GP,98,140,586,174,80,102,16,55,"1,251"
BP,185,309,"1,624",398,252,236,62,29,"3,095"
Entries,683,917,"3,740","1,403","1,822","2,252","1,336","3,195","15,349"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,5,22,16,121,161,67,129,540
MT,5,13,21,29,185,214,192,644,"1,302"
PL,23,14,69,35,345,521,297,627,"1,930"
CC,15,17,42,51,264,319,131,304,"1,143"
16,81,125,396,263,34,85,50,152,"1,185"
24,126,150,588,317,86,36,62,159,"1,525"
GP,64,84,438,122,58,59,17,35,877
BP,118,195,"1,225",276,140,162,37,28,"2,181"
Entries,449,604,"2,799","1,108","1,233","1,558",853,"2,078","10,683"
