Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Aug 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	90 , 	247 , 	132 , 	133 , 	256 , 	132 , 	173 , 	100 , 	196 , 	132 , 	223 , 	10 , 	281 , 	333 , 	214 , 	126 , 	214 , 	461 , 	131 , 	164 , 	142 , 	94 , 	77 , 	100 , 	70 , 	327 , 	223 , 	640 , 	333 , 	114 , 	137 , 	71 , 	55 , 	87 , 	31 , 	185 , 	792 , 	62 , 	132 , 	10 , 	23 , 	51 , 	34 ," 	7,539 ",,,CM line," 	13,831 "," 	1,247 "," 	4,792 "," 	1,514 "," 	1,014 "," 	1,740 "," 	1,041 "," 	24,137 "
SL, 	19 , 	35 , 	19 , 	14 , 	83 , 	28 , 	39 , 	43 , 	138 , 	107 , 	132 , 	283 , 	10 , 	116 , 	85 , 	36 , 	40 , 	57 , 	17 , 	6 , 	10 , 	5 , 	2 , 	10 , 	20 , 	154 , 	135 , 	338 , 	117 , 	30 , 	44 , 	20 , 	31 , 	20 , 	7 , 	22 , 	47 , 	3 , 	15 , 	6 , 	5 , 	20 , 	7 ," 	2,377 ",,,RM line," 	6,110 "," 	2,138 "," 	1,501 "," 	3,869 ", 	767 ," 	2,691 ", 	422 ," 	17,076 "
BF, 	24 , 	33 , 	12 , 	14 , 	74 , 	33 , 	50 , 	47 , 	150 , 	115 , 	229 , 	327 , 	128 , 	6 , 	116 , 	88 , 	80 , 	118 , 	17 , 	8 , 	6 , 	1 , 	2 , 	8 , 	31 , 	122 , 	110 , 	274 , 	104 , 	27 , 	36 , 	15 , 	20 , 	25 , 	8 , 	29 , 	123 , 	2 , 	20 , 	3 , 	5 , 	16 , 	7 ," 	2,661 ",,,WP line," 	6,093 ", 	883 ," 	1,068 ", 	853 ," 	3,162 "," 	1,445 ", 	428 ," 	13,503 "
HY, 	22 , 	25 , 	11 , 	12 , 	67 , 	26 , 	52 , 	39 , 	89 , 	46 , 	149 , 	197 , 	106 , 	132 , 	13 , 	98 , 	113 , 	141 , 	14 , 	9 , 	9 , 	3 , 	3 , 	14 , 	18 , 	86 , 	67 , 	172 , 	63 , 	24 , 	29 , 	10 , 	13 , 	12 , 	6 , 	8 , 	30 , 	4 , 	17 , 	3 , 	5 , 	10 , 	6 ," 	1,971 ",,,FT/ED line," 	8,901 "," 	2,827 "," 	1,833 "," 	2,812 "," 	1,544 "," 	11,032 ", 	504 ," 	28,948 "
SH, 	13 , 	18 , 	6 , 	5 , 	30 , 	14 , 	19 , 	15 , 	42 , 	25 , 	52 , 	123 , 	43 , 	82 , 	99 , 	5 , 	42 , 	88 , 	10 , 	4 , 	5 , 	1 , 	0 , 	5 , 	6 , 	60 , 	47 , 	146 , 	38 , 	22 , 	30 , 	9 , 	15 , 	14 , 	5 , 	8 , 	27 , 	0 , 	12 , 	2 , 	4 , 	7 , 	4 ," 	1,202 ",,,SFIA," 	2,487 ", 	213 ," 	1,012 ", 	325 , 	366 , 	461 , 	418 ," 	4,863 "
UC, 	7 , 	23 , 	10 , 	7 , 	66 , 	19 , 	21 , 	26 , 	83 , 	54 , 	55 , 	201 , 	47 , 	86 , 	109 , 	53 , 	9 , 	116 , 	11 , 	10 , 	7 , 	2 , 	2 , 	5 , 	9 , 	109 , 	97 , 	248 , 	66 , 	15 , 	27 , 	10 , 	14 , 	17 , 	6 , 	8 , 	23 , 	4 , 	15 , 	2 , 	2 , 	14 , 	4 ," 	1,716 ",,,Entries," 	44,618 "," 	13,666 "," 	26,116 "," 	17,839 "," 	14,045 "," 	29,218 "," 	5,991 "," 	145,502 "
FM, 	20 , 	51 , 	29 , 	18 , 	219 , 	34 , 	37 , 	40 , 	126 , 	63 , 	88 , 	436 , 	54 , 	122 , 	147 , 	89 , 	112 , 	25 , 	28 , 	16 , 	18 , 	5 , 	3 , 	16 , 	9 , 	261 , 	189 , 	572 , 	171 , 	33 , 	33 , 	20 , 	27 , 	35 , 	8 , 	12 , 	38 , 	6 , 	22 , 	3 , 	1 , 	35 , 	7 ," 	3,278 ",,,,,,,,,,,
CN, 	27 , 	29 , 	14 , 	12 , 	64 , 	19 , 	48 , 	27 , 	79 , 	11 , 	33 , 	123 , 	16 , 	15 , 	15 , 	9 , 	11 , 	28 , 	17 , 	73 , 	287 , 	80 , 	28 , 	34 , 	9 , 	194 , 	110 , 	262 , 	128 , 	36 , 	68 , 	25 , 	27 , 	36 , 	22 , 	3 , 	9 , 	39 , 	237 , 	12 , 	6 , 	36 , 	18 ," 	2,376 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	7 , 	11 , 	7 , 	12 , 	61 , 	9 , 	22 , 	18 , 	53 , 	4 , 	18 , 	140 , 	4 , 	5 , 	8 , 	7 , 	7 , 	16 , 	84 , 	13 , 	74 , 	30 , 	13 , 	45 , 	3 , 	280 , 	176 , 	333 , 	124 , 	21 , 	27 , 	14 , 	16 , 	23 , 	11 , 	1 , 	5 , 	16 , 	48 , 	4 , 	3 , 	54 , 	15 ," 	1,842 ",,,Dtwn SF," 	1,731 ",,,,,,,
WC, 	12 , 	21 , 	13 , 	12 , 	92 , 	12 , 	30 , 	31 , 	70 , 	9 , 	19 , 	134 , 	9 , 	5 , 	7 , 	5 , 	7 , 	13 , 	355 , 	85 , 	9 , 	48 , 	16 , 	79 , 	6 , 	344 , 	209 , 	402 , 	152 , 	26 , 	30 , 	15 , 	16 , 	21 , 	13 , 	4 , 	5 , 	31 , 	89 , 	3 , 	5 , 	42 , 	18 ," 	2,524 ",,,OAK," 	11,090 ", 	735 ,,,,,,
