Exit stations,Entry stations->,,SATURDAY,,,Jun 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	5 , 	23 , 	19 , 	15 , 	44 , 	18 , 	23 , 	15 , 	14 , 	7 , 	24 , 	16 , 	5 , 	6 , 	5 , 	2 , 	3 , 	3 , 	5 , 	3 , 	4 , 	1 , 	1 , 	3 , 	4 , 	33 , 	25 , 	57 , 	30 , 	35 , 	40 , 	8 , 	16 , 	9 , 	2 , 	-   , 	2 , 	1 , 	3 , 	2 , 	4 , 	3 , 	3 , 	1 , 	2 , 	2 , 	2 , 	2 , 	3 , 	4 , 	549 ,,,,,,,,,,
EN, 	26 , 	7 , 	22 , 	10 , 	55 , 	20 , 	25 , 	24 , 	25 , 	7 , 	26 , 	15 , 	11 , 	6 , 	7 , 	4 , 	5 , 	4 , 	4 , 	4 , 	6 , 	1 , 	0 , 	3 , 	11 , 	50 , 	30 , 	76 , 	40 , 	33 , 	23 , 	8 , 	13 , 	10 , 	4 , 	1 , 	2 , 	0 , 	6 , 	2 , 	5 , 	8 , 	2 , 	1 , 	4 , 	4 , 	3 , 	3 , 	2 , 	2 , 	653 ,,,,,,,,,,
EP, 	18 , 	16 , 	1 , 	9 , 	47 , 	14 , 	12 , 	14 , 	14 , 	3 , 	14 , 	6 , 	4 , 	3 , 	4 , 	2 , 	4 , 	3 , 	1 , 	2 , 	2 , 	-   , 	0 , 	2 , 	3 , 	16 , 	12 , 	23 , 	10 , 	9 , 	9 , 	2 , 	3 , 	3 , 	3 , 	1 , 	0 , 	0 , 	1 , 	1 , 	1 , 	5 , 	1 , 	1 , 	1 , 	1 , 	3 , 	3 , 	1 , 	1 , 	304 ,,,,,,,,,,
NB, 	15 , 	10 , 	9 , 	1 , 	9 , 	4 , 	8 , 	6 , 	8 , 	6 , 	10 , 	5 , 	6 , 	2 , 	2 , 	-   , 	1 , 	2 , 	1 , 	1 , 	1 , 	-   , 	0 , 	1 , 	2 , 	10 , 	9 , 	15 , 	13 , 	9 , 	6 , 	2 , 	1 , 	2 , 	1 , 	0 , 	3 , 	0 , 	2 , 	0 , 	1 , 	2 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	0 , 	190 ,,,,,,,,,,
BK, 	46 , 	56 , 	42 , 	8 , 	5 , 	30 , 	35 , 	33 , 	37 , 	18 , 	28 , 	15 , 	13 , 	12 , 	6 , 	5 , 	6 , 	5 , 	3 , 	1 , 	3 , 	-   , 	0 , 	2 , 	13 , 	32 , 	21 , 	35 , 	24 , 	16 , 	16 , 	4 , 	4 , 	7 , 	1 , 	-   , 	2 , 	1 , 	2 , 	3 , 	1 , 	4 , 	2 , 	1 , 	3 , 	2 , 	5 , 	6 , 	1 , 	1 , 	610 ,,,,,,,,,,
AS, 	19 , 	26 , 	16 , 	10 , 	46 , 	3 , 	13 , 	16 , 	18 , 	6 , 	18 , 	8 , 	7 , 	4 , 	6 , 	3 , 	3 , 	2 , 	3 , 	1 , 	-   , 	-   , 	1 , 	2 , 	7 , 	17 , 	14 , 	18 , 	16 , 	14 , 	14 , 	2 , 	4 , 	3 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	3 , 	1 , 	0 , 	2 , 	3 , 	1 , 	4 , 	1 , 	1 , 	356 ,,,,,,,,,,
MA, 	21 , 	28 , 	12 , 	11 , 	26 , 	13 , 	3 , 	10 , 	14 , 	11 , 	26 , 	15 , 	12 , 	18 , 	9 , 	6 , 	2 , 	5 , 	11 , 	4 , 	9 , 	1 , 	1 , 	8 , 	11 , 	37 , 	25 , 	47 , 	37 , 	26 , 	25 , 	9 , 	6 , 	6 , 	4 , 	2 , 	2 , 	2 , 	9 , 	2 , 	1 , 	6 , 	1 , 	2 , 	4 , 	3 , 	1 , 	5 , 	6 , 	7 , 	556 ,,,,,,,,,,
19, 	13 , 	18 , 	12 , 	7 , 	30 , 	13 , 	8 , 	3 , 	4 , 	2 , 	12 , 	20 , 	12 , 	17 , 	10 , 	6 , 	5 , 	4 , 	6 , 	4 , 	6 , 	2 , 	2 , 	10 , 	8 , 	34 , 	23 , 	46 , 	41 , 	31 , 	22 , 	7 , 	6 , 	6 , 	1 , 	1 , 	1 , 	1 , 	5 , 	2 , 	1 , 	4 , 	2 , 	1 , 	2 , 	2 , 	2 , 	4 , 	2 , 	4 , 	477 ,,,,,,,,,,
12, 	13 , 	26 , 	17 , 	9 , 	37 , 	17 , 	18 , 	3 , 	7 , 	4 , 	21 , 	12 , 	16 , 	19 , 	10 , 	3 , 	7 , 	6 , 	8 , 	8 , 	5 , 	1 , 	2 , 	13 , 	13 , 	35 , 	26 , 	62 , 	43 , 	27 , 	22 , 	8 , 	9 , 	6 , 	4 , 	0 , 	2 , 	1 , 	5 , 	2 , 	4 , 	5 , 	8 , 	2 , 	1 , 	3 , 	3 , 	3 , 	2 , 	3 , 	574 ,,,,,,,,,,
LM, 	9 , 	8 , 	7 , 	4 , 	14 , 	7 , 	8 , 	2 , 	5 , 	3 , 	36 , 	32 , 	30 , 	23 , 	20 , 	10 , 	7 , 	9 , 	3 , 	1 , 	3 , 	1 , 	-   , 	3 , 	10 , 	38 , 	28 , 	55 , 	44 , 	31 , 	22 , 	9 , 	9 , 	5 , 	2 , 	8 , 	14 , 	1 , 	0 , 	2 , 	3 , 	2 , 	0 , 	8 , 	3 , 	7 , 	4 , 	10 , 	2 , 	1 , 	559 ,,,,,,,,,,
