Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Dec 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
SL, 	20 , 	33 , 	12 , 	15 , 	67 , 	22 , 	48 , 	42 , 	122 , 	92 , 	149 , 	225 , 	8 , 	97 , 	80 , 	41 , 	35 , 	49 , 	12 , 	5 , 	5 , 	6 , 	6 , 	10 , 	25 , 	142 , 	115 , 	411 , 	106 , 	41 , 	43 , 	17 , 	19 , 	24 , 	7 , 	24 , 	42 , 	2 , 	17 , 	5 , 	3 , 	24 , 	8 ," 	2,277 ",,,,,,,,,,
BF, 	19 , 	35 , 	12 , 	16 , 	67 , 	25 , 	59 , 	63 , 	129 , 	91 , 	251 , 	225 , 	90 , 	8 , 	116 , 	87 , 	85 , 	106 , 	14 , 	12 , 	12 , 	3 , 	2 , 	12 , 	37 , 	152 , 	112 , 	372 , 	94 , 	30 , 	33 , 	16 , 	21 , 	16 , 	5 , 	54 , 	140 , 	2 , 	18 , 	3 , 	6 , 	13 , 	6 ," 	2,669 ",,,,,,,,,,
HY, 	22 , 	28 , 	10 , 	11 , 	52 , 	20 , 	41 , 	55 , 	83 , 	36 , 	145 , 	154 , 	84 , 	129 , 	9 , 	101 , 	93 , 	127 , 	14 , 	8 , 	8 , 	3 , 	1 , 	6 , 	21 , 	109 , 	57 , 	215 , 	62 , 	26 , 	39 , 	9 , 	14 , 	16 , 	9 , 	15 , 	48 , 	5 , 	17 , 	2 , 	4 , 	7 , 	6 ," 	1,922 ",,,,,,,,,,
SH, 	13 , 	15 , 	5 , 	5 , 	16 , 	6 , 	19 , 	21 , 	42 , 	18 , 	51 , 	81 , 	42 , 	93 , 	86 , 	7 , 	43 , 	83 , 	7 , 	3 , 	4 , 	2 , 	3 , 	4 , 	10 , 	68 , 	39 , 	166 , 	47 , 	17 , 	26 , 	5 , 	9 , 	10 , 	3 , 	9 , 	29 , 	2 , 	17 , 	3 , 	2 , 	9 , 	3 ," 	1,143 ",,,,,,,,,,
UC, 	9 , 	21 , 	7 , 	8 , 	51 , 	20 , 	19 , 	45 , 	64 , 	37 , 	54 , 	107 , 	39 , 	91 , 	93 , 	49 , 	10 , 	97 , 	10 , 	9 , 	6 , 	3 , 	2 , 	5 , 	12 , 	138 , 	84 , 	311 , 	74 , 	20 , 	14 , 	7 , 	14 , 	22 , 	8 , 	7 , 	30 , 	2 , 	12 , 	3 , 	2 , 	17 , 	3 ," 	1,635 ",,,,,,,,,,
FM, 	19 , 	46 , 	20 , 	23 , 	136 , 	25 , 	36 , 	37 , 	101 , 	61 , 	76 , 	215 , 	48 , 	116 , 	138 , 	87 , 	104 , 	22 , 	20 , 	15 , 	12 , 	5 , 	5 , 	17 , 	13 , 	310 , 	159 , 	620 , 	152 , 	29 , 	33 , 	15 , 	23 , 	29 , 	4 , 	16 , 	43 , 	3 , 	24 , 	3 , 	5 , 	33 , 	5 ," 	2,904 ",,,,,,,,,,
CN, 	24 , 	33 , 	12 , 	11 , 	41 , 	11 , 	39 , 	30 , 	65 , 	7 , 	33 , 	69 , 	8 , 	13 , 	13 , 	8 , 	10 , 	18 , 	9 , 	65 , 	257 , 	69 , 	29 , 	31 , 	11 , 	149 , 	78 , 	295 , 	114 , 	32 , 	44 , 	21 , 	22 , 	28 , 	7 , 	2 , 	11 , 	30 , 	229 , 	6 , 	8 , 	35 , 	14 ," 	2,041 ",,,,,,,,,,
PH, 	9 , 	8 , 	7 , 	8 , 	40 , 	11 , 	29 , 	23 , 	53 , 	7 , 	22 , 	85 , 	5 , 	10 , 	9 , 	3 , 	7 , 	18 , 	62 , 	9 , 	98 , 	29 , 	11 , 	49 , 	2 , 	236 , 	149 , 	492 , 	175 , 	27 , 	31 , 	20 , 	15 , 	27 , 	3 , 	3 , 	4 , 	14 , 	51 , 	5 , 	3 , 	63 , 	11 ," 	1,943 ",,,,,,,,,,
WC, 	9 , 	18 , 	12 , 	16 , 	60 , 	15 , 	36 , 	35 , 	76 , 	9 , 	23 , 	85 , 	6 , 	9 , 	6 , 	8 , 	6 , 	9 , 	330 , 	99 , 	13 , 	40 , 	26 , 	80 , 	2 , 	307 , 	169 , 	601 , 	227 , 	22 , 	25 , 	21 , 	15 , 	28 , 	5 , 	2 , 	5 , 	29 , 	96 , 	5 , 	4 , 	64 , 	12 ," 	2,665 ",,,,,,,,,,
LF, 	7 , 	9 , 	7 , 	6 , 	25 , 	5 , 	18 , 	17 , 	32 , 	3 , 	19 , 	40 , 	5 , 	4 , 	4 , 	1 , 	3 , 	4 , 	78 , 	29 , 	42 , 	7 , 	11 , 	41 , 	3 , 	193 , 	123 , 	336 , 	148 , 	16 , 	19 , 	9 , 	7 , 	9 , 	1 , 	0 , 	0 , 	4 , 	16 , 	4 , 	2 , 	43 , 	6 ," 	1,356 ",,,,,,,,,,
