Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
RM, 	5 , 	70 , 	71 , 	30 , 	121 , 	51 , 	54 , 	24 , 	53 , 	17 , 	49 , 	50 , 	10 , 	16 , 	20 , 	7 , 	4 , 	16 , 	14 , 	4 , 	5 , 	3 , 	4 , 	8 , 	15 , 	43 , 	45 , 	136 , 	66 , 	41 , 	75 , 	12 , 	23 , 	20 , 	4 , 	3 , 	7 , 	1 , 	22 , 	6 , 	7 , 	9 , 	6 ," 	1,248 ",,,Eastbay," 	26,426 ",,,,,,
EN, 	79 , 	5 , 	56 , 	38 , 	222 , 	71 , 	81 , 	44 , 	91 , 	25 , 	62 , 	157 , 	20 , 	26 , 	23 , 	8 , 	15 , 	34 , 	15 , 	7 , 	13 , 	5 , 	7 , 	11 , 	22 , 	110 , 	104 , 	397 , 	142 , 	49 , 	67 , 	29 , 	32 , 	31 , 	13 , 	3 , 	9 , 	3 , 	20 , 	7 , 	7 , 	24 , 	9 ," 	2,195 ",,,Westbay," 	35,501 ",,,,,,
EP, 	72 , 	54 , 	7 , 	33 , 	194 , 	46 , 	40 , 	28 , 	50 , 	20 , 	38 , 	53 , 	13 , 	9 , 	8 , 	3 , 	10 , 	18 , 	7 , 	4 , 	7 , 	5 , 	4 , 	10 , 	9 , 	67 , 	78 , 	247 , 	85 , 	25 , 	22 , 	12 , 	7 , 	10 , 	2 , 	0 , 	5 , 	2 , 	4 , 	0 , 	4 , 	26 , 	11 ," 	1,349 ",,,Transbay," 	48,707 ",,,,,,
NB, 	31 , 	38 , 	30 , 	5 , 	59 , 	28 , 	25 , 	25 , 	50 , 	22 , 	29 , 	55 , 	12 , 	9 , 	5 , 	4 , 	11 , 	17 , 	8 , 	6 , 	7 , 	2 , 	4 , 	9 , 	2 , 	91 , 	96 , 	258 , 	133 , 	58 , 	46 , 	17 , 	14 , 	14 , 	2 , 	1 , 	5 , 	1 , 	4 , 	1 , 	1 , 	34 , 	8 ," 	1,274 ",,,SFO Ext," 	10,459 ",,,,,,
BK, 	124 , 	220 , 	182 , 	52 , 	17 , 	147 , 	144 , 	117 , 	169 , 	77 , 	103 , 	124 , 	42 , 	35 , 	38 , 	14 , 	36 , 	144 , 	25 , 	25 , 	36 , 	17 , 	21 , 	23 , 	39 , 	190 , 	181 , 	655 , 	295 , 	131 , 	103 , 	51 , 	26 , 	53 , 	10 , 	13 , 	34 , 	6 , 	15 , 	3 , 	5 , 	74 , 	31 ," 	3,849 ",,,Extensions," 	12,062 ",,,,,,
AS, 	59 , 	61 , 	45 , 	33 , 	110 , 	7 , 	63 , 	51 , 	62 , 	33 , 	54 , 	65 , 	18 , 	23 , 	13 , 	12 , 	18 , 	16 , 	8 , 	8 , 	17 , 	8 , 	4 , 	11 , 	24 , 	70 , 	81 , 	223 , 	138 , 	74 , 	68 , 	16 , 	18 , 	10 , 	1 , 	5 , 	9 , 	1 , 	7 , 	2 , 	1 , 	23 , 	7 ," 	1,575 ",,,,,,,,,,
MA, 	59 , 	78 , 	40 , 	30 , 	123 , 	64 , 	9 , 	31 , 	62 , 	21 , 	70 , 	110 , 	20 , 	38 , 	27 , 	14 , 	16 , 	21 , 	29 , 	19 , 	25 , 	9 , 	8 , 	22 , 	30 , 	133 , 	121 , 	418 , 	206 , 	108 , 	76 , 	21 , 	25 , 	15 , 	3 , 	4 , 	15 , 	5 , 	37 , 	3 , 	3 , 	29 , 	10 ," 	2,208 ",,,,,,,,,,
19, 	20 , 	41 , 	29 , 	30 , 	115 , 	56 , 	32 , 	5 , 	15 , 	12 , 	45 , 	64 , 	14 , 	30 , 	24 , 	10 , 	10 , 	22 , 	17 , 	11 , 	27 , 	13 , 	10 , 	20 , 	21 , 	74 , 	79 , 	222 , 	118 , 	56 , 	41 , 	15 , 	15 , 	18 , 	3 , 	4 , 	12 , 	5 , 	23 , 	2 , 	5 , 	15 , 	5 ," 	1,400 ",,,,,,,,,,
12, 	41 , 	82 , 	53 , 	45 , 	149 , 	63 , 	54 , 	15 , 	8 , 	16 , 	80 , 	126 , 	60 , 	67 , 	42 , 	20 , 	38 , 	68 , 	29 , 	33 , 	40 , 	13 , 	18 , 	42 , 	42 , 	141 , 	162 , 	482 , 	189 , 	78 , 	58 , 	23 , 	31 , 	36 , 	12 , 	6 , 	10 , 	7 , 	38 , 	3 , 	4 , 	31 , 	11 ," 	2,565 ",,,,,,,,,,
LM, 	23 , 	26 , 	22 , 	24 , 	67 , 	40 , 	20 , 	8 , 	12 , 	4 , 	89 , 	99 , 	72 , 	69 , 	32 , 	17 , 	26 , 	40 , 	8 , 	4 , 	9 , 	5 , 	3 , 	10 , 	21 , 	95 , 	118 , 	397 , 	151 , 	62 , 	65 , 	14 , 	26 , 	17 , 	9 , 	31 , 	48 , 	2 , 	8 , 	6 , 	4 , 	29 , 	8 ," 	1,839 ",,,,,,,,,,
