Fast Pass Adjusted OD,,,,,,Dec 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,48,40,165,134,488,784,673,986,"3,318"
MT,41,51,98,131,692,"1,134",959,"1,971","5,076"
PL,239,131,65,126,675,997,610,"1,493","4,337"
CC,119,118,125,45,471,596,439,"1,058","2,970"
16,413,530,861,468,28,195,174,471,"3,140"
24,631,843,"1,241",610,197,52,135,417,"4,125"
GP,588,719,879,405,178,145,31,100,"3,046"
BP,859,"1,114","2,373",993,491,430,102,46,"6,407"
Entries,"2,937","3,546","5,807","2,913","3,219","4,333","3,123","6,541","32,418"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,9,57,34,208,225,126,242,929
MT,8,16,25,27,271,340,289,941,"1,916"
PL,59,24,63,48,556,849,490,"1,054","3,143"
CC,35,23,56,30,319,364,172,420,"1,419"
16,172,168,663,337,19,128,108,274,"1,870"
24,194,184,907,368,132,29,98,236,"2,148"
GP,101,139,660,139,94,92,17,54,"1,297"
BP,225,289,"1,727",379,272,240,56,25,"3,213"
Entries,821,852,"4,159","1,363","1,871","2,267","1,355","3,248","15,935"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,6,28,23,131,145,72,131,552
MT,4,16,17,22,177,222,200,660,"1,318"
PL,38,13,56,33,433,645,324,797,"2,339"
CC,23,13,44,33,261,286,112,291,"1,063"
16,113,125,522,264,26,94,70,181,"1,395"
24,146,142,765,309,96,27,63,191,"1,739"
GP,60,80,492,104,60,71,12,27,907
BP,144,186,"1,371",263,167,184,30,20,"2,365"
Entries,545,581,"3,295","1,051","1,350","1,675",883,"2,297","11,677"
