Exit stations,Entry stations->,,SATURDAY,,,Feb 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	90 , 	201 , 	69 , 	74 , 	183 , 	90 , 	152 , 	132 , 	190 , 	148 , 	294 , 	21 , 	331 , 	328 , 	253 , 	180 , 	200 , 	409 , 	34 , 	186 , 	119 , 	79 , 	47 , 	73 , 	97 , 	271 , 	197 , 	519 , 	256 , 	115 , 	125 , 	68 , 	70 , 	150 , 	27 , 	160 , 	414 , 	12 , 	86 , 	31 , 	27 , 	32 , 	41 , 	155 ," 	6,731 ",,,CM line," 	17,536 "," 	2,715 "," 	5,992 "," 	2,364 "," 	1,343 "," 	2,232 "," 	2,159 "," 	34,341 "
SL, 	26 , 	41 , 	23 , 	17 , 	122 , 	29 , 	55 , 	69 , 	95 , 	130 , 	137 , 	334 , 	9 , 	111 , 	99 , 	46 , 	48 , 	57 , 	10 , 	14 , 	11 , 	5 , 	5 , 	16 , 	27 , 	188 , 	184 , 	450 , 	138 , 	60 , 	53 , 	22 , 	32 , 	28 , 	5 , 	32 , 	39 , 	2 , 	17 , 	6 , 	8 , 	24 , 	13 , 	33 ," 	2,867 ",,,RM line," 	8,238 "," 	2,964 "," 	2,331 "," 	4,598 ", 	944 ," 	2,712 ", 	622 ," 	22,407 "
BF, 	24 , 	38 , 	18 , 	16 , 	96 , 	39 , 	69 , 	68 , 	120 , 	136 , 	246 , 	343 , 	97 , 	9 , 	142 , 	68 , 	70 , 	118 , 	12 , 	13 , 	11 , 	7 , 	3 , 	9 , 	39 , 	182 , 	185 , 	451 , 	110 , 	49 , 	46 , 	13 , 	34 , 	24 , 	7 , 	63 , 	101 , 	2 , 	24 , 	7 , 	10 , 	14 , 	9 , 	108 ," 	3,244 ",,,WP line," 	7,299 "," 	1,277 "," 	1,342 "," 	1,005 "," 	2,760 "," 	1,280 ", 	678 ," 	15,640 "
HY, 	22 , 	37 , 	14 , 	17 , 	80 , 	29 , 	55 , 	57 , 	69 , 	55 , 	151 , 	251 , 	102 , 	156 , 	13 , 	80 , 	87 , 	150 , 	10 , 	14 , 	15 , 	6 , 	2 , 	11 , 	25 , 	119 , 	107 , 	257 , 	107 , 	37 , 	37 , 	12 , 	27 , 	26 , 	7 , 	24 , 	43 , 	4 , 	22 , 	5 , 	12 , 	13 , 	10 , 	51 ," 	2,422 ",,,FT/ED line," 	10,092 "," 	3,107 "," 	2,305 "," 	2,876 "," 	1,325 "," 	10,724 ", 	577 ," 	31,006 "
SH, 	10 , 	19 , 	6 , 	8 , 	55 , 	15 , 	18 , 	28 , 	32 , 	28 , 	56 , 	164 , 	41 , 	89 , 	72 , 	9 , 	49 , 	88 , 	5 , 	5 , 	4 , 	3 , 	1 , 	4 , 	8 , 	70 , 	76 , 	164 , 	64 , 	31 , 	33 , 	8 , 	10 , 	17 , 	4 , 	18 , 	23 , 	1 , 	14 , 	6 , 	6 , 	6 , 	7 , 	14 ," 	1,382 ",,,SFIA," 	4,543 ", 	418 ," 	2,091 ", 	643 , 	604 , 	487 , 	878 ," 	9,663 "
UC, 	15 , 	19 , 	11 , 	11 , 	87 , 	14 , 	20 , 	33 , 	45 , 	42 , 	50 , 	193 , 	48 , 	86 , 	93 , 	49 , 	11 , 	95 , 	6 , 	9 , 	12 , 	1 , 	3 , 	9 , 	8 , 	130 , 	141 , 	288 , 	82 , 	25 , 	20 , 	9 , 	15 , 	23 , 	5 , 	14 , 	22 , 	1 , 	9 , 	4 , 	2 , 	19 , 	5 , 	14 ," 	1,794 ",,,Entries," 	59,416 "," 	20,942 "," 	34,259 "," 	22,991 "," 	15,599 "," 	30,839 "," 	11,034 "," 	195,080 "
FM, 	23 , 	41 , 	25 , 	25 , 	291 , 	32 , 	49 , 	65 , 	85 , 	67 , 	95 , 	409 , 	59 , 	120 , 	153 , 	91 , 	103 , 	34 , 	13 , 	18 , 	14 , 	7 , 	4 , 	24 , 	16 , 	267 , 	293 , 	561 , 	166 , 	62 , 	38 , 	13 , 	28 , 	44 , 	11 , 	17 , 	65 , 	2 , 	21 , 	5 , 	7 , 	35 , 	7 , 	22 ," 	3,523 ",,,,,,,,,,,
CN, 	16 , 	18 , 	7 , 	8 , 	43 , 	13 , 	38 , 	36 , 	55 , 	9 , 	21 , 	35 , 	10 , 	10 , 	9 , 	5 , 	6 , 	11 , 	13 , 	42 , 	133 , 	37 , 	24 , 	33 , 	7 , 	126 , 	116 , 	250 , 	97 , 	29 , 	29 , 	13 , 	22 , 	25 , 	7 , 	2 , 	7 , 	20 , 	163 , 	9 , 	12 , 	41 , 	11 , 	4 ," 	1,615 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	13 , 	21 , 	10 , 	11 , 	91 , 	20 , 	51 , 	55 , 	67 , 	12 , 	25 , 	180 , 	13 , 	11 , 	12 , 	5 , 	9 , 	21 , 	48 , 	29 , 	114 , 	37 , 	23 , 	57 , 	9 , 	300 , 	230 , 	476 , 	197 , 	68 , 	40 , 	22 , 	20 , 	35 , 	10 , 	3 , 	7 , 	9 , 	56 , 	8 , 	12 , 	94 , 	19 , 	4 ," 	2,548 ",,,Dtwn SF," 	2,845 ",,,,,,,
WC, 	14 , 	26 , 	22 , 	15 , 	94 , 	19 , 	50 , 	72 , 	67 , 	13 , 	28 , 	108 , 	11 , 	11 , 	14 , 	6 , 	12 , 	16 , 	157 , 	117 , 	21 , 	49 , 	24 , 	101 , 	13 , 	332 , 	271 , 	467 , 	232 , 	66 , 	42 , 	23 , 	15 , 	30 , 	8 , 	5 , 	6 , 	17 , 	111 , 	8 , 	7 , 	90 , 	18 , 	3 ," 	2,826 ",,,OAK," 	18,160 "," 	1,164 ",,,,,,
LF, 	8 , 	7 , 	10 , 	7 , 	59 , 	10 , 	21 , 	33 , 	30 , 	4 , 	20 , 	77 , 	6 , 	5 , 	5 , 	2 , 	2 , 	6 , 	51 , 	42 , 	48 , 	15 , 	13 , 	63 , 	3 , 	209 , 	157 , 	266 , 	141 , 	41 , 	22 , 	10 , 	7 , 	11 , 	3 , 	2 , 	4 , 	7 , 	21 , 	4 , 	6 , 	49 , 	7 , 	2 ," 	1,508 ",,,CM line," 	35,085 "," 	5,365 "," 	5,992 ",,,,,
OR, 	3 , 	6 , 	7 , 	8 , 	49 , 	7 , 	18 , 	30 , 	26 , 	4 , 	13 , 	44 , 	3 , 	4 , 	2 , 	2 , 	2 , 	6 , 	22 , 	21 , 	31 , 	12 , 	7 , 	48 , 	5 , 	184 , 	157 , 	249 , 	105 , 	32 , 	19 , 	8 , 	6 , 	11 , 	2 , 	1 , 	3 , 	4 , 	13 , 	1 , 	4 , 	38 , 	9 , 	1 ," 	1,222 ",,,RM line," 	16,902 "," 	5,806 "," 	4,694 "," 	4,598 ",,,,
RR, 	21 , 	21 , 	35 , 	27 , 	67 , 	23 , 	60 , 	99 , 	93 , 	22 , 	40 , 	68 , 	17 , 	9 , 	13 , 	5 , 	8 , 	21 , 	31 , 	55 , 	89 , 	66 , 	47 , 	22 , 	24 , 	381 , 	351 , 	618 , 	375 , 	197 , 	136 , 	42 , 	16 , 	24 , 	3 , 	4 , 	7 , 	6 , 	19 , 	4 , 	4 , 	71 , 	27 , 	4 ," 	3,264 ",,,WP line," 	14,761 "," 	2,440 "," 	2,685 "," 	1,949 "," 	2,760 ",,,
OW, 	17 , 	26 , 	12 , 	10 , 	84 , 	41 , 	57 , 	52 , 	78 , 	23 , 	97 , 	93 , 	26 , 	35 , 	20 , 	8 , 	7 , 	12 , 	8 , 	10 , 	9 , 	3 , 	3 , 	20 , 	10 , 	508 , 	518 , 	986 , 	381 , 	231 , 	161 , 	30 , 	34 , 	25 , 	5 , 	6 , 	10 , 	2 , 	20 , 	4 , 	12 , 	38 , 	12 , 	9 ," 	3,748 ",,,FT/ED line," 	20,428 "," 	6,177 "," 	4,537 "," 	5,588 "," 	2,605 "," 	10,724 ",,
EM, 	145 , 	367 , 	216 , 	329 , 	854 , 	301 , 	423 , 	451 , 	437 , 	320 , 	397 , 	292 , 	231 , 	214 , 	154 , 	86 , 	160 , 	348 , 	163 , 	363 , 	415 , 	261 , 	223 , 	480 , 	627 , 	63 , 	64 , 	380 , 	200 , 	527 , 	684 , 	388 , 	515 , 	373 , 	119 , 	176 , 	591 , 	98 , 	178 , 	105 , 	112 , 	361 , 	277 , 	190 ," 	13,655 ",,,SFIA," 	10,254 ", 	829 ," 	4,249 "," 	1,264 "," 	1,281 "," 	1,064 ", 	878 ," 	195,080 "
MT, 	126 , 	340 , 	198 , 	280 , 	619 , 	268 , 	379 , 	385 , 	368 , 	329 , 	398 , 	264 , 	204 , 	227 , 	129 , 	91 , 	171 , 	319 , 	145 , 	274 , 	291 , 	184 , 	165 , 	391 , 	604 , 	48 , 	54 , 	86 , 	171 , 	576 , 	738 , 	542 ," 	1,189 ", 	513 , 	168 , 	143 , 	363 , 	85 , 	156 , 	140 , 	142 , 	331 , 	353 , 	139 ," 	13,082 ",,,,,,,,,,,
PL, 	273 , 	608 , 	322 , 	393 ," 	1,185 ", 	358 , 	638 , 	545 , 	628 , 	496 , 	647 , 	487 , 	395 , 	381 , 	245 , 	159 , 	244 , 	496 , 	220 , 	404 , 	456 , 	253 , 	231 , 	544 , 	949 , 	454 , 	150 , 	139 , 	274 ," 	1,641 "," 	1,839 "," 	1,121 "," 	2,025 "," 	1,342 ", 	390 , 	201 , 	705 , 	95 , 	280 , 	324 , 	333 ," 	1,513 ", 	716 , 	219 ," 	25,311 ",,,,,,,,,,,
CC, 	107 , 	196 , 	139 , 	239 , 	543 , 	261 , 	387 , 	401 , 	305 , 	246 , 	365 , 	199 , 	119 , 	98 , 	91 , 	51 , 	74 , 	154 , 	80 , 	171 , 	186 , 	128 , 	86 , 	337 , 	382 , 	205 , 	205 , 	288 , 	64 , 	601 , 	773 , 	363 , 	603 , 	387 , 	136 , 	76 , 	194 , 	34 , 	88 , 	100 , 	163 , 	463 , 	281 , 	78 ," 	10,441 ",,,,,,,,,,,
16, 	73 , 	88 , 	71 , 	144 , 	314 , 	224 , 	325 , 	282 , 	212 , 	150 , 	187 , 	109 , 	52 , 	53 , 	42 , 	32 , 	32 , 	58 , 	34 , 	64 , 	71 , 	40 , 	35 , 	204 , 	257 , 	558 , 	546 ," 	1,847 ", 	708 , 	39 , 	343 , 	352 , 	518 , 	284 , 	98 , 	29 , 	78 , 	8 , 	40 , 	76 , 	120 , 	160 , 	206 , 	32 ," 	9,188 ",,,,,,,,,,,
24, 	97 , 	95 , 	49 , 	104 , 	230 , 	146 , 	206 , 	182 , 	144 , 	87 , 	190 , 	122 , 	56 , 	45 , 	42 , 	25 , 	20 , 	42 , 	31 , 	43 , 	50 , 	24 , 	21 , 	137 , 	190 , 	618 , 	578 ," 	2,110 ", 	841 , 	308 , 	43 , 	265 , 	485 , 	241 , 	109 , 	23 , 	51 , 	7 , 	51 , 	80 , 	133 , 	134 , 	161 , 	15 ," 	8,629 ",,,,,,,,,,,
