Fast Pass OD,,,,,,Mar 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,73,49,198,216,636,"1,047",848,"1,344","4,410"
MT,53,56,115,219,889,"1,516","1,235","2,554","6,636"
PL,269,166,90,173,804,"1,166",791,"2,286","5,746"
CC,177,198,198,61,606,831,558,"1,568","4,196"
16,581,704,"1,029",639,34,258,260,777,"4,282"
24,866,"1,159","1,431",852,273,40,204,735,"5,560"
GP,761,935,"1,013",517,258,220,27,171,"3,902"
BP,"1,215","1,403","3,276","1,457",755,788,180,54,"9,127"
Entries,"3,995","4,670","7,350","4,133","4,256","5,865","4,102","9,489","43,860"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,35,14,82,66,241,296,156,356,"1,244"
MT,13,24,33,51,311,365,342,"1,175","2,314"
PL,96,36,88,112,713,964,634,"1,571","4,212"
CC,45,29,113,60,401,509,223,568,"1,947"
16,225,185,847,458,42,199,187,441,"2,583"
24,252,228,"1,096",533,179,48,153,411,"2,900"
GP,142,162,770,212,154,142,28,89,"1,698"
BP,339,360,"2,281",516,404,398,85,51,"4,433"
Entries,"1,146","1,037","5,309","2,007","2,445","2,920","1,807","4,660","21,331"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,4,39,27,130,151,72,207,658
MT,6,20,18,27,168,203,203,732,"1,377"
PL,42,16,81,52,466,609,355,905,"2,525"
CC,29,14,63,52,283,319,155,406,"1,320"
16,143,99,554,308,46,113,108,259,"1,630"
24,161,130,721,349,110,43,89,237,"1,841"
GP,76,81,538,138,105,95,22,39,"1,094"
BP,199,192,"1,510",371,245,237,44,46,"2,843"
Entries,682,556,"3,525","1,324","1,553","1,770","1,048","2,831","13,289"
