Exit stations,Entry stations->,,SUNDAY,,,Jul 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	16 , 	17 , 	14 , 	8 , 	38 , 	13 , 	19 , 	13 , 	14 , 	11 , 	23 , 	17 , 	12 , 	8 , 	6 , 	3 , 	1 , 	4 , 	4 , 	2 , 	4 , 	2 , 	2 , 	4 , 	3 , 	65 , 	31 , 	82 , 	31 , 	28 , 	25 , 	8 , 	7 , 	7 , 	3 , 	2 , 	3 , 	1 , 	3 , 	3 , 	10 , 	15 , 	2 , 	1 , 	5 , 	4 , 	2 , 	8 , 	2 , 	3 , 	603 ,,,,,,,,,,,
EN, 	14 , 	13 , 	10 , 	10 , 	48 , 	19 , 	25 , 	16 , 	25 , 	17 , 	24 , 	34 , 	7 , 	8 , 	9 , 	1 , 	5 , 	6 , 	6 , 	3 , 	4 , 	1 , 	2 , 	4 , 	5 , 	93 , 	39 , 	110 , 	48 , 	34 , 	25 , 	5 , 	11 , 	10 , 	5 , 	1 , 	2 , 	1 , 	5 , 	3 , 	7 , 	25 , 	3 , 	1 , 	10 , 	2 , 	5 , 	8 , 	1 , 	4 , 	769 ,,,,,,,,,,,
EP, 	15 , 	8 , 	4 , 	9 , 	51 , 	17 , 	16 , 	17 , 	18 , 	12 , 	12 , 	20 , 	5 , 	2 , 	3 , 	2 , 	3 , 	5 , 	4 , 	3 , 	2 , 	1 , 	2 , 	4 , 	2 , 	53 , 	30 , 	54 , 	32 , 	15 , 	11 , 	5 , 	3 , 	4 , 	1 , 	0 , 	3 , 	-   , 	2 , 	-   , 	1 , 	18 , 	2 , 	2 , 	9 , 	0 , 	2 , 	4 , 	0 , 	1 , 	486 ,,,,,,,,,,,
NB, 	9 , 	12 , 	12 , 	7 , 	10 , 	7 , 	16 , 	14 , 	16 , 	7 , 	14 , 	22 , 	4 , 	3 , 	4 , 	3 , 	4 , 	4 , 	2 , 	2 , 	3 , 	1 , 	0 , 	3 , 	4 , 	60 , 	31 , 	48 , 	41 , 	25 , 	20 , 	8 , 	3 , 	4 , 	1 , 	2 , 	2 , 	1 , 	1 , 	0 , 	2 , 	25 , 	3 , 	1 , 	12 , 	3 , 	3 , 	5 , 	0 , 	1 , 	474 ,,,,,,,,,,,
BK, 	37 , 	55 , 	51 , 	10 , 	24 , 	28 , 	26 , 	36 , 	35 , 	22 , 	35 , 	27 , 	11 , 	11 , 	7 , 	5 , 	11 , 	14 , 	5 , 	3 , 	8 , 	5 , 	2 , 	3 , 	10 , 	123 , 	59 , 	113 , 	62 , 	43 , 	26 , 	8 , 	10 , 	9 , 	2 , 	2 , 	9 , 	1 , 	2 , 	2 , 	5 , 	29 , 	6 , 	2 , 	15 , 	9 , 	15 , 	26 , 	1 , 	3 ," 	1,065 ",,,,,,,,,,,
AS, 	15 , 	20 , 	20 , 	8 , 	22 , 	8 , 	12 , 	19 , 	18 , 	14 , 	14 , 	23 , 	8 , 	6 , 	5 , 	2 , 	6 , 	2 , 	2 , 	1 , 	2 , 	1 , 	1 , 	1 , 	6 , 	41 , 	23 , 	39 , 	38 , 	29 , 	20 , 	5 , 	4 , 	5 , 	0 , 	0 , 	3 , 	1 , 	0 , 	2 , 	2 , 	11 , 	1 , 	0 , 	13 , 	2 , 	4 , 	6 , 	1 , 	1 , 	479 ,,,,,,,,,,,
MA, 	15 , 	23 , 	16 , 	11 , 	34 , 	12 , 	15 , 	13 , 	15 , 	12 , 	26 , 	35 , 	14 , 	9 , 	8 , 	2 , 	7 , 	7 , 	12 , 	10 , 	12 , 	5 , 	3 , 	11 , 	9 , 	92 , 	52 , 	109 , 	87 , 	62 , 	42 , 	10 , 	14 , 	8 , 	2 , 	2 , 	6 , 	3 , 	8 , 	2 , 	2 , 	42 , 	4 , 	3 , 	9 , 	2 , 	5 , 	4 , 	5 , 	11 , 	917 ,,,,,,,,,,,
19, 	15 , 	17 , 	11 , 	11 , 	31 , 	17 , 	15 , 	13 , 	3 , 	5 , 	14 , 	32 , 	13 , 	12 , 	11 , 	4 , 	5 , 	6 , 	10 , 	11 , 	13 , 	5 , 	4 , 	15 , 	12 , 	86 , 	65 , 	115 , 	79 , 	69 , 	39 , 	15 , 	13 , 	10 , 	2 , 	1 , 	4 , 	4 , 	7 , 	2 , 	4 , 	33 , 	5 , 	1 , 	8 , 	3 , 	4 , 	8 , 	3 , 	6 , 	888 ,,,,,,,,,,,
12, 	14 , 	22 , 	13 , 	13 , 	32 , 	13 , 	16 , 	2 , 	19 , 	2 , 	14 , 	33 , 	19 , 	19 , 	18 , 	7 , 	8 , 	7 , 	13 , 	7 , 	10 , 	6 , 	3 , 	9 , 	7 , 	113 , 	64 , 	137 , 	91 , 	68 , 	37 , 	16 , 	24 , 	11 , 	6 , 	0 , 	5 , 	2 , 	6 , 	3 , 	8 , 	43 , 	6 , 	1 , 	9 , 	7 , 	8 , 	11 , 	4 , 	6 ," 	1,003 ",,,,,,,,,,,
LM, 	13 , 	18 , 	11 , 	9 , 	22 , 	13 , 	17 , 	5 , 	4 , 	8 , 	62 , 	74 , 	38 , 	28 , 	14 , 	10 , 	11 , 	9 , 	3 , 	4 , 	2 , 	2 , 	1 , 	5 , 	10 , 	77 , 	56 , 	108 , 	64 , 	52 , 	45 , 	12 , 	23 , 	10 , 	2 , 	16 , 	24 , 	1 , 	5 , 	3 , 	1 , 	12 , 	1 , 	7 , 	13 , 	6 , 	8 , 	9 , 	0 , 	2 , 	941 ,,,,,,,,,,,
FV, 	22 , 	29 , 	10 , 	11 , 	32 , 	18 , 	27 , 	11 , 	15 , 	51 , 	13 , 	68 , 	39 , 	60 , 	31 , 	26 , 	14 , 	17 , 	9 , 	2 , 	6 , 	4 , 	3 , 	10 , 	16 , 	82 , 	43 , 	142 , 	82 , 	52 , 	37 , 	6 , 	15 , 	11 , 	3 , 	10 , 	22 , 	1 , 	4 , 	4 , 	1 , 	14 , 	2 , 	16 , 	5 , 	8 , 	9 , 	24 , 	2 , 	4 ," 	1,136 ",,,,,,,,,,,
CL, 	18 , 	32 , 	19 , 	23 , 	27 , 	19 , 	36 , 	33 , 	35 , 	55 , 	64 , 	8 , 	55 , 	49 , 	35 , 	18 , 	19 , 	26 , 	18 , 	20 , 	20 , 	15 , 	11 , 	20 , 	23 , 	81 , 	43 , 	119 , 	51 , 	37 , 	38 , 	11 , 	8 , 	15 , 	1 , 	27 , 	103 , 	8 , 	10 , 	5 , 	4 , 	11 , 	5 , 	31 , 	21 , 	20 , 	13 , 	34 , 	3 , 	15 ," 	1,407 ",,,,,,,,,,,
SL, 	8 , 	10 , 	6 , 	5 , 	13 , 	4 , 	16 , 	16 , 	17 , 	35 , 	43 , 	61 , 	8 , 	34 , 	28 , 	12 , 	9 , 	14 , 	5 , 	1 , 	4 , 	1 , 	1 , 	4 , 	8 , 	57 , 	42 , 	87 , 	42 , 	19 , 	17 , 	7 , 	6 , 	9 , 	1 , 	7 , 	21 , 	0 , 	2 , 	0 , 	6 , 	11 , 	1 , 	12 , 	5 , 	9 , 	4 , 	7 , 	2 , 	3 , 	733 ,,,,,,,,,,,
BF, 	8 , 	8 , 	3 , 	4 , 	12 , 	7 , 	13 , 	14 , 	23 , 	32 , 	57 , 	54 , 	30 , 	13 , 	21 , 	12 , 	12 , 	14 , 	6 , 	2 , 	2 , 	-   , 	2 , 	3 , 	8 , 	85 , 	38 , 	102 , 	33 , 	16 , 	17 , 	5 , 	7 , 	7 , 	3 , 	12 , 	21 , 	0 , 	4 , 	2 , 	2 , 	8 , 	2 , 	18 , 	3 , 	8 , 	7 , 	9 , 	1 , 	2 , 	765 ,,,,,,,,,,,
HY, 	6 , 	8 , 	3 , 	4 , 	10 , 	5 , 	12 , 	9 , 	15 , 	15 , 	29 , 	33 , 	27 , 	21 , 	6 , 	21 , 	20 , 	15 , 	4 , 	3 , 	2 , 	1 , 	1 , 	2 , 	3 , 	30 , 	12 , 	31 , 	13 , 	8 , 	6 , 	2 , 	5 , 	3 , 	1 , 	4 , 	7 , 	1 , 	3 , 	2 , 	2 , 	5 , 	1 , 	7 , 	2 , 	7 , 	11 , 	19 , 	1 , 	4 , 	453 ,,,,,,,,,,,
SH, 	3 , 	3 , 	3 , 	3 , 	4 , 	2 , 	3 , 	4 , 	11 , 	9 , 	17 , 	20 , 	12 , 	12 , 	17 , 	9 , 	7 , 	12 , 	3 , 	-   , 	1 , 	1 , 	0 , 	2 , 	2 , 	30 , 	12 , 	19 , 	10 , 	5 , 	7 , 	1 , 	2 , 	4 , 	3 , 	3 , 	3 , 	1 , 	1 , 	-   , 	1 , 	3 , 	1 , 	3 , 	4 , 	8 , 	6 , 	13 , 	-   , 	2 , 	295 ,,,,,,,,,,,
UC, 	1 , 	4 , 	2 , 	2 , 	11 , 	5 , 	5 , 	8 , 	10 , 	14 , 	14 , 	18 , 	9 , 	12 , 	17 , 	6 , 	8 , 	12 , 	2 , 	2 , 	1 , 	1 , 	-   , 	1 , 	2 , 	64 , 	20 , 	26 , 	15 , 	11 , 	4 , 	4 , 	2 , 	3 , 	1 , 	4 , 	5 , 	1 , 	2 , 	1 , 	1 , 	9 , 	1 , 	2 , 	6 , 	11 , 	11 , 	14 , 	1 , 	1 , 	379 ,,,,,,,,,,,
FM, 	5 , 	6 , 	5 , 	3 , 	13 , 	5 , 	6 , 	6 , 	6 , 	10 , 	16 , 	24 , 	12 , 	12 , 	19 , 	9 , 	12 , 	11 , 	3 , 	3 , 	2 , 	1 , 	-   , 	3 , 	5 , 	66 , 	21 , 	30 , 	20 , 	9 , 	7 , 	3 , 	4 , 	2 , 	2 , 	2 , 	6 , 	0 , 	1 , 	1 , 	1 , 	6 , 	1 , 	2 , 	11 , 	7 , 	17 , 	19 , 	0 , 	1 , 	432 ,,,,,,,,,,,
CN, 	4 , 	5 , 	2 , 	3 , 	7 , 	4 , 	13 , 	10 , 	14 , 	4 , 	10 , 	15 , 	4 , 	6 , 	4 , 	2 , 	3 , 	4 , 	11 , 	13 , 	38 , 	22 , 	6 , 	13 , 	5 , 	74 , 	24 , 	64 , 	25 , 	16 , 	13 , 	8 , 	3 , 	6 , 	1 , 	2 , 	2 , 	3 , 	28 , 	1 , 	3 , 	27 , 	4 , 	-   , 	10 , 	1 , 	1 , 	3 , 	18 , 	16 , 	565 ,,,,,,,,,,,
PH, 	4 , 	3 , 	2 , 	4 , 	5 , 	2 , 	9 , 	12 , 	9 , 	4 , 	3 , 	18 , 	2 , 	1 , 	2 , 	-   , 	1 , 	2 , 	12 , 	7 , 	23 , 	9 , 	5 , 	15 , 	3 , 	76 , 	36 , 	50 , 	27 , 	10 , 	8 , 	8 , 	2 , 	5 , 	2 , 	2 , 	1 , 	4 , 	9 , 	1 , 	5 , 	31 , 	3 , 	0 , 	13 , 	1 , 	1 , 	2 , 	5 , 	6 , 	458 ,,,,,,,,,,,
WC, 	3 , 	2 , 	4 , 	2 , 	8 , 	1 , 	9 , 	14 , 	11 , 	2 , 	4 , 	18 , 	4 , 	2 , 	1 , 	2 , 	1 , 	2 , 	46 , 	21 , 	6 , 	10 , 	12 , 	20 , 	4 , 	135 , 	40 , 	69 , 	28 , 	17 , 	11 , 	5 , 	6 , 	5 , 	2 , 	2 , 	1 , 	5 , 	21 , 	3 , 	3 , 	42 , 	3 , 	0 , 	11 , 	-   , 	1 , 	1 , 	9 , 	12 , 	636 ,,,,,,,,,,,
LF, 	2 , 	1 , 	2 , 	1 , 	3 , 	2 , 	7 , 	4 , 	6 , 	-   , 	2 , 	15 , 	2 , 	0 , 	1 , 	1 , 	0 , 	1 , 	27 , 	11 , 	10 , 	5 , 	15 , 	14 , 	0 , 	70 , 	30 , 	32 , 	17 , 	6 , 	5 , 	5 , 	4 , 	1 , 	1 , 	0 , 	-   , 	3 , 	8 , 	0 , 	1 , 	26 , 	1 , 	-   , 	5 , 	0 , 	0 , 	0 , 	5 , 	2 , 	350 ,,,,,,,,,,,
OR, 	2 , 	3 , 	1 , 	-   , 	4 , 	0 , 	5 , 	6 , 	3 , 	0 , 	2 , 	10 , 	1 , 	2 , 	0 , 	0 , 	0 , 	-   , 	6 , 	6 , 	13 , 	16 , 	4 , 	16 , 	1 , 	54 , 	25 , 	26 , 	16 , 	10 , 	5 , 	3 , 	4 , 	2 , 	1 , 	-   , 	0 , 	1 , 	3 , 	-   , 	1 , 	17 , 	2 , 	-   , 	2 , 	0 , 	0 , 	2 , 	4 , 	1 , 	277 ,,,,,,,,,,,
RR, 	3 , 	7 , 	4 , 	2 , 	2 , 	1 , 	12 , 	18 , 	13 , 	4 , 	10 , 	19 , 	3 , 	2 , 	2 , 	2 , 	1 , 	2 , 	12 , 	19 , 	17 , 	14 , 	12 , 	9 , 	5 , 	112 , 	55 , 	84 , 	52 , 	44 , 	28 , 	13 , 	7 , 	5 , 	2 , 	2 , 	2 , 	1 , 	4 , 	1 , 	2 , 	38 , 	4 , 	0 , 	4 , 	1 , 	2 , 	3 , 	1 , 	7 , 	658 ,,,,,,,,,,,
OW, 	3 , 	7 , 	2 , 	2 , 	10 , 	5 , 	11 , 	10 , 	11 , 	8 , 	19 , 	21 , 	5 , 	8 , 	3 , 	1 , 	3 , 	2 , 	2 , 	1 , 	2 , 	1 , 	-   , 	4 , 	10 , 	170 , 	63 , 	170 , 	84 , 	77 , 	42 , 	9 , 	16 , 	10 , 	6 , 	3 , 	4 , 	1 , 	2 , 	3 , 	5 , 	33 , 	3 , 	3 , 	2 , 	1 , 	1 , 	4 , 	2 , 	4 , 	861 ,,,,,,,,,,,
EM, 	68 , 	96 , 	59 , 	68 , 	150 , 	52 , 	115 , 	112 , 	103 , 	87 , 	95 , 	98 , 	63 , 	87 , 	33 , 	34 , 	64 , 	70 , 	85 , 	87 , 	148 , 	77 , 	73 , 	120 , 	195 , 	74 , 	8 , 	59 , 	29 , 	102 , 	110 , 	71 , 	81 , 	98 , 	35 , 	49 , 	269 , 	29 , 	60 , 	30 , 	35 , 	106 , 	48 , 	74 , 	38 , 	27 , 	36 , 	44 , 	6 , 	57 ," 	3,808 ",,,,,,,,,,,
MT, 	40 , 	51 , 	26 , 	35 , 	66 , 	36 , 	73 , 	74 , 	87 , 	73 , 	64 , 	43 , 	47 , 	58 , 	18 , 	11 , 	23 , 	31 , 	40 , 	49 , 	50 , 	23 , 	20 , 	62 , 	86 , 	8 , 	39 , 	10 , 	9 , 	60 , 	80 , 	47 , 	106 , 	56 , 	29 , 	30 , 	87 , 	12 , 	32 , 	17 , 	22 , 	92 , 	25 , 	23 , 	25 , 	12 , 	17 , 	26 , 	4 , 	26 ," 	2,075 ",,,,,,,,,,,
PL, 	68 , 	81 , 	46 , 	41 , 	83 , 	28 , 	90 , 	99 , 	101 , 	91 , 	111 , 	99 , 	61 , 	73 , 	31 , 	20 , 	24 , 	26 , 	42 , 	35 , 	48 , 	20 , 	19 , 	62 , 	160 , 	54 , 	11 , 	80 , 	21 , 	175 , 	203 , 	100 , 	213 , 	178 , 	63 , 	30 , 	77 , 	21 , 	50 , 	37 , 	52 , 	194 , 	35 , 	29 , 	26 , 	11 , 	8 , 	20 , 	13 , 	26 ," 	3,281 ",,,,,,,,,,,
CC, 	30 , 	42 , 	25 , 	31 , 	55 , 	34 , 	82 , 	81 , 	79 , 	53 , 	82 , 	48 , 	35 , 	23 , 	18 , 	10 , 	13 , 	21 , 	24 , 	31 , 	31 , 	20 , 	13 , 	51 , 	95 , 	30 , 	14 , 	20 , 	40 , 	56 , 	73 , 	50 , 	80 , 	71 , 	44 , 	12 , 	49 , 	5 , 	16 , 	21 , 	35 , 	115 , 	28 , 	12 , 	17 , 	9 , 	13 , 	16 , 	3 , 	16 ," 	1,869 ",,,,,,,,,,,
16, 	27 , 	26 , 	15 , 	28 , 	42 , 	26 , 	66 , 	74 , 	56 , 	46 , 	49 , 	29 , 	27 , 	12 , 	8 , 	5 , 	9 , 	8 , 	17 , 	14 , 	17 , 	10 , 	10 , 	46 , 	66 , 	89 , 	53 , 	189 , 	64 , 	34 , 	14 , 	35 , 	65 , 	61 , 	31 , 	5 , 	19 , 	5 , 	7 , 	13 , 	27 , 	73 , 	25 , 	8 , 	11 , 	5 , 	5 , 	14 , 	6 , 	13 ," 	1,596 ",,,,,,,,,,,
24, 	25 , 	24 , 	12 , 	17 , 	35 , 	17 , 	43 , 	39 , 	40 , 	38 , 	39 , 	31 , 	15 , 	14 , 	6 , 	7 , 	2 , 	7 , 	11 , 	8 , 	12 , 	7 , 	5 , 	30 , 	55 , 	108 , 	81 , 	248 , 	95 , 	16 , 	36 , 	39 , 	52 , 	45 , 	25 , 	5 , 	15 , 	3 , 	10 , 	22 , 	36 , 	61 , 	21 , 	4 , 	11 , 	3 , 	5 , 	9 , 	4 , 	4 ," 	1,491 ",,,,,,,,,,,
GP, 	5 , 	7 , 	4 , 	8 , 	9 , 	7 , 	13 , 	12 , 	15 , 	7 , 	10 , 	13 , 	3 , 	5 , 	2 , 	2 , 	2 , 	2 , 	7 , 	7 , 	5 , 	4 , 	3 , 	13 , 	15 , 	60 , 	44 , 	138 , 	43 , 	38 , 	30 , 	13 , 	9 , 	10 , 	10 , 	4 , 	12 , 	1 , 	5 , 	4 , 	16 , 	33 , 	11 , 	5 , 	7 , 	1 , 	2 , 	1 , 	-   , 	3 , 	676 ,,,,,,,,,,,
BP, 	8 , 	9 , 	4 , 	5 , 	10 , 	5 , 	13 , 	13 , 	15 , 	15 , 	11 , 	11 , 	8 , 	8 , 	3 , 	2 , 	1 , 	4 , 	5 , 	3 , 	6 , 	3 , 	5 , 	5 , 	17 , 	81 , 	63 , 	269 , 	77 , 	54 , 	47 , 	9 , 	14 , 	5 , 	12 , 	4 , 	6 , 	1 , 	8 , 	8 , 	21 , 	36 , 	16 , 	1 , 	6 , 	1 , 	2 , 	5 , 	1 , 	4 , 	937 ,,,,,,,,,,,
DC, 	8 , 	8 , 	3 , 	5 , 	8 , 	4 , 	9 , 	11 , 	9 , 	7 , 	15 , 	13 , 	10 , 	6 , 	3 , 	3 , 	2 , 	4 , 	6 , 	5 , 	4 , 	1 , 	3 , 	5 , 	13 , 	90 , 	50 , 	212 , 	86 , 	64 , 	50 , 	12 , 	14 , 	16 , 	6 , 	5 , 	12 , 	1 , 	5 , 	10 , 	29 , 	58 , 	14 , 	3 , 	5 , 	2 , 	3 , 	3 , 	2 , 	5 , 	916 ,,,,,,,,,,,
CM, 	3 , 	6 , 	1 , 	2 , 	3 , 	1 , 	4 , 	3 , 	8 , 	1 , 	5 , 	1 , 	1 , 	3 , 	1 , 	3 , 	0 , 	2 , 	2 , 	2 , 	2 , 	0 , 	0 , 	2 , 	3 , 	30 , 	19 , 	74 , 	38 , 	27 , 	28 , 	9 , 	14 , 	8 , 	8 , 	0 , 	1 , 	1 , 	5 , 	1 , 	9 , 	52 , 	5 , 	1 , 	-   , 	1 , 	1 , 	-   , 	1 , 	4 , 	388 ,,,,,,,,,,,
CV, 	2 , 	0 , 	1 , 	1 , 	4 , 	1 , 	3 , 	3 , 	1 , 	18 , 	8 , 	27 , 	10 , 	14 , 	2 , 	3 , 	3 , 	4 , 	2 , 	0 , 	1 , 	-   , 	-   , 	2 , 	3 , 	39 , 	26 , 	43 , 	10 , 	6 , 	4 , 	4 , 	3 , 	3 , 	1 , 	4 , 	14 , 	-   , 	0 , 	-   , 	1 , 	4 , 	1 , 	19 , 	4 , 	1 , 	1 , 	2 , 	0 , 	0 , 	297 ,,,,,,,,,,,
ED, 	3 , 	2 , 	3 , 	1 , 	9 , 	2 , 	8 , 	5 , 	4 , 	18 , 	17 , 	83 , 	19 , 	22 , 	7 , 	4 , 	5 , 	7 , 	2 , 	2 , 	3 , 	0 , 	1 , 	2 , 	7 , 	259 , 	88 , 	99 , 	44 , 	19 , 	11 , 	8 , 	6 , 	10 , 	0 , 	12 , 	14 , 	1 , 	2 , 	1 , 	1 , 	32 , 	2 , 	4 , 	25 , 	3 , 	5 , 	7 , 	1 , 	1 , 	887 ,,,,,,,,,,,
