Exit stations,Entry stations->,,WEEKDAY,,,Jul 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL, 	31 , 	38 , 	13 , 	19 , 	41 , 	24 , 	56 , 	44 , 	63 , 	65 , 	96 , 	16 , 	65 , 	64 , 	53 , 	26 , 	25 , 	30 , 	16 , 	14 , 	12 , 	10 , 	7 , 	14 , 	40 , 	116 , 	100 , 	141 , 	108 , 	55 , 	57 , 	19 , 	20 , 	20 , 	3 , 	25 , 	69 , 	5 , 	13 , 	3 , 	9 , 	11 , 	7 , 	24 , 	18 , 	21 , 	12 , 	22 , 	6 , 	17 ," 	1,779 ",,,,,,,,,,,,,
SL, 	15 , 	21 , 	11 , 	9 , 	40 , 	19 , 	38 , 	39 , 	60 , 	97 , 	101 , 	68 , 	10 , 	51 , 	62 , 	42 , 	28 , 	30 , 	10 , 	8 , 	7 , 	3 , 	3 , 	9 , 	19 , 	162 , 	160 , 	180 , 	133 , 	54 , 	39 , 	13 , 	16 , 	15 , 	3 , 	23 , 	41 , 	1 , 	7 , 	5 , 	6 , 	17 , 	3 , 	21 , 	6 , 	18 , 	7 , 	11 , 	6 , 	13 ," 	1,753 ",,,,,,,,,,,,,
BF, 	9 , 	14 , 	6 , 	6 , 	26 , 	9 , 	29 , 	40 , 	55 , 	64 , 	106 , 	70 , 	55 , 	10 , 	38 , 	31 , 	27 , 	38 , 	8 , 	3 , 	6 , 	1 , 	4 , 	5 , 	18 , 	162 , 	130 , 	161 , 	109 , 	43 , 	28 , 	13 , 	13 , 	9 , 	3 , 	13 , 	48 , 	2 , 	5 , 	6 , 	6 , 	11 , 	2 , 	23 , 	4 , 	21 , 	10 , 	12 , 	2 , 	3 ," 	1,515 ",,,,,,,,,,,,,
HY, 	10 , 	18 , 	6 , 	7 , 	22 , 	10 , 	24 , 	30 , 	45 , 	37 , 	70 , 	54 , 	62 , 	35 , 	9 , 	31 , 	55 , 	61 , 	7 , 	5 , 	5 , 	2 , 	2 , 	5 , 	14 , 	83 , 	64 , 	85 , 	73 , 	30 , 	21 , 	9 , 	10 , 	12 , 	2 , 	7 , 	25 , 	2 , 	4 , 	3 , 	7 , 	8 , 	3 , 	12 , 	4 , 	29 , 	16 , 	16 , 	2 , 	4 ," 	1,155 ",,,,,,,,,,,,,
SH, 	7 , 	7 , 	6 , 	4 , 	14 , 	5 , 	12 , 	17 , 	23 , 	27 , 	44 , 	26 , 	37 , 	28 , 	28 , 	5 , 	14 , 	26 , 	3 , 	2 , 	3 , 	1 , 	0 , 	2 , 	10 , 	70 , 	62 , 	61 , 	55 , 	19 , 	16 , 	6 , 	4 , 	6 , 	4 , 	6 , 	9 , 	1 , 	4 , 	2 , 	3 , 	6 , 	2 , 	8 , 	4 , 	30 , 	13 , 	10 , 	2 , 	5 , 	758 ,,,,,,,,,,,,,
UC, 	6 , 	10 , 	6 , 	2 , 	22 , 	8 , 	18 , 	23 , 	33 , 	30 , 	32 , 	26 , 	32 , 	27 , 	53 , 	15 , 	5 , 	33 , 	4 , 	2 , 	4 , 	0 , 	1 , 	3 , 	8 , 	79 , 	68 , 	60 , 	53 , 	25 , 	11 , 	4 , 	4 , 	5 , 	2 , 	4 , 	14 , 	0 , 	2 , 	1 , 	1 , 	10 , 	1 , 	7 , 	7 , 	29 , 	25 , 	13 , 	2 , 	2 , 	831 ,,,,,,,,,,,,,
FM, 	7 , 	15 , 	6 , 	4 , 	19 , 	10 , 	18 , 	19 , 	25 , 	28 , 	42 , 	30 , 	36 , 	44 , 	68 , 	30 , 	31 , 	9 , 	5 , 	3 , 	3 , 	0 , 	1 , 	3 , 	5 , 	74 , 	65 , 	58 , 	46 , 	20 , 	13 , 	5 , 	4 , 	6 , 	2 , 	6 , 	13 , 	0 , 	3 , 	1 , 	2 , 	8 , 	1 , 	4 , 	8 , 	18 , 	28 , 	20 , 	1 , 	4 , 	874 ,,,,,,,,,,,,,
CN, 	8 , 	9 , 	5 , 	4 , 	17 , 	5 , 	31 , 	33 , 	43 , 	10 , 	15 , 	15 , 	10 , 	8 , 	8 , 	3 , 	4 , 	4 , 	14 , 	26 , 	71 , 	35 , 	11 , 	24 , 	8 , 	134 , 	131 , 	144 , 	128 , 	45 , 	41 , 	14 , 	11 , 	13 , 	8 , 	1 , 	3 , 	15 , 	62 , 	5 , 	9 , 	48 , 	6 , 	1 , 	13 , 	4 , 	3 , 	4 , 	41 , 	47 ," 	1,349 ",,,,,,,,,,,,,
PH, 	3 , 	6 , 	3 , 	4 , 	18 , 	4 , 	32 , 	38 , 	50 , 	6 , 	6 , 	11 , 	6 , 	3 , 	3 , 	2 , 	2 , 	3 , 	28 , 	10 , 	30 , 	14 , 	10 , 	26 , 	4 , 	231 , 	173 , 	132 , 	109 , 	35 , 	24 , 	16 , 	5 , 	8 , 	3 , 	1 , 	2 , 	8 , 	27 , 	4 , 	9 , 	53 , 	4 , 	1 , 	16 , 	2 , 	1 , 	3 , 	14 , 	15 ," 	1,217 ",,,,,,,,,,,,,
WC, 	9 , 	11 , 	6 , 	6 , 	19 , 	5 , 	34 , 	39 , 	46 , 	8 , 	17 , 	9 , 	7 , 	5 , 	5 , 	3 , 	4 , 	4 , 	78 , 	33 , 	10 , 	21 , 	16 , 	39 , 	10 , 	173 , 	152 , 	99 , 	94 , 	42 , 	21 , 	8 , 	10 , 	11 , 	5 , 	2 , 	1 , 	16 , 	48 , 	7 , 	6 , 	56 , 	4 , 	1 , 	19 , 	1 , 	1 , 	3 , 	17 , 	31 ," 	1,272 ",,,,,,,,,,,,,
LF, 	5 , 	5 , 	2 , 	1 , 	11 , 	4 , 	12 , 	21 , 	21 , 	3 , 	7 , 	8 , 	2 , 	1 , 	3 , 	0 , 	1 , 	1 , 	45 , 	17 , 	22 , 	7 , 	6 , 	21 , 	1 , 	118 , 	98 , 	44 , 	47 , 	17 , 	13 , 	5 , 	2 , 	3 , 	2 , 	0 , 	1 , 	2 , 	10 , 	1 , 	2 , 	35 , 	2 , 	-   , 	8 , 	0 , 	1 , 	1 , 	7 , 	7 , 	655 ,,,,,,,,,,,,,
OR, 	5 , 	4 , 	1 , 	2 , 	9 , 	1 , 	9 , 	14 , 	19 , 	2 , 	9 , 	5 , 	2 , 	3 , 	2 , 	0 , 	1 , 	1 , 	13 , 	9 , 	16 , 	7 , 	4 , 	19 , 	1 , 	100 , 	90 , 	34 , 	38 , 	17 , 	6 , 	4 , 	4 , 	4 , 	0 , 	1 , 	0 , 	0 , 	6 , 	1 , 	1 , 	26 , 	2 , 	0 , 	6 , 	1 , 	1 , 	0 , 	3 , 	3 , 	508 ,,,,,,,,,,,,,
RR, 	6 , 	12 , 	13 , 	5 , 	5 , 	3 , 	14 , 	31 , 	30 , 	5 , 	22 , 	12 , 	8 , 	7 , 	7 , 	2 , 	3 , 	3 , 	24 , 	29 , 	37 , 	22 , 	19 , 	9 , 	9 , 	153 , 	141 , 	95 , 	97 , 	51 , 	27 , 	15 , 	7 , 	5 , 	2 , 	2 , 	2 , 	5 , 	14 , 	1 , 	3 , 	47 , 	4 , 	0 , 	7 , 	2 , 	1 , 	1 , 	4 , 	14 ," 	1,039 ",,,,,,,,,,,,,
OW, 	11 , 	13 , 	4 , 	6 , 	17 , 	10 , 	19 , 	12 , 	24 , 	7 , 	43 , 	33 , 	16 , 	17 , 	12 , 	9 , 	5 , 	4 , 	9 , 	4 , 	9 , 	1 , 	2 , 	9 , 	12 , 	350 , 	248 , 	265 , 	211 , 	108 , 	80 , 	18 , 	22 , 	14 , 	5 , 	5 , 	11 , 	1 , 	7 , 	11 , 	7 , 	38 , 	12 , 	4 , 	5 , 	4 , 	2 , 	3 , 	4 , 	8 ," 	1,749 ",,,,,,,,,,,,,
EM, 	130 , 	261 , 	129 , 	129 , 	191 , 	118 , 	225 , 	256 , 	228 , 	180 , 	242 , 	137 , 	203 , 	167 , 	103 , 	89 , 	90 , 	86 , 	166 , 	268 , 	212 , 	149 , 	124 , 	185 , 	389 , 	62 , 	16 , 	64 , 	80 , 	185 , 	295 , 	169 , 	273 , 	244 , 	83 , 	85 , 	274 , 	59 , 	141 , 	67 , 	54 , 	126 , 	81 , 	86 , 	51 , 	33 , 	30 , 	41 , 	33 , 	152 ," 	7,237 ",,,,,,,,,,,,,
MT, 	146 , 	223 , 	114 , 	103 , 	136 , 	109 , 	203 , 	230 , 	201 , 	160 , 	203 , 	117 , 	187 , 	158 , 	83 , 	77 , 	81 , 	75 , 	154 , 	193 , 	165 , 	99 , 	98 , 	155 , 	305 , 	17 , 	42 , 	21 , 	64 , 	220 , 	364 , 	238 , 	469 , 	289 , 	122 , 	78 , 	168 , 	47 , 	149 , 	94 , 	75 , 	134 , 	105 , 	54 , 	31 , 	28 , 	27 , 	37 , 	30 , 	100 ," 	6,773 ",,,,,,,,,,,,,
PL, 	153 , 	215 , 	80 , 	59 , 	113 , 	74 , 	150 , 	157 , 	189 , 	135 , 	228 , 	125 , 	144 , 	127 , 	73 , 	51 , 	53 , 	49 , 	117 , 	108 , 	87 , 	42 , 	33 , 	81 , 	253 , 	76 , 	23 , 	45 , 	50 , 	279 , 	393 , 	236 , 	443 , 	327 , 	126 , 	49 , 	124 , 	39 , 	123 , 	98 , 	85 , 	316 , 	85 , 	45 , 	47 , 	18 , 	20 , 	19 , 	44 , 	102 ," 	6,106 ",,,,,,,,,,,,,
CC, 	112 , 	164 , 	78 , 	80 , 	99 , 	86 , 	169 , 	156 , 	144 , 	115 , 	229 , 	108 , 	124 , 	99 , 	68 , 	47 , 	48 , 	41 , 	112 , 	91 , 	80 , 	47 , 	37 , 	92 , 	217 , 	75 , 	60 , 	38 , 	32 , 	115 , 	199 , 	141 , 	259 , 	212 , 	110 , 	40 , 	101 , 	37 , 	100 , 	79 , 	70 , 	125 , 	86 , 	39 , 	20 , 	16 , 	18 , 	22 , 	20 , 	98 ," 	4,757 ",,,,,,,,,,,,,
